"term","pq_2019Q1_x_high_x_young","pq_2019Q2_x_high_x_young","pq_2019Q3_x_high_x_young","pq_2019Q4_x_high_x_young","pq_2020Q1_x_high_x_young","pq_2020Q2_x_high_x_young","pq_2020Q3_x_high_x_young","pq_2020Q4_x_high_x_young","pq_2021Q1_x_high_x_young","pq_2021Q2_x_high_x_young","pq_2021Q3_x_high_x_young","pq_2021Q4_x_high_x_young","pq_2022Q2_x_high_x_young","pq_2022Q3_x_high_x_young","pq_2022Q4_x_high_x_young","pq_2023Q1_x_high_x_young","pq_2023Q2_x_high_x_young","pq_2023Q3_x_high_x_young","pq_2023Q4_x_high_x_young","pq_2024Q1_x_high_x_young","pq_2024Q2_x_high_x_young","pq_2024Q3_x_high_x_young","pq_2024Q4_x_high_x_young","pq_2025Q1_x_high_x_young","pq_2025Q2_x_high_x_young"
"pq_2021Q3_x_high_x_young",0.000125375885808416,0.000238890528283414,0.000387149022550186,0.000236690038876065,7.96645588675437e-05,0.000246856155789097,0.000372287398506378,0.000211777023427397,4.75236646910205e-05,0.00017554844938682,0.000361031546406734,0.000184643446563557,0.000131867020318141,0.00031121474436052,0.000156713552524122,-5.97632693204466e-05,9.1620443188348e-05,0.000277113230943191,9.6391929839816e-05,-5.78477527163184e-05,7.18159353793748e-05,0.000254835179647825,4.46312295485873e-05,-0.00010736307234085,6.26263410111399e-05
"pq_2021Q4_x_high_x_young",9.08472934743573e-05,0.000143246407684058,0.000211712722451115,0.000167334372354359,6.28711051096683e-05,0.000135336620356008,0.000182224015710275,0.000142831640283721,2.24581392122708e-05,8.91493221857694e-05,0.000184643446563557,0.000145930208504876,6.5829248605731e-05,0.000162642324062067,0.000125384388249082,-1.40029414303836e-05,4.93337857045609e-05,0.000141363329346149,9.15001686554794e-05,-2.77562348631714e-05,3.2968618616642e-05,0.000126320858990305,6.27806675062329e-05,-4.03549636389592e-05,4.65640242741125e-05
"pq_2022Q2_x_high_x_young",3.73458423764941e-05,9.69962709866802e-05,0.000146134549035919,8.86766080672741e-05,1.99313596331332e-05,0.000108692482378487,0.000144246505792789,7.35298977692557e-05,3.24709938689898e-06,7.61728500529213e-05,0.000131867020318141,6.5829248605731e-05,9.20324202209672e-05,0.000141719924133081,7.99667508881589e-05,-9.60629313977466e-06,8.18799464152909e-05,0.00013710808675941,6.45980590087843e-05,6.55505778426586e-06,7.35680538221995e-05,0.000128633258069823,3.61775953776451e-05,-9.96461933919867e-06,4.89212761624697e-05
"pq_2022Q3_x_high_x_young",8.96729604853686e-05,0.000201496082651581,0.000351770594131421,0.000213803690142982,5.47162917482213e-05,0.000213157237178244,0.000325665604455662,0.00017217630192604,3.59111023474794e-06,0.000129427279602551,0.00031121474436052,0.000162642324062067,0.000141719924133081,0.000332843481057886,0.000190523785172627,-1.43185418419245e-05,0.000135546451248923,0.000321171365263181,0.000158519671546436,5.26224747324099e-06,0.000131403721269353,0.000308395907680253,0.000112936944979209,-3.35492909618883e-05,0.000121030908508787
"pq_2022Q4_x_high_x_young",6.21430138454007e-05,0.00011870246415228,0.000191174855969534,0.000155083286717383,4.14221524932485e-05,0.000112997255478755,0.000156768092024057,0.000118130776252691,-7.56868463325473e-06,5.80608062773755e-05,0.000156713552524122,0.000125384388249082,7.99667508881589e-05,0.000190523785172627,0.000176103551408462,4.06150827756977e-05,0.000108985164444802,0.000204915545364078,0.000166227312222305,3.84391963848346e-05,0.000102393382599595,0.000195933737005177,0.000144535165085572,4.2587848107126e-05,0.000120599970216397
"pq_2023Q1_x_high_x_young",-3.67814267254619e-05,-5.55573348242843e-05,-6.820958032476e-05,-2.47517537969184e-05,-6.86843823787185e-06,-4.2235185198461e-05,-6.06597480011275e-05,-1.77121418280789e-05,-1.50518311492241e-05,-3.5998017422695e-05,-5.97632693204466e-05,-1.40029414303836e-05,-9.60629313977466e-06,-1.43185418419245e-05,4.06150827756977e-05,0.000140209724570947,0.000111295993966511,8.50893221312958e-05,0.00013346166385934,0.000139846929606971,0.000118973762624582,9.24406461162159e-05,0.000156999258978281,0.000182502631893587,0.000147039664278195
"pq_2023Q2_x_high_x_young",-1.0084103379952e-05,4.93574047279812e-05,9.19317468902343e-05,6.12952927984242e-05,4.62111456988873e-06,8.613306195382e-05,0.000112450094772927,6.15943359144126e-05,-7.59427504443456e-06,5.85822204201172e-05,9.1620443188348e-05,4.93337857045609e-05,8.18799464152909e-05,0.000135546451248923,0.000108985164444802,0.000111295993966511,0.00021114795623527,0.000250209083263205,0.000198635425481965,0.000144033973277769,0.000208758077578437,0.000240017395973617,0.000182181844383227,0.000147449025130991,0.000202561623321656
"pq_2023Q3_x_high_x_young",2.65405017968489e-05,0.000142423698182982,0.000293950757467585,0.000175902357691315,3.20138052257565e-05,0.000195571791519533,0.000303749148242191,0.000157166571712312,-8.2985667126066e-06,0.000116626677151825,0.000277113230943191,0.000141363329346149,0.00013710808675941,0.000321171365263181,0.000204915545364078,8.50893221312958e-05,0.000250209083263205,0.000440522266974719,0.000285437040544391,0.000134418711481797,0.000262248989893521,0.000425519821142189,0.000248461896320415,9.81902201856226e-05,0.000237509455246828
"pq_2023Q4_x_high_x_young",-1.14462257107913e-05,3.15704383767002e-05,0.000101894088040954,9.73821154926869e-05,1.4277648113757e-05,6.85727228402945e-05,0.000105280181766899,8.34744309850621e-05,-2.60839416771567e-05,2.84500062260042e-05,9.6391929839816e-05,9.15001686554794e-05,6.45980590087843e-05,0.000158519671546436,0.000166227312222305,0.00013346166385934,0.000198635425481965,0.000285437040544391,0.000296615409046362,0.000187169946912024,0.00023431245269701,0.000297673162524184,0.000284820695480944,0.000189664227096393,0.000222136926153871
"pq_2024Q1_x_high_x_young",-5.57835235217275e-05,-6.64025403572997e-05,-6.57507587427511e-05,-3.13439424058893e-05,-1.41263649969257e-05,-3.39383663745779e-05,-4.18805296618721e-05,-2.54719935442793e-05,-3.09743093962154e-05,-3.05280370252254e-05,-5.78477527163184e-05,-2.77562348631714e-05,6.55505778426586e-06,5.26224747324099e-06,3.84391963848346e-05,0.000139846929606971,0.000144033973277769,0.000134418711481797,0.000187169946912024,0.000258831447148093,0.000233810452830396,0.000196348697193432,0.000228210677895181,0.000291726971023053,0.000238106479049012
