age_group,period,coef,se,pval
31-34,2024H1,-0.00010325082192716919,0.006139770707005107,0.9865828305624944
31-34,2024H2,-0.0034602532778002827,0.006278125694463109,0.5815238916338461
31-34,2025H1,-0.01866467863369065,0.00686058037339393,0.006517032168097625
31-34,2022H1,0.0,0.0,1.0
35-40,2019H1,-0.018323093499746347,0.0058012607492423495,0.0015860271374807944
35-40,2019H2,-0.022347966596099812,0.00573996921321592,9.885339436555007e-05
35-40,2020H1,-0.01295461771385919,0.0049426058663925385,0.008767026123145394
35-40,2020H2,-0.012041422999516958,0.004825392552527028,0.012580562257925143
35-40,2021H1,-0.007855899950589848,0.0038575475556036575,0.04170015565669405
35-40,2021H2,-0.0148381999979998,0.003542834121128143,2.811487321907613e-05
35-40,2022H2,-0.00744953377844575,0.0018097698157215174,3.8503437773007576e-05
35-40,2023H1,0.005013221895430622,0.0039098941090266,0.1997765809012111
35-40,2023H2,0.001158478889114701,0.004098170013282394,0.7774206381660635
35-40,2024H1,-0.003570090902591682,0.004678897205457473,0.4454516923525631
35-40,2024H2,-0.0047701425097150165,0.0047820473667006674,0.31851686260200385
35-40,2025H1,-0.009954681910652753,0.005219990809636204,0.05651673666892565
35-40,2022H1,0.0,0.0,1.0
41-49,2019H1,-0.022023027641128165,0.003981232575474401,3.171425388970306e-08
41-49,2019H2,-0.02551819274021451,0.0039009103183838445,6.087175208335793e-11
41-49,2020H1,-0.012263705553927622,0.003402051444907018,0.00031240065562632147
41-49,2020H2,-0.011514774098618546,0.0033172300839423253,0.0005181406111800513
41-49,2021H1,-0.004009424470629529,0.002658305360871018,0.13148722793587497
41-49,2021H2,-0.008808555668298237,0.0024113183000076996,0.00025919347167291384
41-49,2022H2,-0.003844072500704266,0.0012509813435423438,0.002120296318276038
41-49,2023H1,0.0011913818575923,0.0028002862021264154,0.6705086627463759
41-49,2023H2,-0.0007349703943600515,0.002936885563169127,0.8023901416347718
41-49,2024H1,0.002190479357566075,0.003356654735509769,0.5140283487376927
41-49,2024H2,0.0022326202032679756,0.003444380275068078,0.5168607265987903
41-49,2025H1,0.0013223419191941315,0.0037456369184268134,0.7240620225628902
41-49,2022H1,0.0,0.0,1.0
50+,2019H1,-0.019996576623648815,0.002546193524215588,3.9968028886505635e-15
50+,2019H2,-0.019973991781275797,0.0024758205835002964,6.661338147750939e-16
50+,2020H1,-0.012899361598115892,0.0021230804193313846,1.2339689270390863e-09
50+,2020H2,-0.008844536115129283,0.002043398936305015,1.5023630005606137e-05
50+,2021H1,-0.002787732432738026,0.0016257269556607954,0.08638919157389902
50+,2021H2,-0.004614451755355822,0.0014353798054514296,0.0013053843427983658
50+,2022H2,1.3864769728271805e-05,0.0008179062560667726,0.9864752771282614
50+,2023H1,0.007479118099093402,0.001801499294954455,3.301526737620186e-05
50+,2023H2,0.007075928871124603,0.0019031359333513463,0.00020077912459703917
50+,2024H1,0.01535972277418075,0.0020729327840622058,1.2656542480726785e-13
50+,2024H2,0.017183257328752508,0.0021437690562865633,1.1102230246251565e-15
50+,2025H1,0.022075472031348756,0.0022893243021409326,0.0
50+,2022H1,0.0,0.0,1.0
