age_group,period,coef,se,pval
35-40,2022H1,-0.003558698898107751,0.0015790289595696394,0.024213418861574354
35-40,2022H2,-0.010924973421720342,0.0016705631364894906,6.164690979915122e-11
35-40,2023H1,0.0009243677313114556,0.0019914283132266538,0.6425236413047739
35-40,2023H2,-0.0015874724521791647,0.002018650195337304,0.4316314771786216
35-40,2024H1,-0.006269954847467213,0.0021226179589809015,0.003138085172241345
35-40,2024H2,-0.00896992869195159,0.002138878290803813,2.743780294034437e-05
35-40,2025H1,-0.012682826556833254,0.0022227560858588636,1.1573203950732136e-08
35-40,2021H1,0.0,0.0,1.0
41-49,2019H1,-0.012810426504775896,0.001677448620829507,2.220446049250313e-14
41-49,2019H2,-0.013022158286243724,0.0016406755937537145,1.9984014443252818e-15
41-49,2020H1,-0.006733323545684266,0.001342769973910898,5.317148163985763e-07
41-49,2020H2,-0.005289047059312816,0.0012464546008108994,2.2028468486201547e-05
41-49,2021H2,-0.0052472355924965,0.0006530058242574772,8.881784197001252e-16
41-49,2022H1,-0.0019248116362080706,0.0013473137651948406,0.15311089144333634
41-49,2022H2,-0.005339299269947178,0.001432167076840821,0.00019290971762520037
41-49,2023H1,-0.0006233584448632891,0.0017325842243980742,0.719007655003544
41-49,2023H2,-0.0035134354344981585,0.0017590241476607667,0.04578419848623305
41-49,2024H1,-0.0035007765486967587,0.0018450217049608842,0.05777287290304289
41-49,2024H2,-0.005159487430652093,0.001862685970986586,0.005607047827612455
41-49,2025H1,-0.005408637454401939,0.0019285573110260335,0.005039488108870893
41-49,2021H1,0.0,0.0,1.0
50+,2019H1,-0.01520601107438195,0.0012969738877582548,0.0
50+,2019H2,-0.01541579708677256,0.0012607611164388367,0.0
50+,2020H1,-0.008468605917008931,0.0010232574481290502,0.0
50+,2020H2,-0.005732064468914784,0.000937476595263324,9.695029223877327e-10
50+,2021H2,-0.002390323337959602,0.0005285166941510349,6.105562879721305e-06
50+,2022H1,-0.0007368183447011995,0.0010432162806750097,0.48000476928079316
50+,2022H2,-0.0013176166037122939,0.0011242680080575333,0.2412061776473442
50+,2023H1,0.005537676712840017,0.001384891980179929,6.370923783816096e-05
50+,2023H2,0.005190744813989046,0.0014152337001877542,0.00024468044219982943
50+,2024H1,0.009241144732808347,0.0014650335925518493,2.830284895338764e-10
50+,2024H2,0.008145686941512669,0.0014864600322676289,4.2551559831238706e-08
50+,2025H1,0.012314732798774935,0.001523520093045461,6.661338147750939e-16
50+,2021H1,0.0,0.0,1.0
