age_group,period,coef,se,pval
41-49,2019H1,-0.007563190912204574,0.0017207838005928106,1.1067105114559439e-05
41-49,2019H2,-0.007774922693553078,0.001682984514031408,3.842556629107818e-06
41-49,2020H1,-0.0014860879531297016,0.001425975444902069,0.29733967370088976
41-49,2020H2,-4.1811466840735574e-05,0.0013438110219559634,0.9751785475694199
41-49,2021H1,0.005247235592532251,0.0006530058242575965,8.881784197001252e-16
41-49,2022H1,0.0033224239562842203,0.0012313249045141801,0.006970489513225209
41-49,2022H2,-9.206367743075811e-05,0.001329543667283273,0.9447949487506695
41-49,2023H1,0.0046238771477226165,0.0016835111194975787,0.006022254558478934
41-49,2023H2,0.0017338001580249958,0.0017098201559547657,0.310570903890635
41-49,2024H1,0.0017464590438415143,0.0018091634973851688,0.3343742407085244
41-49,2024H2,8.774816183967107e-05,0.0018293143877905645,0.9617419164470351
41-49,2025H1,-0.0001614018617959221,0.0019059550706623388,0.932513467501016
41-49,2021H2,0.0,0.0,1.0
50+,2019H1,-0.012815687736552516,0.0013407298638679324,0.0
50+,2019H2,-0.01302547374875764,0.001302114718958559,0.0
50+,2020H1,-0.006078282579145669,0.0011042553761584307,3.7039562750251775e-08
50+,2020H2,-0.003341741131090025,0.0010260615969050286,0.001126513394122286
50+,2021H1,0.0023903233380059997,0.0005285166941507402,6.105562877056769e-06
50+,2022H1,0.0016535049932943759,0.000946625218754563,0.08068304032920492
50+,2022H2,0.0010727067342858143,0.0010317055256031295,0.2984601699483167
50+,2023H1,0.0079280000502913,0.0013396213690741968,3.257068836859389e-09
50+,2023H2,0.007581068151959404,0.001367237862458409,2.9428478320880913e-08
50+,2024H1,0.011631468070825672,0.0014300243614719453,4.440892098500626e-16
50+,2024H2,0.010536010279396633,0.0014506175152704801,3.781419621873283e-13
50+,2025H1,0.014705056136536837,0.0014972494201761497,0.0
50+,2021H2,0.0,0.0,1.0
