ssyk4,year_month,young,n_employed,pctl_rank_genai,exposure_quartile,high_exposure
1113,2024-06,1,8,70.57,Q3,0
1113,2024-07,0,933,70.57,Q3,0
1113,2024-07,1,9,70.57,Q3,0
1113,2024-08,0,935,70.57,Q3,0
1113,2024-08,1,7,70.57,Q3,0
1113,2024-09,0,934,70.57,Q3,0
1113,2024-09,1,7,70.57,Q3,0
1113,2024-10,0,937,70.57,Q3,0
1113,2024-10,1,5,70.57,Q3,0
1113,2024-11,0,936,70.57,Q3,0
1113,2024-11,1,5,70.57,Q3,0
1113,2024-12,0,942,70.57,Q3,0
1113,2024-12,1,5,70.57,Q3,0
1113,2025-01,0,927,70.57,Q3,0
1113,2025-01,1,3,70.57,Q3,0
1113,2025-02,0,928,70.57,Q3,0
1113,2025-02,1,4,70.57,Q3,0
1113,2025-03,0,922,70.57,Q3,0
1113,2025-03,1,5,70.57,Q3,0
1113,2025-04,0,927,70.57,Q3,0
1113,2025-04,1,4,70.57,Q3,0
1113,2025-05,0,924,70.57,Q3,0
1113,2025-05,1,4,70.57,Q3,0
1113,2025-06,0,928,70.57,Q3,0
1113,2025-06,1,4,70.57,Q3,0
1120,2019-01,0,19766,64.889999,Q3,0
1120,2019-01,1,22,64.889999,Q3,0
1120,2019-02,0,19654,64.889999,Q3,0
1120,2019-02,1,24,64.889999,Q3,0
1120,2019-03,0,19688,64.889999,Q3,0
1120,2019-03,1,24,64.889999,Q3,0
1120,2019-04,0,19704,64.889999,Q3,0
1120,2019-04,1,22,64.889999,Q3,0
1120,2019-05,0,19686,64.889999,Q3,0
1120,2019-05,1,22,64.889999,Q3,0
1120,2019-06,0,19686,64.889999,Q3,0
1120,2019-06,1,25,64.889999,Q3,0
1120,2019-07,0,19562,64.889999,Q3,0
1120,2019-07,1,23,64.889999,Q3,0
1120,2019-08,0,19489,64.889999,Q3,0
1120,2019-08,1,25,64.889999,Q3,0
1120,2019-09,0,19530,64.889999,Q3,0
1120,2019-09,1,24,64.889999,Q3,0
1120,2019-10,0,19544,64.889999,Q3,0
1120,2019-10,1,25,64.889999,Q3,0
1120,2019-11,0,19480,64.889999,Q3,0
1120,2019-11,1,25,64.889999,Q3,0
1120,2019-12,0,19662,64.889999,Q3,0
1120,2019-12,1,25,64.889999,Q3,0
1120,2020-01,0,20665,64.889999,Q3,0
1120,2020-01,1,23,64.889999,Q3,0
1120,2020-02,0,20582,64.889999,Q3,0
1120,2020-02,1,25,64.889999,Q3,0
1120,2020-03,0,20650,64.889999,Q3,0
1120,2020-03,1,24,64.889999,Q3,0
1120,2020-04,0,20692,64.889999,Q3,0
1120,2020-04,1,24,64.889999,Q3,0
1120,2020-05,0,20675,64.889999,Q3,0
1120,2020-05,1,27,64.889999,Q3,0
1120,2020-06,0,20713,64.889999,Q3,0
1120,2020-06,1,27,64.889999,Q3,0
1120,2020-07,0,20515,64.889999,Q3,0
1120,2020-07,1,31,64.889999,Q3,0
1120,2020-08,0,20397,64.889999,Q3,0
1120,2020-08,1,29,64.889999,Q3,0
1120,2020-09,0,20451,64.889999,Q3,0
1120,2020-09,1,29,64.889999,Q3,0
1120,2020-10,0,20440,64.889999,Q3,0
1120,2020-10,1,30,64.889999,Q3,0
1120,2020-11,0,20411,64.889999,Q3,0
1120,2020-11,1,29,64.889999,Q3,0
1120,2020-12,0,20604,64.889999,Q3,0
1120,2020-12,1,28,64.889999,Q3,0
1120,2021-01,0,21326,64.889999,Q3,0
1120,2021-01,1,36,64.889999,Q3,0
1120,2021-02,0,21277,64.889999,Q3,0
1120,2021-02,1,38,64.889999,Q3,0
1120,2021-03,0,21356,64.889999,Q3,0
1120,2021-03,1,37,64.889999,Q3,0
1120,2021-04,0,21337,64.889999,Q3,0
1120,2021-04,1,37,64.889999,Q3,0
1120,2021-05,0,21386,64.889999,Q3,0
1120,2021-05,1,38,64.889999,Q3,0
1120,2021-06,0,21402,64.889999,Q3,0
1120,2021-06,1,39,64.889999,Q3,0
1120,2021-07,0,21284,64.889999,Q3,0
1120,2021-07,1,39,64.889999,Q3,0
1120,2021-08,0,21209,64.889999,Q3,0
1120,2021-08,1,41,64.889999,Q3,0
1120,2021-09,0,21256,64.889999,Q3,0
1120,2021-09,1,41,64.889999,Q3,0
1120,2021-10,0,21240,64.889999,Q3,0
1120,2021-10,1,46,64.889999,Q3,0
1120,2021-11,0,21266,64.889999,Q3,0
1120,2021-11,1,47,64.889999,Q3,0
1120,2021-12,0,21462,64.889999,Q3,0
1120,2021-12,1,47,64.889999,Q3,0
1120,2022-01,0,21434,64.889999,Q3,0
1120,2022-01,1,43,64.889999,Q3,0
1120,2022-02,0,21407,64.889999,Q3,0
1120,2022-02,1,40,64.889999,Q3,0
1120,2022-03,0,21455,64.889999,Q3,0
1120,2022-03,1,40,64.889999,Q3,0
1120,2022-04,0,21453,64.889999,Q3,0
1120,2022-04,1,41,64.889999,Q3,0
1120,2022-05,0,21439,64.889999,Q3,0
1120,2022-05,1,40,64.889999,Q3,0
1120,2022-06,0,21424,64.889999,Q3,0
1120,2022-06,1,44,64.889999,Q3,0
1120,2022-07,0,21297,64.889999,Q3,0
1120,2022-07,1,46,64.889999,Q3,0
1120,2022-08,0,21175,64.889999,Q3,0
1120,2022-08,1,47,64.889999,Q3,0
1120,2022-09,0,21213,64.889999,Q3,0
1120,2022-09,1,49,64.889999,Q3,0
1120,2022-10,0,21202,64.889999,Q3,0
1120,2022-10,1,44,64.889999,Q3,0
1120,2022-11,0,21168,64.889999,Q3,0
1120,2022-11,1,45,64.889999,Q3,0
1120,2022-12,0,21360,64.889999,Q3,0
1120,2022-12,1,45,64.889999,Q3,0
1120,2023-01,0,20082,64.889999,Q3,0
1120,2023-01,1,46,64.889999,Q3,0
1120,2023-02,0,19996,64.889999,Q3,0
1120,2023-02,1,47,64.889999,Q3,0
1120,2023-03,0,20074,64.889999,Q3,0
1120,2023-03,1,47,64.889999,Q3,0
1120,2023-04,0,20051,64.889999,Q3,0
1120,2023-04,1,50,64.889999,Q3,0
1120,2023-05,0,20001,64.889999,Q3,0
1120,2023-05,1,49,64.889999,Q3,0
1120,2023-06,0,20026,64.889999,Q3,0
1120,2023-06,1,49,64.889999,Q3,0
1120,2023-07,0,19886,64.889999,Q3,0
1120,2023-07,1,53,64.889999,Q3,0
1120,2023-08,0,19818,64.889999,Q3,0
1120,2023-08,1,51,64.889999,Q3,0
1120,2023-09,0,19826,64.889999,Q3,0
1120,2023-09,1,48,64.889999,Q3,0
1120,2023-10,0,19774,64.889999,Q3,0
1120,2023-10,1,52,64.889999,Q3,0
1120,2023-11,0,19734,64.889999,Q3,0
1120,2023-11,1,52,64.889999,Q3,0
1120,2023-12,0,19835,64.889999,Q3,0
1120,2023-12,1,50,64.889999,Q3,0
1120,2024-01,0,19510,64.889999,Q3,0
1120,2024-01,1,36,64.889999,Q3,0
1120,2024-02,0,19412,64.889999,Q3,0
1120,2024-02,1,35,64.889999,Q3,0
1120,2024-03,0,19426,64.889999,Q3,0
1120,2024-03,1,34,64.889999,Q3,0
1120,2024-04,0,19368,64.889999,Q3,0
1120,2024-04,1,33,64.889999,Q3,0
1120,2024-05,0,19347,64.889999,Q3,0
1120,2024-05,1,36,64.889999,Q3,0
1120,2024-06,0,19320,64.889999,Q3,0
1120,2024-06,1,36,64.889999,Q3,0
1120,2024-07,0,19189,64.889999,Q3,0
1120,2024-07,1,35,64.889999,Q3,0
1120,2024-08,0,19077,64.889999,Q3,0
1120,2024-08,1,36,64.889999,Q3,0
1120,2024-09,0,19073,64.889999,Q3,0
1120,2024-09,1,36,64.889999,Q3,0
1120,2024-10,0,19043,64.889999,Q3,0
1120,2024-10,1,36,64.889999,Q3,0
1120,2024-11,0,19000,64.889999,Q3,0
1120,2024-11,1,36,64.889999,Q3,0
1120,2024-12,0,19180,64.889999,Q3,0
1120,2024-12,1,33,64.889999,Q3,0
1120,2025-01,0,18798,64.889999,Q3,0
1120,2025-01,1,21,64.889999,Q3,0
1120,2025-02,0,18709,64.889999,Q3,0
1120,2025-02,1,21,64.889999,Q3,0
1120,2025-03,0,18732,64.889999,Q3,0
1120,2025-03,1,22,64.889999,Q3,0
1120,2025-04,0,18688,64.889999,Q3,0
1120,2025-04,1,20,64.889999,Q3,0
1120,2025-05,0,18682,64.889999,Q3,0
1120,2025-05,1,21,64.889999,Q3,0
1120,2025-06,0,18690,64.889999,Q3,0
1120,2025-06,1,21,64.889999,Q3,0
1211,2019-01,0,7155,86.169998,Q4 (highest),1
1211,2019-01,1,20,86.169998,Q4 (highest),1
1211,2019-02,0,7134,86.169998,Q4 (highest),1
