age_group,period,coef,se,pval
35-40,2022H1,0.0,0.0,1.0
41-49,2019H1,-0.010885614868589669,0.001873733838383927,6.2629474939512875e-09
41-49,2019H2,-0.011097346650016734,0.0018532601396702513,2.1242467784787777e-09
41-49,2020H1,-0.004808511909504185,0.0016885277917044871,0.004402899707918628
41-49,2020H2,-0.003364235423172637,0.0016469716571446047,0.04108418333249353
41-49,2021H1,0.0019248116361477749,0.0013473137651947966,0.15311089145619228
41-49,2021H2,-0.003322423956354647,0.0012313249045140565,0.006970489512021727
41-49,2022H2,-0.0034144876337755103,0.0006668371124250298,3.0485622759535147e-07
41-49,2023H1,0.001301453191335635,0.00143354553273886,0.36395422018159795
41-49,2023H2,-0.0015886237983422304,0.0014918053581969583,0.286921120904162
41-49,2024H1,-0.0015759649125343703,0.0016333237826638293,0.33460387523855006
41-49,2024H2,-0.003234675794522934,0.0016725104722677677,0.05311016789669032
41-49,2025H1,-0.003483825818160799,0.0017750448073329227,0.049684641082476944
41-49,2022H1,0.0,0.0,1.0
50+,2019H1,-0.014469192729704072,0.0014737523424241295,0.0
50+,2019H2,-0.014678978742008974,0.0014510835499081877,0.0
50+,2020H1,-0.0077317875723206244,0.0013126815819079094,3.860363584351489e-09
50+,2020H2,-0.004995246124149138,0.0012739030022265504,8.810432582007088e-05
50+,2021H1,0.0007368183447413974,0.0010432162806751479,0.4800047692568934
50+,2021H2,-0.001653504993247934,0.0009466252187548684,0.0806830403378167
50+,2022H2,-0.0005807982589089009,0.0005304926936034193,0.2735920073465796
50+,2023H1,0.006274495057144411,0.0011397134526157109,3.6848867512873085e-08
50+,2023H2,0.005927563158955127,0.0011981649518934107,7.528875531903623e-07
50+,2024H1,0.0099779630775267,0.0012809534560967362,6.661338147750939e-15
50+,2024H2,0.008882505286219974,0.0013228503172354902,1.8849588556690833e-11
50+,2025H1,0.013051551143282847,0.001382940867416275,0.0
50+,2022H1,0.0,0.0,1.0
