year_month,exposure_quartile,n_occ,n_zero,zero_share
2025-04,Q1 (lowest),103,6,0.05825242718446602
2025-04,Q2,99,2,0.020202020202020204
2025-04,Q3,76,1,0.013157894736842105
2025-04,Q4 (highest),91,0,0.0
2025-05,Q1 (lowest),103,3,0.02912621359223301
2025-05,Q2,99,1,0.010101010101010102
2025-05,Q3,76,1,0.013157894736842105
2025-05,Q4 (highest),91,1,0.01098901098901099
2025-06,Q1 (lowest),103,8,0.07766990291262135
2025-06,Q2,99,1,0.010101010101010102
2025-06,Q3,76,1,0.013157894736842105
2025-06,Q4 (highest),91,1,0.01098901098901099
2025-07,Q1 (lowest),103,11,0.10679611650485436
2025-07,Q2,99,3,0.030303030303030304
2025-07,Q3,76,2,0.02631578947368421
2025-07,Q4 (highest),91,3,0.03296703296703297
2025-08,Q1 (lowest),103,7,0.06796116504854369
2025-08,Q2,99,2,0.020202020202020204
2025-08,Q3,76,1,0.013157894736842105
2025-08,Q4 (highest),91,1,0.01098901098901099
2025-09,Q1 (lowest),103,5,0.04854368932038835
2025-09,Q2,99,0,0.0
2025-09,Q3,76,0,0.0
2025-09,Q4 (highest),91,0,0.0
2025-10,Q1 (lowest),103,4,0.038834951456310676
2025-10,Q2,99,0,0.0
2025-10,Q3,76,1,0.013157894736842105
2025-10,Q4 (highest),91,0,0.0
2025-11,Q1 (lowest),103,6,0.05825242718446602
2025-11,Q2,99,1,0.010101010101010102
2025-11,Q3,76,0,0.0
2025-11,Q4 (highest),91,0,0.0
2025-12,Q1 (lowest),103,6,0.05825242718446602
2025-12,Q2,99,1,0.010101010101010102
2025-12,Q3,76,0,0.0
2025-12,Q4 (highest),91,1,0.01098901098901099
