year_month,exposure_quartile,n_ads,share
2023-02,Q3,22371,0.25523394448310877
2023-02,Q4 (highest),21326,0.24331138974774383
2023-03,Q1 (lowest),17541,0.16058481031199648
2023-03,Q2,36209,0.3314871100043943
2023-03,Q3,27940,0.2557858503002783
2023-03,Q4 (highest),27542,0.2521422293833309
2023-04,Q1 (lowest),14714,0.159313115126842
2023-04,Q2,32858,0.35576392122045497
2023-04,Q3,23033,0.24938554986519992
2023-04,Q4 (highest),21754,0.23553741378750312
2023-05,Q1 (lowest),17744,0.1435053013821605
2023-05,Q2,44042,0.35619141588554515
2023-05,Q3,31805,0.25722419468325153
2023-05,Q4 (highest),30056,0.24307908804904285
2023-06,Q1 (lowest),13897,0.16452773897189402
2023-06,Q2,28137,0.3331162834750077
2023-06,Q3,20912,0.24757890748940403
2023-06,Q4 (highest),21520,0.25477707006369427
2023-07,Q1 (lowest),9622,0.15705285150001633
2023-07,Q2,20773,0.33906244899291615
2023-07,Q3,16788,0.27401821564978945
2023-07,Q4 (highest),14083,0.2298664838572781
2023-08,Q1 (lowest),13243,0.17742735031283913
2023-08,Q2,24418,0.3271480057342676
2023-08,Q3,19100,0.25589839092163613
2023-08,Q4 (highest),17878,0.23952625303125713
2023-09,Q1 (lowest),12128,0.16171960423500548
2023-09,Q2,24445,0.3259594100861402
2023-09,Q3,19925,0.2656879217004027
2023-09,Q4 (highest),18496,0.2466330639784516
2023-10,Q1 (lowest),10508,0.1461067853170189
2023-10,Q2,21193,0.294674638487208
2023-10,Q3,20590,0.2862903225806452
2023-10,Q4 (highest),19629,0.2729282536151279
2023-11,Q1 (lowest),9518,0.14467903993190143
2023-11,Q2,19868,0.30200495538632255
2023-11,Q3,18679,0.283931475823491
2023-11,Q4 (highest),17722,0.26938452885828507
2023-12,Q1 (lowest),8531,0.15387529084973214
2023-12,Q2,15478,0.27917966847639836
2023-12,Q3,16033,0.2891903104200862
2023-12,Q4 (highest),15399,0.2777547302537833
2024-01,Q1 (lowest),12987,0.1837644328729907
2024-01,Q2,22240,0.31469323069956984
2024-01,Q3,19457,0.27531412723568033
2024-01,Q4 (highest),15988,0.22622820919175912
2024-02,Q1 (lowest),13457,0.19462563093877905
2024-02,Q2,21730,0.31427621017311946
2024-02,Q3,17453,0.2524188999609505
2024-02,Q4 (highest),16503,0.23867925892715097
2024-03,Q1 (lowest),12313,0.184475474185719
2024-03,Q2,20371,0.3052018098462829
2024-03,Q3,16994,0.2546070176489977
2024-03,Q4 (highest),17068,0.2557156983190004
2024-04,Q1 (lowest),12397,0.16822265041930143
2024-04,Q2,24024,0.32599668901131706
2024-04,Q3,19156,0.25993975086167126
2024-04,Q4 (highest),18117,0.24584090970771025
2024-05,Q1 (lowest),11489,0.17328285722904285
2024-05,Q2,19626,0.2960091701607795
2024-05,Q3,18008,0.2716056830864831
2024-05,Q4 (highest),17179,0.25910228952369463
