dm,mcl,beta_artificial,erases_headline
0.03,0.04,-0.0712812020049637,False
0.03,0.045,-0.0765031459861154,False
0.03,0.05,-0.081752501872259,False
0.03,0.055,-0.0870295589731028,False
0.03,0.06,-0.092334611202796,False
0.03,0.065,-0.0976679571781585,False
0.03,0.07,-0.103029900319544,False
0.03,0.075,-0.1084207489544204,False
0.03,0.08,-0.1138408164237596,False
0.03,0.085,-0.1192904211913242,False
0.03,0.09,-0.1247698869559498,False
0.03,0.095,-0.1302795427669194,False
0.03,0.1,-0.1358197231425348,False
0.03,0.105,-0.1413907681919902,False
0.03,0.11,-0.1469930237406601,False
0.03,0.115,-0.1526268414589161,False
0.03,0.12,-0.1582925789945934,False
0.03,0.125,-0.1639906001092311,False
0.03,0.13,-0.1697212748182162,False
0.03,0.135,-0.1754849795349663,True
0.03,0.14,-0.1812820972192922,True
0.03,0.145,-0.1871130175300854,True
0.03,0.15,-0.1929781369824834,True
0.03,0.155,-0.1988778591096717,True
0.03,0.16,-0.2048125946294863,True
0.03,0.165,-0.2107827616159902,True
0.03,0.17,-0.216788785676202,True
0.03,0.175,-0.2228311001321647,True
0.03,0.18,-0.2289101462085468,True
0.03,0.185,-0.2350263732259829,True
0.03,0.19,-0.241180238800361,True
0.03,0.195,-0.2473722090482823,True
0.03,0.2,-0.2536027587989182,True
0.035,0.0,-0.0356271776431511,False
0.035,0.005,-0.0406397194666954,False
0.035,0.01,-0.0456775134966526,False
0.035,0.015,-0.0507408154531993,False
0.035,0.02,-0.0558298849606705,False
0.035,0.025,-0.0609449856274411,False
0.035,0.03,-0.0660863851278597,False
0.035,0.035,-0.0712543552863022,False
0.035,0.04,-0.0764491721634063,False
0.035,0.045,-0.081671116144558,False
0.035,0.05,-0.0869204720307017,False
0.035,0.055,-0.0921975291315455,False
0.035,0.06,-0.0975025813612387,False
0.035,0.065,-0.1028359273366011,False
0.035,0.07,-0.1081978704779867,False
0.035,0.075,-0.1135887191128629,False
0.035,0.08,-0.1190087865822021,False
0.035,0.085,-0.1244583913497669,False
0.035,0.09,-0.1299378571143924,False
0.035,0.095,-0.135447512925362,False
0.035,0.1,-0.1409876933009775,False
0.035,0.105,-0.1465587383504328,False
0.035,0.11,-0.1521609938991026,False
0.035,0.115,-0.1577948116173586,False
0.035,0.12,-0.163460549153036,False
0.035,0.125,-0.1691585702676737,False
0.035,0.13,-0.1748892449766587,True
0.035,0.135,-0.1806529496934089,True
0.035,0.14,-0.1864500673777347,True
0.035,0.145,-0.1922809876885279,True
0.035,0.15,-0.1981461071409261,True
0.035,0.155,-0.2040458292681143,True
0.035,0.16,-0.2099805647879289,True
0.035,0.165,-0.2159507317744328,True
0.035,0.17,-0.2219567558346446,True
0.035,0.175,-0.2279990702906072,True
0.035,0.18,-0.2340781163669893,True
0.035,0.185,-0.2401943433844255,True
0.035,0.19,-0.2463482089588036,True
0.035,0.195,-0.2525401792067249,True
0.035,0.2,-0.2587707289573608,True
0.04,0.0,-0.0408219945202551,False
0.04,0.005,-0.0458345363437994,False
0.04,0.01,-0.0508723303737566,False
0.04,0.015,-0.0559356323303033,False
0.04,0.02,-0.0610247018377746,False
0.04,0.025,-0.066139802504545,False
0.04,0.03,-0.0712812020049637,False
0.04,0.035,-0.0764491721634063,False
0.04,0.04,-0.0816439890405102,False
0.04,0.045,-0.0868659330216619,False
0.04,0.05,-0.0921152889078057,False
0.04,0.055,-0.0973923460086495,False
0.04,0.06,-0.1026973982383427,False
0.04,0.065,-0.1080307442137051,False
0.04,0.07,-0.1133926873550906,False
0.04,0.075,-0.1187835359899669,False
0.04,0.08,-0.1242036034593062,False
0.04,0.085,-0.1296532082268709,False
0.04,0.09,-0.1351326739914964,False
0.04,0.095,-0.140642329802466,False
0.04,0.1,-0.1461825101780814,False
0.04,0.105,-0.1517535552275368,False
0.04,0.11,-0.1573558107762067,False
0.04,0.115,-0.1629896284944626,False
0.04,0.12,-0.16865536603014,False
