year_month,age_group,exposure_quartile,n_emp,share_of_coded
2019-10,41-49,2,279067,0.2803834000632972
2019-10,41-49,3,214594,0.2156062714444316
2019-10,41-49,4,314521,0.3160046417932192
2019-10,50+,1,377606,0.2181698635708916
2019-10,50+,2,512560,0.2961423951735307
2019-10,50+,3,369083,0.2132455198178403
2019-10,50+,4,471540,0.2724422214377373
2019-11,22-25,1,95384,0.2844854840345257
2019-11,22-25,2,154449,0.4606485209641918
2019-11,22-25,3,37730,0.1125307946052027
2019-11,22-25,4,47723,0.1423352003960797
2019-11,26-30,1,128807,0.2321804852813142
2019-11,26-30,2,201717,0.3636040816841543
2019-11,26-30,3,86139,0.1552694715477197
2019-11,26-30,4,138108,0.2489459614868116
2019-11,31-34,1,90099,0.2081572679113115
2019-11,31-34,2,141229,0.3262837855009114
2019-11,31-34,3,77817,0.1797819522642263
2019-11,31-34,4,123696,0.2857769943235507
2019-11,35-40,1,119721,0.1926506297460257
2019-11,35-40,2,186066,0.2994105635128676
2019-11,35-40,3,123929,0.1994219885717228
2019-11,35-40,4,191725,0.3085168181693837
2019-11,41-49,1,186418,0.1874182512066901
2019-11,41-49,2,279645,0.2811454733914904
2019-11,41-49,3,214916,0.2160691611128593
2019-11,41-49,4,313684,0.3153671142889602
2019-11,50+,1,376041,0.2173028148625854
2019-11,50+,2,513376,0.2966645921133457
2019-11,50+,3,370302,0.2139864188991229
2019-11,50+,4,470774,0.2720461741249459
2019-12,22-25,1,94404,0.2816264431252051
2019-12,22-25,2,154882,0.4620446884042838
2019-12,22-25,3,37821,0.1128277796008472
2019-12,22-25,4,48103,0.1435010888696637
2019-12,26-30,1,128437,0.2305411309415897
2019-12,26-30,2,202094,0.3627535625755011
2019-12,26-30,3,86769,0.1557481363677974
2019-12,26-30,4,139811,0.2509571701151117
2019-12,31-34,1,90031,0.2067107344658711
2019-12,31-34,2,141488,0.3248557541081092
2019-12,31-34,3,78499,0.1802333190216305
2019-12,31-34,4,125523,0.288200192404389
2019-12,35-40,1,119820,0.1908758112460931
2019-12,35-40,2,187152,0.2981371209007579
2019-12,35-40,3,125654,0.2001694974655031
2019-12,35-40,4,195112,0.3108175703876458
2019-12,41-49,1,187404,0.1858191484825919
2019-12,41-49,2,282348,0.2799602192896783
2019-12,41-49,3,218756,0.2169060086522053
2019-12,41-49,4,320021,0.3173146235755243
2019-12,50+,1,379805,0.2152370892032082
2019-12,50+,2,519927,0.2946448153082672
2019-12,50+,3,380116,0.2154133342098358
2019-12,50+,4,484741,0.2747047612786887
2020-01,22-25,1,88339,0.2808344380545462
2020-01,22-25,2,149715,0.4759520471517267
2020-01,22-25,3,33840,0.1075791822837687
2020-01,22-25,4,42665,0.1356343325099583
2020-01,26-30,1,131815,0.2310071677678274
2020-01,26-30,2,208565,0.3655123464362699
2020-01,26-30,3,87823,0.1539107271165945
2020-01,26-30,4,142407,0.2495697586793081
2020-01,31-34,1,95732,0.2080958529512779
2020-01,31-34,2,149084,0.3240688812663301
2020-01,31-34,3,82394,0.1791025958725148
2020-01,31-34,4,132828,0.288732669909877
2020-01,35-40,1,126078,0.1954915897588568
2020-01,35-40,2,191633,0.2971385953160663
2020-01,35-40,3,127883,0.1982903517912077
2020-01,35-40,4,199334,0.3090794631338692
2020-01,41-49,1,188736,0.1861123738656164
2020-01,41-49,2,281308,0.2773975270610208
2020-01,41-49,3,219681,0.2166272062731671
2020-01,41-49,4,324372,0.3198628928001956
2020-01,50+,1,398087,0.2181911956621231
2020-01,50+,2,535437,0.2934726309368058
2020-01,50+,3,388999,0.213210069460621
2020-01,50+,4,501964,0.2751261039404501
2020-02,22-25,1,85370,0.2798915448951021
2020-02,22-25,2,145058,0.4755828478317175
2020-02,22-25,3,33012,0.1082321621187432
2020-02,22-25,4,41571,0.136293445154437
2020-02,26-30,1,129763,0.2298696030341519
2020-02,26-30,2,205821,0.3646030961529263
2020-02,26-30,3,87240,0.1545419277351742
2020-02,26-30,4,141683,0.2509853730777475
2020-02,31-34,1,94933,0.2075596280530066
2020-02,31-34,2,147926,0.3234224720525955
