grp,expband,fresh,n,ws,wh
25T,6-10,0,78.0,5002.510039,13.0
25T,6-10,1,514.0,33216.110241,102.0
25T,na,0,40.0,2491.60004,0.0
25T,na,1,15.0,934.350015,0.0
33E,0-2,0,7280.0,288095.61343586,811.0
33E,0-2,1,19789.0,848410.35143407,2423.0
33E,11-20,1,15.0,563.6999930000001,0.0
33E,21+,0,25699.0,1762968.98426676,12594.0
33E,21+,1,47032.0,3144991.89945413,23666.0
33E,3-5,0,4844.0,220353.76282387,822.0
33E,3-5,1,8204.0,382109.02489686,1464.0
33E,6-10,0,2645.0,133847.4714213,613.0
33E,6-10,1,4211.0,214902.31236962,982.0
33E,na,0,979.0,66212.040053,484.0
33E,na,1,1512.0,88924.0302332,627.0
33H,0-2,0,2089.0,81939.5212599,175.0
33H,0-2,1,7420.0,303383.63488434,606.0
33H,11-20,0,9359.0,459983.56353735,2195.0
33H,11-20,1,21539.0,1040132.3259409,4725.0
33H,21+,0,41777.0,2406291.94815747,14520.0
33H,21+,1,86032.0,4624110.35593104,26750.0
33H,3-5,0,2104.0,87595.2113398,223.0
33H,3-5,1,5260.0,218350.09283846,543.0
33H,6-10,0,4794.0,207792.74239642,716.0
33H,6-10,1,10391.0,443763.65402545,1423.0
33H,na,0,6467.0,289751.17088093,1467.0
33H,na,1,10720.0,399390.54100067,1340.0
34P,0-2,0,26735.0,1283243.09252371,5987.0
34P,0-2,1,34274.0,2003893.71261462,13484.0
34P,11-20,0,12497.0,915820.5706776,6872.0
34P,11-20,1,26470.0,1924501.65373844,15456.0
34P,21+,0,7942.0,596098.0501703,4719.0
34P,21+,1,14940.0,1105101.60147336,9214.0
34P,3-5,0,3888.0,256572.830865,1829.0
34P,3-5,1,7477.0,510308.46186578,3973.0
34P,6-10,0,6642.0,473573.2808434,3500.0
34P,6-10,1,12859.0,915190.37262148,7111.0
34P,na,0,255.0,19638.64999,174.0
34P,na,1,301.0,19971.5199766,167.0
35B,0-2,0,22.0,1590.260048,14.0
35B,0-2,1,454.0,36776.821585000005,424.0
35B,11-20,0,108.0,9272.520309,108.0
35B,11-20,1,1862.0,151232.1756712,1779.0
35B,21+,0,393.0,31441.581038,356.0
35B,21+,1,1631.0,127036.624578,1466.0
35B,3-5,0,14.0,1146.740056,14.0
35B,3-5,1,495.0,40834.51173,476.0
35B,6-10,0,57.0,4867.340173,57.0
35B,6-10,1,1049.0,86522.013367,1020.0
35E,0-2,0,5002.0,325551.0120352,2508.0
35E,0-2,1,10298.0,851405.0006606,8364.0
35E,11-20,0,15849.0,1201681.7086897,10231.0
35E,11-20,1,35980.0,2769129.11938618,24819.0
35E,21+,0,20424.0,1567063.32825474,13093.0
35E,21+,1,35606.0,2714627.11726388,24180.0
35E,3-5,0,5418.0,428676.7403828,3909.0
35E,3-5,1,11110.0,935266.8506601,9130.0
35E,6-10,0,10711.0,847354.2198337,7568.0
35E,6-10,1,20921.0,1684001.2014688,15774.0
35E,na,0,2776.0,173910.8001987,1289.0
35E,na,1,4992.0,287359.1399562,2093.0
35F,0-2,0,1450.0,85061.8405307,555.0
35F,0-2,1,4970.0,340741.990282,2478.0
35F,11-20,0,2051.0,151125.8101358,1170.0
35F,11-20,1,10727.0,778007.3986808,5842.0
35F,21+,0,1422.0,108202.0601443,933.0
35F,21+,1,4791.0,358694.66941780003,3157.0
35F,3-5,0,1304.0,91139.0402446,739.0
35F,3-5,1,5153.0,376189.2902583,2898.0
35F,6-10,0,2004.0,147267.8001392,1205.0
35F,6-10,1,8698.0,630070.8796637,4722.0
35F,na,0,17.0,1337.71001,12.0
35F,na,1,13.0,1061.84,13.0
35J,0-2,0,1022.0,67089.0903898,635.0
35J,0-2,1,3446.0,269099.8337068,3007.0
35J,11-20,0,3652.0,274779.8484023,2986.0
35J,11-20,1,10057.0,759834.414537,7863.0
35J,21+,0,5574.0,421929.8880193,4374.0
35J,21+,1,10885.0,810056.3032901,8181.0
35J,3-5,0,1362.0,103830.9503958,1188.0
35J,3-5,1,3707.0,294750.5834263,3208.0
35J,6-10,0,2398.0,185598.8297332,2150.0
35J,6-10,1,6464.0,504937.4841161,5411.0
35J,na,0,442.0,17939.9700312,93.0
35J,na,1,1001.0,42511.3700261,219.0
35M,0-2,0,1234.0,72473.0907857,496.0
35M,0-2,1,1685.0,134156.8208744,1317.0
35M,11-20,0,1622.0,130688.9908292,1237.0
35M,11-20,1,4790.0,381741.9118237,3732.0
35M,21+,0,1040.0,84845.91024699999,811.0
35M,21+,1,2454.0,201992.5306712,2032.0
35M,3-5,0,1045.0,77935.7106717,738.0
35M,3-5,1,1845.0,151608.221049,1521.0
35M,6-10,0,1937.0,155260.1711434,1495.0
35M,6-10,1,3932.0,318942.78178,3171.0
35M,na,0,70.0,5626.2800206,59.0
35M,na,1,108.0,8558.5400167,88.0
35P,0-2,0,237.0,16890.379881,176.0
35P,0-2,1,1887.0,148169.54884,1691.0
35P,11-20,0,800.0,62006.139915,658.0
35P,11-20,1,3518.0,279583.628588,3126.0
35P,21+,0,668.0,53151.849768,590.0
35P,21+,1,1696.0,133690.659881,1535.0
35P,3-5,0,333.0,26149.819826,301.0
35P,3-5,1,1806.0,144415.318894,1686.0
35P,6-10,0,600.0,46794.009862,514.0
35P,6-10,1,2910.0,231856.128494,2630.0
35P,na,0,240.0,18775.810059,212.0
35P,na,1,797.0,62066.069873,726.0
35S,0-2,0,1656.0,90425.1006494,496.0
35S,0-2,1,4514.0,343050.6411382,2806.0
35S,11-20,0,2233.0,168034.6201777,1335.0
35S,11-20,1,8068.0,627038.2703697999,5228.0
35S,21+,0,4443.0,337758.1502547,2760.0
35S,21+,1,8190.0,605762.8200595,5105.0
35S,3-5,0,1070.0,74818.8604584,573.0
35S,3-5,1,4191.0,334858.2211405,2867.0
35S,6-10,0,1684.0,126324.8506552,1027.0
35S,6-10,1,6501.0,523740.8209979,4527.0
35S,na,0,1002.0,56943.8202261,405.0
35S,na,1,2224.0,112556.330006,635.0
35V,0-2,0,57.0,4658.01,57.0
35V,0-2,1,1808.0,143813.57002,1758.0
35V,11-20,0,100.0,8269.390000000001,100.0
35V,11-20,1,1302.0,105313.900107,1185.0
35V,21+,0,619.0,46943.2199975,504.0
35V,21+,1,3208.0,248635.9901873,2704.0
35V,3-5,0,121.0,9790.15,121.0
35V,3-5,1,2086.0,166464.810045,1986.0
35V,6-10,0,126.0,10272.09,126.0
35V,6-10,1,1829.0,146765.21008,1721.0
35V,na,0,254.0,20175.669967,226.0
35V,na,1,804.0,63094.680013,714.0
35Y,0-2,0,3540.0,195522.8318776,1072.0
35Y,0-2,1,5499.0,407019.9501131,3558.0
35Y,11-20,0,5063.0,377450.4711189,2937.0
35Y,11-20,1,8683.0,630643.64109804,5060.0
35Y,21+,0,4361.0,327488.9612084,2452.0
35Y,21+,1,5171.0,378153.031314,3020.0
35Y,3-5,0,2292.0,171623.4603942,1480.0
35Y,3-5,1,3714.0,301206.87840570003,2936.0
35Y,6-10,0,4340.0,333218.090942,2763.0
35Y,6-10,1,6830.0,517623.9898139,4449.0
35Y,na,0,515.0,38750.810195,307.0
35Y,na,1,569.0,36848.130096,298.0
43Z,0-2,0,84.0,4321.2100379,23.0
43Z,0-2,1,214.0,10491.3099872,49.0
43Z,11-20,0,822.0,44109.7401635,277.0
43Z,11-20,1,2148.0,103956.61018972,591.0
43Z,21+,0,2610.0,158884.64048212,1109.0
43Z,21+,1,6559.0,390948.66076852,2725.0
43Z,3-5,0,18.0,975.7100265,7.0
43Z,3-5,1,118.0,6153.269961,27.0
43Z,6-10,0,92.0,5435.1500139,31.0
43Z,6-10,1,284.0,13400.5099662,66.0
43Z,na,0,1609.0,47455.0602202,109.0
43Z,na,1,3201.0,102732.61028502,219.0
44P,0-2,0,5822.0,275786.6824097,1309.0
44P,0-2,1,7209.0,435496.50270948,2921.0
44P,11-20,0,3500.0,275678.41194210004,2335.0
44P,11-20,1,7367.0,545453.22215058,4493.0
44P,21+,0,2313.0,189680.0711954,1672.0
44P,21+,1,4646.0,360640.48122146,3151.0
44P,3-5,0,1310.0,97676.5109432,831.0
44P,3-5,1,2594.0,189281.6510535,1543.0
44P,6-10,0,2349.0,186220.381492,1609.0
44P,6-10,1,4038.0,292447.9713214,2376.0
44P,na,0,16.0,1558.190027,16.0
44P,na,1,42.0,2292.010036,13.0
45B,0-2,0,437.0,24430.8601354,146.0
45B,0-2,1,1854.0,129175.4602704,943.0
45B,11-20,0,1151.0,85603.7395985,666.0
45B,11-20,1,5947.0,430709.5985208,3202.0
45B,21+,0,895.0,70613.259754,641.0
45B,21+,1,3500.0,261611.9895855,2115.0
45B,3-5,0,380.0,26484.6099536,205.0
45B,3-5,1,1949.0,144526.090032,1163.0
45B,6-10,0,679.0,48563.8198964,375.0
45B,6-10,1,3368.0,241993.0191058,1795.0
45B,na,1,26.0,2086.989988,20.0
45DH,0-2,0,1734.0,115045.7312489,860.0
45DH,0-2,1,3260.0,288643.2125847,2774.0
45DH,11-20,0,2958.0,264532.5422445,2512.0
45DH,11-20,1,6950.0,602805.7127173,5734.0
45DH,21+,0,2474.0,224256.991935,2129.0
45DH,21+,1,6095.0,544357.7831505,5328.0
45DH,3-5,0,1638.0,141482.81148940002,1311.0
45DH,3-5,1,3084.0,280817.2223428,2776.0
45DH,6-10,0,2299.0,206685.5321928,1987.0
45DH,6-10,1,4118.0,366773.1623444,3584.0
45DH,na,0,2218.0,204099.611894,1976.0
45DH,na,1,5719.0,528520.4450950001,5234.0
45DL,0-2,0,2750.0,144205.69127874,804.0
45DL,0-2,1,3031.0,227959.58177856,1947.0
45DL,11-20,0,1239.0,106474.2206672,1015.0
45DL,11-20,1,2337.0,189183.0504354,1745.0
45DL,21+,0,2025.0,170073.93108600003,1515.0
45DL,21+,1,4327.0,356141.8517718,3264.0
45DL,3-5,0,1091.0,93076.1107897,856.0
45DL,3-5,1,1509.0,132245.590845,1255.0
45DL,6-10,0,1215.0,109651.990836,1052.0
45DL,6-10,1,1842.0,156313.7507018,1482.0
45DL,na,0,873.0,55214.60033930001,427.0
45DL,na,1,1485.0,85069.2003791,625.0
45FM,0-2,0,189.0,13648.3201434,119.0
45FM,0-2,1,884.0,79555.530857,805.0
45FM,11-20,0,421.0,36453.2404015,338.0
45FM,11-20,1,2033.0,174810.5101456,1672.0
45FM,21+,0,738.0,62909.6505605,594.0
45FM,21+,1,2447.0,201476.9108158,1879.0
45FM,3-5,0,193.0,17642.600248000002,177.0
45FM,3-5,1,769.0,69689.820559,705.0
45FM,6-10,0,247.0,22259.3502236,217.0
45FM,6-10,1,1025.0,90485.83029,891.0
45FM,na,1,29.0,2855.910004,29.0
45G,0-2,0,41.0,2077.3200336,13.0
45G,0-2,1,271.0,21046.159946,190.0
45G,11-20,0,56.0,4850.899901,56.0
45G,11-20,1,949.0,75555.2696184,663.0
45G,21+,0,220.0,17930.259806,172.0
45G,21+,1,916.0,73483.879881,669.0
45G,3-5,0,52.0,4039.109976,39.0
45G,3-5,1,441.0,35961.069898,344.0
45G,6-10,0,73.0,6068.809943,63.0
45G,6-10,1,593.0,48504.509685,451.0
45K,0-2,0,36.0,2426.5800226,22.0
45K,0-2,1,310.0,24307.950104,218.0
45K,11-20,0,293.0,23100.920002,184.0
45K,11-20,1,1659.0,126263.959687,1007.0
45K,21+,0,620.0,50333.530006,450.0
45K,21+,1,2131.0,160740.10012,1257.0
45K,3-5,0,53.0,4199.219995,38.0
45K,3-5,1,333.0,27252.49011,259.0
45K,6-10,0,102.0,8177.059995,68.0
45K,6-10,1,558.0,43197.4998635,371.0
45Q,0-2,0,49.0,2887.4800277,24.0
45Q,0-2,1,585.0,50312.330575,520.0
45Q,11-20,0,840.0,62605.110319,551.0
45Q,11-20,1,2548.0,195070.5100274,1719.0
45Q,21+,0,838.0,63599.9202099,535.0
45Q,21+,1,1534.0,97998.6401528,757.0
45Q,3-5,0,90.0,7347.700097600001,67.0
45Q,3-5,1,1072.0,91237.2805994,921.0
45Q,6-10,0,358.0,29236.2501591,273.0
45Q,6-10,1,1585.0,129544.8399094,1208.0
45Q,na,0,545.0,31115.8602007,198.0
45Q,na,1,1603.0,99850.03994638,754.0
45X,11-20,0,111.0,3822.520029,17.0
45X,11-20,1,418.0,15631.379966,43.0
45X,21+,0,81.0,3527.3300207,16.0
45X,21+,1,328.0,12769.4599241,59.0
45X,3-5,1,12.0,574.439988,0.0
45X,6-10,0,18.0,560.8100005,0.0
45X,6-10,1,92.0,3813.6600149,12.0
45X,na,0,369.0,11422.0000496,25.0
45X,na,1,839.0,30533.1400753,82.0
53A,21+,0,10857.0,589352.05160943,2734.0
53A,21+,1,14626.0,782674.90175901,4228.0
53A,na,0,2231.0,123394.64024868,566.0
53A,na,1,3114.0,125820.35010306,313.0
53B,0-2,0,6034.0,185894.73963623,278.0
