period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,arm,age_group
2019H2,-0.0603982080994301,0.0085665895810784,1.78355563573499e-12,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2020H1,-0.049887888152585,0.004422499630734,1.63862341949694e-29,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2020H2,-0.0452678012287829,0.0043781382000649,4.66921554794752e-25,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2021H1,-0.0198028938570096,0.0024220019366617,2.92813614568868e-16,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2021H2,-0.0167584225200674,0.0027007912634818,5.46952633577888e-10,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2022H1,0.0,0.0,,12472500,71673349,True,31.4549610614777,reference,fresh,50+
2022H2,0.0028726532806989,0.0015548795872456,0.0646734748594788,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2023H1,0.0119172057434196,0.0040121125116038,0.0029750230935715,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2023H2,0.0126910570447286,0.0040419936280129,0.0016906243399005,12472500,71673349,True,31.4549610614777,ok,fresh,50+
2019H1,0.052917582125162,0.0220852033280953,0.0165721524013459,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2019H2,-0.0114022056845602,0.0237732481097602,0.631495216384351,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2020H1,0.125601769952751,0.0197632288447875,2.07984520701771e-10,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2020H2,0.102900400371189,0.0216709491101569,2.05122713979357e-06,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2021H1,0.0689698385037261,0.0179738167682545,0.0001244251434741,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2021H2,-0.0065728695429425,0.0176071654289488,0.708920329044587,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2022H1,0.0,0.0,,4727040,3935237,True,15.9308280944824,reference,stale,22-25
2022H2,-0.0776322885133054,0.0124061666221431,3.91056016812421e-10,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2023H1,0.120630700903479,0.0197207978330918,9.539642718726371e-10,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2023H2,0.0474346817062595,0.0214944660357119,0.027325778264995,4727040,3935237,True,15.9308280944824,ok,stale,22-25
2019H1,-0.0246528641683338,0.0103157602834898,0.0168563921017465,14217000,23366958,True,44.3393468856812,ok,stale,50+
2019H2,-0.0197164110473464,0.0099372355576357,0.047245343930377,14217000,23366958,True,44.3393468856812,ok,stale,50+
2020H1,-0.0216542408766836,0.0088676544033773,0.0146087528235954,14217000,23366958,True,44.3393468856812,ok,stale,50+
2020H2,-0.0100250902400993,0.0084338877844304,0.234570444286934,14217000,23366958,True,44.3393468856812,ok,stale,50+
2021H1,-0.0097391512399016,0.0063200932477782,0.123321116560396,14217000,23366958,True,44.3393468856812,ok,stale,50+
2021H2,-0.0039404678588379,0.0076051745378986,0.604367682559721,14217000,23366958,True,44.3393468856812,ok,stale,50+
2022H1,0.0,0.0,,14217000,23366958,True,44.3393468856812,reference,stale,50+
2022H2,0.0105550300361513,0.0033708464498873,0.0017405211818365,14217000,23366958,True,44.3393468856812,ok,stale,50+
2023H1,0.0416178960691969,0.0099757126786828,3.02040922629946e-05,14217000,23366958,True,44.3393468856812,ok,stale,50+
2023H2,0.0502742912212835,0.011002206029634,4.88950489702986e-06,14217000,23366958,True,44.3393468856812,ok,stale,50+
