inr,expband,fresh,n,ws,wh
145f,0-2,0,22.0,1658.6399540000002,17.0
145f,0-2,1,1008.0,75132.418571,590.0
145f,11-20,0,252.0,18576.089869,111.0
145f,11-20,1,4042.0,296674.576125,1790.0
145f,21+,0,196.0,14712.819914,77.0
145f,21+,1,892.0,66598.469518,371.0
145f,3-5,0,37.0,2781.909941,24.0
145f,3-5,1,967.0,71886.738843,500.0
145f,6-10,0,68.0,5049.59995,26.0
145f,6-10,1,1823.0,135267.728169,873.0
145f,na,1,10.0,757.69997,10.0
145g,0-2,1,126.0,9497.219742,96.0
145g,11-20,0,22.0,1655.319962,15.0
145g,11-20,1,643.0,47742.688954,383.0
145g,21+,1,233.0,17389.579557,155.0
145g,3-5,1,145.0,10906.969757,97.0
145g,6-10,1,294.0,22010.429469,198.0
145h,0-2,1,330.0,24780.49919,280.0
145h,11-20,0,28.0,2103.2999600000003,17.0
145h,11-20,1,968.0,71689.078497,587.0
145h,21+,1,50.0,3766.919902,37.0
145h,3-5,1,344.0,25715.599266,259.0
145h,6-10,0,16.0,1204.019972,11.0
145h,6-10,1,705.0,52024.108673,472.0
145i,0-2,1,257.0,19359.389449,200.0
145i,11-20,0,62.0,4669.5198820000005,45.0
145i,11-20,1,1178.0,87005.368227,688.0
145i,21+,0,60.0,4497.439884,42.0
145i,21+,1,445.0,32775.559196,290.0
145i,3-5,1,268.0,20165.339489,193.0
145i,6-10,0,27.0,2034.169947,20.0
145i,6-10,1,703.0,52370.698637,486.0
145x,0-2,0,3946.0,186821.8804033,738.0
145x,0-2,1,5532.0,307460.1880306,1721.0
145x,11-20,0,416.0,27068.7699188,176.0
145x,11-20,1,2065.0,139643.9887436,845.0
145x,21+,0,4020.0,290976.569008,1657.0
145x,21+,1,3253.0,217306.4792641,1188.0
145x,3-5,0,255.0,13784.790054,62.0
145x,3-5,1,788.0,46500.3195229,308.0
145x,6-10,0,269.0,16980.4300167,86.0
145x,6-10,1,1378.0,94871.4189818,614.0
145x,na,0,181.0,9885.8899076,57.0
145x,na,1,147.0,7507.8299228,47.0
146a,11-20,0,72.0,4045.599889,6.0
146a,11-20,1,309.0,17314.549467,48.0
146a,21+,0,1231.0,66702.2986008,216.0
146a,21+,1,1151.0,59688.9588185,166.0
146a,3-5,1,14.0,676.8999719999999,0.0
146a,6-10,0,21.0,1015.349958,0.0
146a,6-10,1,223.0,12609.579609,35.0
146a,na,0,14.0,614.249982,0.0
146b,11-20,1,44.0,2576.689934,5.0
146b,21+,0,176.0,11615.869864,52.0
146b,21+,1,111.0,6758.669914,21.0
146b,6-10,1,11.0,660.649993,0.0
146c,11-20,1,85.0,5106.029834,23.0
146c,21+,1,19.0,998.999962,0.0
146c,6-10,1,47.0,2749.409928,8.0
146d,11-20,1,52.0,2828.739922,9.0
146d,21+,0,109.0,5059.8799591,16.0
146d,21+,1,249.0,10002.9899038,19.0
146d,6-10,1,10.0,483.49998,0.0
146e,0-2,1,18.0,1050.6199849999998,0.0
146e,11-20,0,39.0,2091.729946,0.0
146e,11-20,1,204.0,11817.499762,21.0
146e,21+,0,1479.0,83822.069848,314.0
146e,21+,1,901.0,48879.019532,159.0
146e,3-5,1,15.0,854.049985,0.0
146e,6-10,1,73.0,4081.879888,5.0
146e,na,0,89.0,4964.469984,19.0
146e,na,1,18.0,654.6299999999999,0.0
146f,11-20,1,41.0,2912.4099720000004,17.0
146f,3-5,1,13.0,975.049985,7.0
146f,6-10,1,22.0,1630.420022,0.0
146g,0-2,1,351.0,26078.839424,207.0
146g,11-20,0,65.0,4585.409961,17.0
146g,11-20,1,1119.0,81384.789176,416.0
146g,21+,0,1122.0,77215.899554,296.0
146g,21+,1,3033.0,216739.108656,986.0
146g,3-5,0,35.0,2608.869952,19.0
146g,3-5,1,434.0,32132.529408,224.0
146g,6-10,0,60.0,4273.029948,20.0
146g,6-10,1,887.0,64716.249031,384.0
146g,na,0,277.0,19720.089918,58.0
146g,na,1,124.0,8271.339969,12.0
146h,0-2,1,98.0,7392.259786,78.0
146h,11-20,0,26.0,1731.44996,14.0
146h,11-20,1,261.0,19015.509672,145.0
146h,21+,0,341.0,24738.659743,179.0
146h,21+,1,735.0,51006.509318,338.0
146h,3-5,1,95.0,7164.949795,75.0
146h,6-10,1,172.0,12888.179738,105.0
146h,na,0,27.0,2034.169947,20.0
146h,na,1,21.0,1226.339985,5.0
146i,0-2,1,28.0,2060.739989,7.0
146i,21+,0,50.0,3340.390031,7.0
146i,21+,1,98.0,6770.629981,29.0
146i,3-5,1,53.0,3763.209979,11.0
146i,6-10,1,45.0,3326.549985,12.0
146j,0-2,1,112.0,8486.239664,112.0
146j,11-20,0,31.0,2348.869907,31.0
146j,11-20,1,290.0,21747.929234,256.0
146j,21+,0,898.0,63352.878081,672.0
146j,21+,1,1475.0,102856.646754,1101.0
146j,3-5,1,207.0,15684.389379,207.0
146j,6-10,0,15.0,1136.549955,15.0
146j,6-10,1,146.0,11005.669567,141.0
146j,na,0,300.0,21369.019265,248.0
146j,na,1,94.0,4599.369868,46.0
146k,0-2,1,198.0,14942.69955,162.0
146k,11-20,0,53.0,2958.149944,22.0
146k,11-20,1,717.0,51302.328810000006,431.0
146k,21+,0,1212.0,84250.19898750001,581.0
146k,21+,1,2048.0,141889.2777732,990.0
146k,3-5,1,158.0,11805.319642,124.0
146k,6-10,1,396.0,28981.859255000003,275.0
146k,na,0,50.0,3692.179924,27.0
146k,na,1,23.0,1724.449975,12.0
146l,0-2,1,34.0,2576.1798980000003,34.0
146l,11-20,1,41.0,3098.269897,36.0
146l,21+,0,300.0,20821.9194529,192.0
146l,21+,1,623.0,43296.6887235,420.0
146l,3-5,1,44.0,3333.879868,44.0
146l,6-10,1,48.0,3636.959856,48.0
146l,na,0,140.0,9539.009721,91.0
146l,na,1,36.0,1469.319967,11.0
146x,0-2,0,563.0,27184.4498366,55.0
146x,0-2,1,1721.0,95813.6977915,243.0
146x,11-20,0,171.0,10687.179859,40.0
146x,11-20,1,1019.0,67228.758659,382.0
146x,21+,0,70.0,4366.489918,23.0
146x,21+,1,190.0,11823.059758,65.0
146x,3-5,0,256.0,14552.049766,8.0
146x,3-5,1,995.0,56570.718461,147.0
146x,6-10,0,489.0,28450.8595555,38.0
146x,6-10,1,1452.0,89232.178136,407.0
146x,na,0,25.0,736.0800241,0.0
146x,na,1,34.0,1683.2599937999998,11.0
149a,0-2,0,28.0,1795.279986,6.0
149a,0-2,1,1249.0,77605.007878,106.0
149a,11-20,0,1314.0,82871.067906,154.0
149a,11-20,1,3302.0,206770.704668,327.0
149a,21+,0,3065.0,195041.895712,606.0
149a,21+,1,1544.0,91831.8979891,216.0
149a,3-5,0,15.0,902.54997,0.0
149a,3-5,1,1164.0,72428.447831,80.0
149a,6-10,0,90.0,5598.179841,11.0
149a,6-10,1,1450.0,91654.347429,131.0
149a,na,0,95.0,5864.3299050000005,29.0
149a,na,1,11.0,739.8699730000001,5.0
149b,11-20,1,12.0,909.239964,12.0
149b,21+,0,166.0,12127.209651,128.0
149b,21+,1,206.0,15311.849465,169.0
149b,na,1,24.0,1818.479928,24.0
149c,21+,0,22.0,1401.5999940000002,0.0
149d,0-2,1,1610.0,102315.016752,288.0
149d,11-20,0,12.0,815.6399700000001,6.0
149d,11-20,1,88.0,5467.909835,9.0
149d,21+,1,23.0,1493.109947,7.0
149d,3-5,0,16.0,962.719968,0.0
149d,3-5,1,1515.0,95540.637116,186.0
149d,6-10,0,60.0,3851.499884,11.0
149d,6-10,1,1137.0,71667.867839,129.0
149x,0-2,0,985.0,52127.4500752,231.0
149x,0-2,1,3327.0,203319.64816,1175.0
149x,11-20,0,3523.0,185962.890236,833.0
149x,11-20,1,8399.0,450205.38907149,2184.0
149x,21+,0,2040.0,103239.4101499,426.0
149x,21+,1,3054.0,144586.9794595,631.0
149x,3-5,0,308.0,17842.3699549,107.0
149x,3-5,1,1112.0,68764.0792946,411.0
149x,6-10,0,1179.0,61274.650042500005,255.0
149x,6-10,1,3407.0,193408.1492203,996.0
149x,na,0,1143.0,46956.6201914,162.0
149x,na,1,2153.0,89461.9693769,319.0
210z,0-2,0,19.0,627.1200235,0.0
210z,11-20,0,10.0,511.8500105,5.0
210z,3-5,1,16.0,914.930017,5.0
210z,na,0,38.0,717.5500039,0.0
210z,na,1,72.0,2505.0699967,6.0
211a,0-2,0,143.0,4758.4800247,8.0
211a,0-2,1,208.0,10092.8500976,34.0
211a,11-20,0,61.0,2736.860006,6.0
211a,11-20,1,363.0,20232.229988,93.0
211a,21+,0,565.0,28953.2599307,176.0
211a,21+,1,1133.0,58753.0598323,286.0
211a,3-5,0,82.0,2780.8100332,0.0
211a,3-5,1,152.0,6403.5300026,16.0
211a,6-10,0,173.0,7047.7200571,18.0
211a,6-10,1,337.0,16861.460072500002,63.0
211a,na,0,22.0,325.3499988,0.0
211a,na,1,30.0,1352.229988,6.0
211b,0-2,0,38.0,2380.450049,15.0
211b,0-2,1,75.0,6119.790073,61.0
211b,11-20,0,86.0,6802.920106,59.0
211b,11-20,1,323.0,26055.460271,252.0
211b,21+,0,51.0,4064.990069,41.0
211b,21+,1,174.0,14684.690194,156.0
211b,3-5,0,28.0,1952.080037,15.0
211b,3-5,1,69.0,6111.210115,64.0
211b,6-10,0,59.0,4731.200078,47.0
211b,6-10,1,240.0,18841.240267,171.0
211x,0-2,0,30.0,1436.2500249999998,5.0
211x,0-2,1,36.0,1839.080045,10.0
211x,11-20,1,17.0,879.310003,5.0
211x,na,0,41.0,1401.7900115,5.0
211x,na,1,66.0,2576.900011,11.0
212a,0-2,0,178.0,8565.4700775,19.0
212a,0-2,1,550.0,32267.1801009,45.0
212a,11-20,0,121.0,8074.020012,21.0
212a,11-20,1,626.0,42088.459947,94.0
212a,21+,0,573.0,38210.710032,94.0
212a,21+,1,1365.0,91315.449896,201.0
212a,3-5,0,179.0,9317.3300461,26.0
212a,3-5,1,503.0,31336.8600256,56.0
212a,6-10,0,331.0,19533.420179,59.0
212a,6-10,1,811.0,51685.000123,114.0
212a,na,0,86.0,5793.509991,5.0
212a,na,1,44.0,2833.25,0.0
212b,0-2,0,108.0,4388.1900795,5.0
212b,0-2,1,139.0,6400.5900873,11.0
212b,11-20,0,370.0,23531.160266,107.0
212b,11-20,1,570.0,39565.640239,226.0
212b,21+,0,463.0,31518.940399,108.0
212b,21+,1,417.0,28610.660151,143.0
212b,3-5,0,90.0,3245.5300517,0.0
212b,3-5,1,80.0,3905.820054,7.0
212b,6-10,0,171.0,8296.0601266,22.0
212b,6-10,1,176.0,9730.180108,27.0
212c,0-2,1,34.0,2433.390007,23.0
212c,11-20,0,40.0,3154.919992,30.0
212c,11-20,1,224.0,18148.650125,171.0
212c,21+,0,51.0,4480.540062,51.0
212c,21+,1,130.0,10920.850104,109.0
212c,3-5,0,12.0,663.150014,0.0
