export_file,script,exhibit_scripts,manifest_rows,used_for,status
2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_flows.csv,82,01_table1_headline.py 04_tab_estimation_sample.py,M057 M058 M059,Table 1 of the paper; Online Appendix Table A2; Section 3,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_gender.csv,82,01_table1_headline.py,,Table 1 of the paper; III.2 sexes,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,82,01_table1_headline.py 04_tab_estimation_sample.py,M001 M012 M025 M026 M028 M029 M030 M031 OA106 OA118,Table 1 of the paper; Online Appendix Table A2; Abstract; Section 2; Section 3; III.2 pre-period; III.5 text; IV.4 text,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_profile.csv,82,01_table1_headline.py 04_tab_estimation_sample.py 08_tab_profile_bands.py 17_tab_contrast_by_track.py,M033 M034 M035 M036 M037 M038,Table 1 of the paper; Online Appendix Table A2; Online Appendix Table A11; Online Appendix Table A20; Section 3; Figure 2; III.5 text,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_ssyk3_book.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_vintage.csv,82,,OA112 OA113,IV.3 text,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_r73_base_22-25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_r73_base_26-30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_r73_lev_22-25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_r73_lev_26-30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_r73_levbase_22-25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_r73_levbase_26-30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_clemp_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_clemp_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_clind2_22_25.csv,83,01_table1_headline.py,,Table 1 of the paper,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_clind2_26_30.csv,83,01_table1_headline.py,,Table 1 of the paper,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_gender_clemp_22_25.csv,83,10_tab_cluster_industry.py,,Online Appendix Table A13,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_gender_clind2_22_25.csv,83,01_table1_headline.py 10_tab_cluster_industry.py,,Table 1 of the paper; Online Appendix Table A13,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_indseas2_base_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_indseas2_base_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_indseas2_ind_22_25.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s80_indseas2_ind_26_30.csv,83,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_gender_22_25.csv,82,01_table1_headline.py,,Table 1 of the paper,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_hires_22_25.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_profile_six_band.csv,82,08_tab_profile_bands.py,,Online Appendix Table A11,read by the package
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_seps_22_25.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_22_25_backward_f1.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_22_25_backward_f3.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_22_25_backward_f5.csv,82,,,,not read by any exhibit or manifest row
2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s82_stock_22_25_backward_f5_four_only.csv,82,,,,not read by any exhibit or manifest row
