route,fq,age_group,mean_pre,mean_post,log_change,n_firms,edu_route_shape
occupation,4,22-25,5.199099537428781,5.328826386951785,0.024645579153671316,17226,exposed employers grew in every band and grew the oldest band fastest
occupation,4,26-30,7.721796358255761,7.796787707151232,0.009664790590720874,22411,exposed employers grew in every band and grew the oldest band fastest
occupation,4,31-34,7.182528875302455,7.595530062059994,0.055908392442144635,23554,exposed employers grew in every band and grew the oldest band fastest
occupation,4,35-40,7.297747006846957,8.347447491804528,0.1343901312064191,29426,exposed employers grew in every band and grew the oldest band fastest
occupation,4,41-49,7.427852157123191,8.079738306446895,0.08412274435690559,40316,exposed employers grew in every band and grew the oldest band fastest
occupation,4,50+,7.813713408617476,8.723750106582647,0.1101688842615222,62986,exposed employers grew in every band and grew the oldest band fastest
education,1,22-25,3.6021854722287814,3.6618789353113463,0.016435649102159028,37370,exposed employers grew in every band and grew the oldest band fastest
education,1,26-30,3.9277455484758095,3.9826877956697517,0.013891307419120761,40789,exposed employers grew in every band and grew the oldest band fastest
education,1,31-34,3.604133214679538,3.7850019168477025,0.04896509125134882,41442,exposed employers grew in every band and grew the oldest band fastest
education,1,35-40,3.9370635357664745,4.279517840449073,0.08340519919872859,50387,exposed employers grew in every band and grew the oldest band fastest
education,1,41-49,4.416301554109261,4.669352136612393,0.05571773992740196,60430,exposed employers grew in every band and grew the oldest band fastest
education,1,50+,5.744657185058887,6.115079319835545,0.0624875027680297,86391,exposed employers grew in every band and grew the oldest band fastest
education,2,22-25,11.719636658126175,12.180621074668528,0.038580470531900474,11815,exposed employers grew in every band and grew the oldest band fastest
education,2,26-30,12.912784364739164,13.226900647370393,0.024034827023537274,13147,exposed employers grew in every band and grew the oldest band fastest
education,2,31-34,11.477504846335238,12.274380834031732,0.06712521180123128,13426,exposed employers grew in every band and grew the oldest band fastest
education,2,35-40,12.452628322143498,14.154611978987452,0.12810879505235587,16151,exposed employers grew in every band and grew the oldest band fastest
education,2,41-49,14.313666376719912,15.304063147279567,0.06690358675988167,19460,exposed employers grew in every band and grew the oldest band fastest
education,2,50+,22.007188542671233,23.3878239396845,0.06084639055344163,25637,exposed employers grew in every band and grew the oldest band fastest
education,3,22-25,14.790518857433355,15.480096655220654,0.04556875427353338,7499,exposed employers grew in every band and grew the oldest band fastest
education,3,26-30,16.720051413881748,17.515433101566053,0.04647370116492266,8769,exposed employers grew in every band and grew the oldest band fastest
education,3,31-34,15.734702236132676,16.818424886299034,0.06660639820196895,9138,exposed employers grew in every band and grew the oldest band fastest
education,3,35-40,18.263560129502793,20.760902277501945,0.12816369474076164,10681,exposed employers grew in every band and grew the oldest band fastest
education,3,41-49,20.968462144173056,23.164074926863996,0.09958307775471448,13318,exposed employers grew in every band and grew the oldest band fastest
education,3,50+,30.964181927607257,33.64394556527688,0.08300200135578838,19762,exposed employers grew in every band and grew the oldest band fastest
education,4,22-25,5.5459932866093,5.76714240886417,0.039100971379282506,17165,exposed employers grew in every band and grew the oldest band fastest
education,4,26-30,8.343519661394229,8.480098224378214,0.01623688370576651,22927,exposed employers grew in every band and grew the oldest band fastest
education,4,31-34,7.7652316012596625,8.2714062283463,0.06314825182276215,24660,exposed employers grew in every band and grew the oldest band fastest
education,4,35-40,7.926899755476603,9.099348075413992,0.13794076307688577,31002,exposed employers grew in every band and grew the oldest band fastest
education,4,41-49,8.092099489377254,8.848505263454921,0.08936033395833463,42222,exposed employers grew in every band and grew the oldest band fastest
education,4,50+,8.534346858280939,9.537862065267234,0.11117052995298994,64500,exposed employers grew in every band and grew the oldest band fastest
