ssyk4,year_month,n_ads,n_vacancies
0210,2023-12,38,41
0210,2024-01,11,11
0210,2024-02,23,26
0210,2024-03,51,52
0210,2024-04,27,29
0210,2024-05,25,28
0210,2024-06,22,22
0210,2024-07,3,3
0210,2024-08,18,19
0210,2024-09,43,43
0210,2024-10,38,43
0210,2024-11,28,33
0210,2024-12,53,62
0210,2025-01,47,51
0210,2025-02,30,37
0210,2025-03,53,53
0210,2025-04,31,39
0210,2025-05,25,36
0210,2025-06,33,34
0210,2025-07,12,23
0210,2025-08,21,23
0210,2025-09,47,50
0210,2025-10,39,48
0210,2025-11,31,36
0210,2025-12,44,65
0210,2026-01,11,14
0210,2026-02,27,58
0310,2020-01,20,107
0310,2020-02,20,412
0310,2020-03,31,288
0310,2020-04,14,64
0310,2020-05,5,9
0310,2020-06,7,14
0310,2020-07,4,7
0310,2020-08,4,38
0310,2020-09,3,6
0310,2020-10,14,513
0310,2020-11,8,8
0310,2020-12,11,88
0310,2021-01,3,6
0310,2021-02,11,26
0310,2021-03,23,142
0310,2021-04,26,134
0310,2021-05,16,18
0310,2021-06,16,38
0310,2021-07,5,6
0310,2021-08,3,10
0310,2021-09,12,38
0310,2021-10,12,94
0310,2021-11,5,20
0310,2021-12,25,167
0310,2022-01,8,53
0310,2022-02,25,249
0310,2022-03,33,439
0310,2022-04,22,105
0310,2022-05,22,37
0310,2022-06,36,170
0310,2022-07,7,26
0310,2022-08,22,164
0310,2022-09,33,257
0310,2022-10,19,45
0310,2022-11,34,134
0310,2022-12,34,103
0310,2023-01,22,167
0310,2023-02,47,236
0310,2023-03,42,285
0310,2023-04,23,118
0310,2023-05,38,201
0310,2023-06,22,232
0310,2023-07,13,83
0310,2023-08,20,110
0310,2023-09,24,113
0310,2023-10,30,173
0310,2023-11,21,80
0310,2023-12,39,437
0310,2024-01,16,239
0310,2024-02,31,295
0310,2024-03,30,242
0310,2024-04,32,187
0310,2024-05,40,85
0310,2024-06,23,226
0310,2024-07,9,121
0310,2024-08,6,99
0310,2024-09,23,49
0310,2024-10,21,73
0310,2024-11,25,54
0310,2024-12,37,512
0310,2025-01,19,206
0310,2025-02,47,220
0310,2025-03,53,239
0310,2025-04,65,338
0310,2025-05,40,121
0310,2025-06,30,58
0310,2025-07,9,9
0310,2025-08,18,56
0310,2025-09,41,191
0310,2025-10,32,89
0310,2025-11,34,151
0310,2025-12,44,553
0310,2026-01,10,43
0310,2026-02,54,374
1111,2020-03,1,1
1111,2021-02,1,1
1111,2021-05,1,1
1111,2021-07,1,1
1111,2021-11,1,1
1111,2021-12,2,2
1111,2022-01,1,1
1111,2022-04,1,1
1111,2022-05,2,2
1111,2022-06,2,2
1111,2022-07,2,2
1111,2022-08,5,5
1111,2022-09,11,11
1111,2022-10,1,1
1111,2022-11,1,1
1111,2023-01,2,2
1111,2023-02,2,2
1111,2023-04,2,2
1111,2023-05,1,1
1111,2023-11,2,2
1111,2024-01,1,1
1111,2024-07,1,1
1111,2024-09,1,1
1111,2025-01,1,1
1111,2025-09,1,1
1111,2025-12,2,2
1111,2026-02,2,2
1112,2020-01,7,7
1112,2020-02,20,20
1112,2020-03,10,10
1112,2020-04,7,7
1112,2020-05,6,6
1112,2020-06,5,5
1112,2020-07,1,1
1112,2020-08,9,9
1112,2020-09,7,7
1112,2020-10,8,8
1112,2020-11,8,8
1112,2020-12,10,10
1112,2021-01,2,2
1112,2021-02,5,5
1112,2021-03,13,13
1112,2021-04,10,13
1112,2021-05,11,20
1112,2021-06,4,4
1112,2021-07,1,1
1112,2021-08,7,10
1112,2021-09,11,26
1112,2021-10,8,8
1112,2021-11,5,5
1112,2021-12,6,8
1112,2022-01,4,45
1112,2022-02,9,9
1112,2022-03,15,19
1112,2022-04,19,31
1112,2022-05,41,71
1112,2022-06,6,6
1112,2022-07,7,7
1112,2022-08,11,11
1112,2022-09,18,42
1112,2022-10,14,14
1112,2022-11,12,12
1112,2022-12,17,17
1112,2023-01,8,8
1112,2023-02,13,13
1112,2023-03,18,18
1112,2023-04,14,14
1112,2023-05,20,21
1112,2023-06,9,9
1112,2023-07,6,6
1112,2023-08,8,8
1112,2023-09,19,48
1112,2023-10,13,13
1112,2023-11,15,15
1112,2023-12,7,7
1112,2024-01,6,15
1112,2024-02,21,21
1112,2024-03,17,17
1112,2024-04,5,5
1112,2024-05,25,61
1112,2024-06,14,14
1112,2024-07,5,5
1112,2024-08,10,10
1112,2024-09,16,16
1112,2024-10,9,9
1112,2024-11,15,15
1112,2024-12,14,14
1112,2025-01,9,9
1112,2025-02,20,20
1112,2025-03,9,9
1112,2025-04,12,12
1112,2025-05,10,10
1112,2025-06,12,12
1112,2025-07,7,7
1112,2025-08,4,8
1112,2025-09,15,15
1112,2025-10,13,13
1112,2025-11,7,7
1112,2025-12,14,14
1112,2026-02,6,6
1113,2020-01,26,26
1113,2020-02,39,39
1113,2020-03,24,24
1113,2020-04,32,32
1113,2020-05,18,19
1113,2020-06,14,14
1113,2020-07,15,15
1113,2020-08,21,21
1113,2020-09,30,30
1113,2020-10,23,23
1113,2020-11,18,18
1113,2020-12,15,15
1113,2021-01,25,25
1113,2021-02,29,29
1113,2021-03,34,34
1113,2021-04,16,16
1113,2021-05,20,20
1113,2021-06,22,23
1113,2021-07,14,14
1113,2021-08,18,19
1113,2021-09,20,21
1113,2021-10,28,28
1113,2021-11,19,19
1113,2021-12,26,26
1113,2022-01,22,22
1113,2022-02,32,32
1113,2022-03,34,37
1113,2022-04,17,17
1113,2022-05,23,23
1113,2022-06,26,29
1113,2022-07,12,12
1113,2022-08,19,22
1113,2022-09,16,16
1113,2022-10,30,30
1113,2022-11,27,27
1113,2022-12,30,30
1113,2023-01,22,22
1113,2023-02,19,20
1113,2023-03,25,26
1113,2023-04,29,30
1113,2023-05,19,21
1113,2023-06,23,30
1113,2023-07,19,19
1113,2023-08,16,17
1113,2023-09,16,24
1113,2023-10,17,19
1113,2023-11,17,20
1113,2023-12,15,15
1113,2024-01,19,20
1113,2024-02,26,26
1113,2024-03,27,32
1113,2024-04,24,24
1113,2024-05,22,22
1113,2024-06,21,21
1113,2024-07,18,18
1113,2024-08,17,17
1113,2024-09,21,21
1113,2024-10,49,53
1113,2024-11,38,39
1113,2024-12,34,34
1113,2025-01,36,36
1113,2025-02,27,27
1113,2025-03,28,28
1113,2025-04,25,27
1113,2025-05,23,24
1113,2025-06,23,23
1113,2025-07,14,14
1113,2025-08,30,30
1113,2025-09,28,28
1113,2025-10,35,35
1113,2025-11,23,24
1113,2025-12,22,22
1113,2026-01,2,2
1113,2026-02,19,25
1120,2020-01,79,88
1120,2020-02,65,65
1120,2020-03,89,168
1120,2020-04,76,96
1120,2020-05,67,67
1120,2020-06,44,44
1120,2020-07,48,52
1120,2020-08,50,50
1120,2020-09,76,76
1120,2020-10,64,64
1120,2020-11,67,73
1120,2020-12,74,77
1120,2021-01,69,69
1120,2021-02,87,87
1120,2021-03,92,154
1120,2021-04,119,119
1120,2021-05,87,87
1120,2021-06,87,89
1120,2021-07,66,68
1120,2021-08,83,86
1120,2021-09,126,127
1120,2021-10,114,126
1120,2021-11,105,105
1120,2021-12,131,133
1120,2022-01,94,103
1120,2022-02,117,118
1120,2022-03,124,135
1120,2022-04,112,112
1120,2022-05,100,100
1120,2022-06,125,125
1120,2022-07,84,84
1120,2022-08,101,111
1120,2022-09,112,112
1120,2022-10,95,95
1120,2022-11,97,103
1120,2022-12,96,97
1120,2023-01,103,105
1120,2023-02,82,82
1120,2023-03,113,113
1120,2023-04,93,94
1120,2023-05,91,93
1120,2023-06,76,77
1120,2023-07,74,76
1120,2023-08,69,69
1120,2023-09,89,91
1120,2023-10,79,79
1120,2023-11,103,104
1120,2023-12,102,102
1120,2024-01,81,82
1120,2024-02,98,98
1120,2024-03,99,109
1120,2024-04,112,113
1120,2024-05,147,163
1120,2024-06,113,113
1120,2024-07,76,76
1120,2024-08,67,68
1120,2024-09,98,101
1120,2024-10,104,104
1120,2024-11,104,104
1120,2024-12,93,93
1120,2025-01,103,104
1120,2025-02,104,104
1120,2025-03,101,103
1120,2025-04,90,90
1120,2025-05,82,82
1120,2025-06,113,113
1120,2025-07,61,61
1120,2025-08,61,65
1120,2025-09,92,92
1120,2025-10,92,92
1120,2025-11,76,77
1120,2025-12,84,84
1120,2026-01,16,19
1120,2026-02,69,69
1210,2020-01,156,156
1210,2020-02,172,172
1210,2020-03,163,163
1210,2020-04,111,112
1210,2020-05,96,96
1210,2020-06,85,85
1210,2020-07,64,64
1210,2020-08,84,89
1210,2020-09,120,120
1210,2020-10,129,130
1210,2020-11,99,100
1210,2020-12,132,132
1210,2021-01,85,87
1210,2021-02,140,140
1210,2021-03,163,164
1210,2021-04,125,125
1210,2021-05,145,147
1210,2021-06,135,138
1210,2021-07,117,117
1210,2021-08,122,123
1210,2021-09,162,162
1210,2021-10,175,175
1210,2021-11,191,192
1210,2021-12,205,207
1210,2022-01,203,204
1210,2022-02,191,191
1210,2022-03,217,267
1210,2022-04,167,168
1210,2022-05,187,188
1210,2022-06,170,171
1210,2022-07,120,123
1210,2022-08,161,161
1210,2022-09,180,279
1210,2022-10,176,176
1210,2022-11,220,220
1210,2022-12,160,161
1210,2023-01,172,173
1210,2023-02,161,164
1210,2023-03,163,165
1210,2023-04,146,146
1210,2023-05,203,203
1210,2023-06,124,124
1210,2023-07,97,98
1210,2023-08,124,125
1210,2023-09,150,151
1210,2023-10,143,143
1210,2023-11,138,138
1210,2023-12,160,161
1210,2024-01,120,120
1210,2024-02,159,160
1210,2024-03,151,151
1210,2024-04,151,151
1210,2024-05,161,161
1210,2024-06,110,111
1210,2024-07,102,102
1210,2024-08,121,121
1210,2024-09,140,140
1210,2024-10,164,165
1210,2024-11,157,159
1210,2024-12,116,117
1210,2025-01,117,118
1210,2025-02,115,115
1210,2025-03,142,142
1210,2025-04,125,125
1210,2025-05,115,115
1210,2025-06,93,93
1210,2025-07,80,80
1210,2025-08,102,102
1210,2025-09,87,87
1210,2025-10,136,139
1210,2025-11,85,89
1210,2025-12,94,94
1210,2026-01,12,20
1210,2026-02,77,77
1220,2020-01,44,44
1220,2020-02,60,60
1220,2020-03,35,35
1220,2020-04,35,35
1220,2020-05,28,28
1220,2020-06,32,37
1220,2020-07,22,22
1220,2020-08,23,23
1220,2020-09,42,43
1220,2020-10,53,53
1220,2020-11,44,46
1220,2020-12,57,63
1220,2021-01,29,29
1220,2021-02,66,66
1220,2021-03,64,64
1220,2021-04,78,78
1220,2021-05,66,66
1220,2021-06,69,70
1220,2021-07,49,49
1220,2021-08,57,57
1220,2021-09,116,117
1220,2021-10,82,82
1220,2021-11,94,96
1220,2021-12,89,89
1220,2022-01,66,66
1220,2022-02,115,118
1220,2022-03,127,129
1220,2022-04,95,95
1220,2022-05,90,90
1220,2022-06,74,74
1220,2022-07,61,61
1220,2022-08,83,83
1220,2022-09,83,83
1220,2022-10,75,78
1220,2022-11,88,93
1220,2022-12,82,83
1220,2023-01,116,117
1220,2023-02,95,96
1220,2023-03,118,121
1220,2023-04,68,68
1220,2023-05,82,82
1220,2023-06,82,84
1220,2023-07,42,42
1220,2023-08,44,44
1220,2023-09,68,135
1220,2023-10,70,72
1220,2023-11,51,55
1220,2023-12,57,60
1220,2024-01,56,56
1220,2024-02,70,70
1220,2024-03,42,42
1220,2024-04,54,54
1220,2024-05,39,39
1220,2024-06,29,29
1220,2024-07,48,50
1220,2024-08,51,56
1220,2024-09,66,73
1220,2024-10,50,52
1220,2024-11,55,55
1220,2024-12,68,68
1220,2025-01,40,43
1220,2025-02,57,58
1220,2025-03,53,54
1220,2025-04,58,58
1220,2025-05,49,49
1220,2025-06,36,37
1220,2025-07,38,38
1220,2025-08,35,35
1220,2025-09,43,55
1220,2025-10,46,46
1220,2025-11,41,41
1220,2025-12,35,36
1220,2026-01,4,4
1220,2026-02,26,27
1230,2020-01,161,192
1230,2020-02,183,191
1230,2020-03,185,188
1230,2020-04,126,134
1230,2020-05,136,139
1230,2020-06,124,124
1230,2020-07,89,95
1230,2020-08,93,93
1230,2020-09,131,133
1230,2020-10,182,195
1230,2020-11,160,171
1230,2020-12,187,197
1230,2021-01,121,127
1230,2021-02,156,160
1230,2021-03,214,218
1230,2021-04,183,185
1230,2021-05,171,179
1230,2021-06,158,164
1230,2021-07,116,126
1230,2021-08,115,117
1230,2021-09,179,182
1230,2021-10,252,301
1230,2021-11,211,218
1230,2021-12,293,323
1230,2022-01,174,184
1230,2022-02,267,302
1230,2022-03,295,327
1230,2022-04,295,303
1230,2022-05,329,344
1230,2022-06,195,204
1230,2022-07,139,145
1230,2022-08,171,185
1230,2022-09,249,255
1230,2022-10,227,233
1230,2022-11,239,250
1230,2022-12,251,286
1230,2023-01,228,259
1230,2023-02,246,262
1230,2023-03,268,291
1230,2023-04,214,231
1230,2023-05,278,294
1230,2023-06,197,200
1230,2023-07,109,111
1230,2023-08,159,164
1230,2023-09,217,233
1230,2023-10,210,220
1230,2023-11,186,191
1230,2023-12,213,223
1230,2024-01,173,176
1230,2024-02,173,184
1230,2024-03,226,235
1230,2024-04,161,170
1230,2024-05,201,214
1230,2024-06,123,129
1230,2024-07,129,136
1230,2024-08,140,145
1230,2024-09,188,199
1230,2024-10,232,239
1230,2024-11,203,215
1230,2024-12,224,239
1230,2025-01,183,196
1230,2025-02,250,266
1230,2025-03,227,246
1230,2025-04,250,263
1230,2025-05,229,237
1230,2025-06,131,133
1230,2025-07,126,136
1230,2025-08,159,167
1230,2025-09,219,226
1230,2025-10,247,257
1230,2025-11,261,270
1230,2025-12,258,262
1230,2026-01,20,20
1230,2026-02,147,155
1240,2020-01,30,30
1240,2020-02,16,16
1240,2020-03,17,18
1240,2020-04,13,13
1240,2020-05,14,14
1240,2020-06,15,18
1240,2020-07,6,6
1240,2020-08,7,7
1240,2020-09,14,14
1240,2020-10,15,16
1240,2020-11,15,15
1240,2020-12,18,18
1240,2021-01,12,12
1240,2021-02,12,12
1240,2021-03,25,25
1240,2021-04,25,25
1240,2021-05,31,35
1240,2021-06,27,27
1240,2021-07,14,14
1240,2021-08,18,18
1240,2021-09,28,28
1240,2021-10,22,22
1240,2021-11,30,41
1240,2021-12,34,34
1240,2022-01,25,25
1240,2022-02,25,26
1240,2022-03,27,27
1240,2022-04,19,19
1240,2022-05,34,34
1240,2022-06,22,22
1240,2022-07,20,20
1240,2022-08,16,16
1240,2022-09,28,28
1240,2022-10,22,22
1240,2022-11,19,19
1240,2022-12,19,19
1240,2023-01,17,17
1240,2023-02,14,14
1240,2023-03,23,23
1240,2023-04,14,14
1240,2023-05,25,25
1240,2023-06,23,23
1240,2023-07,14,14
1240,2023-08,12,12
1240,2023-09,15,15
1240,2023-10,18,18
1240,2023-11,23,23
1240,2023-12,22,22
1240,2024-01,10,10
1240,2024-02,20,20
1240,2024-03,20,20
1240,2024-04,17,17
1240,2024-05,16,16
1240,2024-06,15,15
1240,2024-07,9,9
1240,2024-08,15,16
1240,2024-09,13,14
1240,2024-10,26,26
1240,2024-11,14,14
1240,2024-12,20,20
1240,2025-01,13,13
1240,2025-02,10,10
1240,2025-03,24,24
1240,2025-04,27,27
1240,2025-05,17,17
1240,2025-06,10,10
1240,2025-07,7,7
1240,2025-08,16,16
1240,2025-09,13,13
1240,2025-10,17,17
1240,2025-11,12,12
1240,2025-12,12,12
1240,2026-01,1,1
1240,2026-02,6,6
1250,2020-01,184,240
1250,2020-02,208,262
1250,2020-03,174,264
1250,2020-04,80,99
1250,2020-05,96,130
1250,2020-06,107,129
1250,2020-07,87,96
1250,2020-08,107,122
1250,2020-09,144,164
1250,2020-10,168,208
1250,2020-11,183,189
1250,2020-12,152,158
1250,2021-01,131,151
1250,2021-02,209,254
1250,2021-03,258,311
1250,2021-04,225,252
1250,2021-05,241,245
1250,2021-06,212,218
1250,2021-07,161,171
1250,2021-08,182,188
1250,2021-09,485,552
1250,2021-10,371,390
1250,2021-11,332,340
1250,2021-12,332,349
1250,2022-01,461,508
1250,2022-02,396,425
1250,2022-03,464,515
1250,2022-04,316,350
1250,2022-05,333,343
1250,2022-06,312,318
1250,2022-07,244,247
1250,2022-08,300,309
1250,2022-09,308,328
1250,2022-10,354,404
1250,2022-11,368,374
1250,2022-12,363,382
1250,2023-01,385,427
1250,2023-02,332,415
1250,2023-03,308,353
1250,2023-04,375,429
1250,2023-05,291,305
1250,2023-06,253,261
1250,2023-07,161,167
1250,2023-08,198,208
1250,2023-09,251,257
1250,2023-10,277,289
1250,2023-11,223,235
1250,2023-12,215,234
1250,2024-01,198,217
1250,2024-02,225,290
1250,2024-03,189,221
1250,2024-04,193,214
1250,2024-05,202,217
1250,2024-06,202,214
1250,2024-07,192,205
1250,2024-08,139,152
1250,2024-09,217,243
1250,2024-10,232,241
1250,2024-11,174,183
1250,2024-12,198,216
1250,2025-01,247,273
1250,2025-02,292,339
1250,2025-03,252,262
1250,2025-04,185,195
1250,2025-05,194,201
1250,2025-06,169,180
1250,2025-07,138,146
1250,2025-08,148,159
1250,2025-09,192,209
1250,2025-10,182,202
1250,2025-11,161,182
1250,2025-12,181,204
1250,2026-01,44,57
1250,2026-02,156,193
1290,2020-01,119,119
1290,2020-02,113,117
1290,2020-03,93,97
1290,2020-04,77,85
1290,2020-05,73,77
1290,2020-06,76,77
1290,2020-07,63,66
1290,2020-08,59,60
1290,2020-09,108,118
1290,2020-10,109,112
1290,2020-11,102,103
1290,2020-12,118,122
1290,2021-01,79,79
1290,2021-02,110,119
1290,2021-03,172,174
1290,2021-04,156,161
1290,2021-05,180,184
1290,2021-06,131,137
1290,2021-07,100,152
1290,2021-08,108,111
1290,2021-09,180,183
1290,2021-10,172,173
1290,2021-11,196,204
1290,2021-12,223,227
1290,2022-01,142,142
1290,2022-02,178,180
1290,2022-03,200,203
1290,2022-04,207,213
1290,2022-05,205,207
1290,2022-06,184,190
1290,2022-07,146,148
1290,2022-08,163,168
1290,2022-09,204,206
1290,2022-10,227,234
1290,2022-11,160,162
1290,2022-12,169,171
1290,2023-01,142,149
1290,2023-02,182,185
1290,2023-03,212,213
1290,2023-04,136,137
1290,2023-05,170,172
1290,2023-06,139,141
1290,2023-07,91,91
1290,2023-08,144,154
1290,2023-09,159,172
1290,2023-10,164,182
1290,2023-11,170,175
1290,2023-12,147,147
1290,2024-01,111,122
1290,2024-02,159,167
1290,2024-03,145,159
1290,2024-04,157,157
1290,2024-05,147,155
1290,2024-06,134,141
1290,2024-07,192,192
1290,2024-08,172,192
1290,2024-09,137,139
1290,2024-10,156,179
1290,2024-11,188,192
1290,2024-12,148,149
1290,2025-01,124,124
1290,2025-02,147,167
1290,2025-03,142,144
1290,2025-04,150,155
1290,2025-05,123,126
1290,2025-06,97,102
1290,2025-07,104,105
1290,2025-08,105,106
1290,2025-09,127,127
1290,2025-10,143,143
1290,2025-11,133,135
1290,2025-12,141,142
1290,2026-01,8,9
1290,2026-02,84,85
1310,2020-01,48,49
1310,2020-02,73,83
1310,2020-03,53,56
1310,2020-04,53,56
1310,2020-05,34,34
1310,2020-06,21,25
1310,2020-07,33,34
1310,2020-08,28,29
1310,2020-09,46,46
1310,2020-10,58,59
1310,2020-11,61,62
1310,2020-12,74,93
1310,2021-01,48,55
1310,2021-02,49,51
1310,2021-03,51,51
1310,2021-04,62,63
1310,2021-05,55,57
1310,2021-06,62,63
1310,2021-07,58,61
1310,2021-08,50,52
1310,2021-09,64,72
1310,2021-10,81,85
1310,2021-11,95,96
1310,2021-12,154,159
1310,2022-01,111,111
1310,2022-02,95,95
1310,2022-03,97,99
1310,2022-04,98,98
1310,2022-05,91,94
1310,2022-06,99,99
1310,2022-07,64,74
1310,2022-08,80,86
1310,2022-09,90,91
1310,2022-10,106,115
1310,2022-11,93,108
1310,2022-12,90,93
1310,2023-01,74,79
1310,2023-02,65,65
1310,2023-03,91,91
1310,2023-04,60,60
1310,2023-05,97,99
1310,2023-06,60,62
1310,2023-07,44,48
1310,2023-08,54,54
1310,2023-09,63,65
1310,2023-10,92,94
1310,2023-11,63,64
1310,2023-12,58,68
1310,2024-01,61,62
1310,2024-02,58,59
1310,2024-03,59,63
1310,2024-04,56,57
1310,2024-05,72,74
1310,2024-06,57,62
1310,2024-07,62,76
1310,2024-08,36,37
1310,2024-09,59,59
1310,2024-10,73,77
1310,2024-11,64,84
1310,2024-12,67,67
1310,2025-01,59,61
1310,2025-02,59,59
1310,2025-03,83,85
1310,2025-04,63,74
1310,2025-05,95,102
1310,2025-06,51,53
1310,2025-07,40,40
1310,2025-08,44,45
1310,2025-09,52,52
1310,2025-10,44,44
1310,2025-11,51,52
1310,2025-12,59,62
1310,2026-01,3,3
1310,2026-02,30,33
1320,2020-01,101,108
1320,2020-02,104,107
1320,2020-03,99,100
1320,2020-04,63,69
1320,2020-05,49,55
1320,2020-06,58,66
1320,2020-07,51,53
1320,2020-08,50,54
1320,2020-09,74,76
1320,2020-10,100,101
1320,2020-11,62,62
1320,2020-12,98,98
1320,2021-01,90,95
1320,2021-02,114,116
1320,2021-03,141,178
1320,2021-04,117,135
1320,2021-05,142,158
1320,2021-06,126,128
1320,2021-07,81,82
1320,2021-08,90,94
1320,2021-09,130,132
1320,2021-10,186,187
1320,2021-11,179,188
1320,2021-12,165,175
1320,2022-01,150,166
1320,2022-02,173,193
1320,2022-03,221,225
1320,2022-04,162,164
1320,2022-05,194,208
1320,2022-06,169,179
1320,2022-07,121,131
1320,2022-08,127,127
1320,2022-09,146,149
1320,2022-10,155,163
1320,2022-11,133,141
1320,2022-12,129,133
1320,2023-01,120,123
1320,2023-02,156,156
1320,2023-03,228,234
1320,2023-04,127,129
1320,2023-05,206,208
1320,2023-06,128,129
1320,2023-07,109,111
1320,2023-08,127,131
1320,2023-09,133,136
1320,2023-10,124,124
1320,2023-11,124,129
1320,2023-12,114,116
1320,2024-01,81,83
1320,2024-02,87,87
1320,2024-03,119,122
1320,2024-04,130,131
1320,2024-05,92,95
1320,2024-06,89,95
1320,2024-07,69,81
1320,2024-08,95,101
1320,2024-09,90,99
1320,2024-10,94,94
1320,2024-11,113,121
1320,2024-12,101,115
1320,2025-01,83,85
1320,2025-02,106,109
1320,2025-03,100,103
1320,2025-04,110,110
1320,2025-05,99,99
1320,2025-06,90,106
1320,2025-07,86,100
1320,2025-08,73,80
1320,2025-09,87,89
1320,2025-10,87,91
1320,2025-11,61,63
1320,2025-12,81,82
1320,2026-01,10,13
1320,2026-02,49,49
1330,2020-01,35,35
1330,2020-02,37,37
1330,2020-03,22,22
1330,2020-04,28,28
1330,2020-05,21,21
1330,2020-06,17,19
1330,2020-07,14,14
1330,2020-08,18,18
1330,2020-09,27,30
1330,2020-10,23,23
1330,2020-11,40,40
1330,2020-12,41,42
1330,2021-01,26,26
1330,2021-02,30,30
1330,2021-03,48,50
1330,2021-04,35,37
1330,2021-05,47,48
1330,2021-06,34,34
1330,2021-07,24,24
1330,2021-08,45,45
1330,2021-09,58,58
1330,2021-10,40,40
1330,2021-11,61,64
1330,2021-12,66,67
1330,2022-01,54,55
1330,2022-02,56,56
1330,2022-03,61,62
1330,2022-04,52,52
1330,2022-05,57,57
1330,2022-06,38,38
1330,2022-07,31,31
1330,2022-08,35,35
1330,2022-09,56,56
1330,2022-10,47,48
1330,2022-11,47,65
1330,2022-12,36,40
1330,2023-01,32,42
1330,2023-02,35,35
1330,2023-03,36,38
1330,2023-04,32,32
1330,2023-05,42,43
1330,2023-06,37,38
1330,2023-07,32,35
1330,2023-08,29,31
1330,2023-09,42,45
1330,2023-10,54,73
1330,2023-11,34,39
1330,2023-12,38,38
1330,2024-01,40,40
1330,2024-02,42,43
1330,2024-03,59,61
1330,2024-04,26,27
1330,2024-05,40,40
1330,2024-06,39,39
1330,2024-07,42,42
1330,2024-08,32,32
1330,2024-09,48,52
1330,2024-10,41,41
1330,2024-11,36,36
1330,2024-12,35,35
1330,2025-01,18,20
1330,2025-02,35,36
1330,2025-03,45,45
1330,2025-04,40,42
1330,2025-05,51,53
1330,2025-06,23,23
1330,2025-07,23,23
1330,2025-08,20,20
1330,2025-09,38,38
1330,2025-10,31,31
1330,2025-11,27,27
1330,2025-12,51,52
1330,2026-01,5,5
1330,2026-02,29,29
1340,2020-01,17,18
1340,2020-02,13,13
1340,2020-03,11,11
1340,2020-04,12,12
1340,2020-05,17,19
1340,2020-06,6,6
1340,2020-07,8,8
1340,2020-08,14,14
1340,2020-09,12,14
1340,2020-10,11,11
1340,2020-11,27,27
1340,2020-12,15,15
1340,2021-01,13,13
1340,2021-02,15,15
1340,2021-03,11,11
1340,2021-04,11,11
1340,2021-05,20,20
1340,2021-06,13,13
1340,2021-07,12,12
1340,2021-08,9,9
1340,2021-09,12,12
1340,2021-10,19,19
1340,2021-11,26,26
1340,2021-12,25,25
1340,2022-01,21,21
1340,2022-02,18,18
1340,2022-03,31,31
