"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30","gpt_x_high_31_34","rb_x_high_31_34","q1_x_high_31_34","q2_x_high_31_34","q3_x_high_31_34","gpt_x_high_35_40","rb_x_high_35_40","q1_x_high_35_40","q2_x_high_35_40","q3_x_high_35_40","gpt_x_high_50_64","rb_x_high_50_64","q1_x_high_50_64","q2_x_high_50_64","q3_x_high_50_64","gpt_x_high_65_69","rb_x_high_65_69","q1_x_high_65_69","q2_x_high_65_69","q3_x_high_65_69"
"q2_x_high_35_40",1.99391806391475e-06,1.2001632916547e-06,2.14092985666278e-06,1.29236409419123e-06,-1.67681540213317e-06,6.18393003508802e-07,-1.05078510366382e-06,1.70688149778079e-06,1.75630316991462e-06,6.99319874738975e-07,-7.41426962500402e-07,-1.31863888029912e-06,1.1198130604245e-06,1.25131908065338e-06,8.27098456449873e-07,1.35081959432554e-07,-1.64723340535583e-07,1.31588428317118e-06,1.33730066741199e-06,6.96168850590125e-07,5.2673585849172e-07,4.91778570840688e-07,1.73805909566903e-07,-1.54534689453801e-07,-1.86652096621711e-07,-5.46296578995668e-06,-5.45730412110918e-06,-1.15999530428314e-07,-5.06317010345795e-06,-1.60673403131561e-06
"q3_x_high_35_40",-6.21239947328537e-09,8.26639019122172e-07,9.98999637816e-07,9.48073982258542e-07,1.63783942272272e-06,-2.84715524079998e-07,-4.20885413067003e-07,1.02472863233292e-06,9.97509588729279e-07,1.50180704190694e-06,-8.92752028330317e-07,-1.10686213440471e-06,6.93768575801496e-07,7.15412551512114e-07,1.14338847442337e-06,-9.73962601806788e-07,-6.04819144794458e-07,6.89227787251472e-07,6.96168850590125e-07,9.35326748231833e-07,3.39877744543713e-07,-1.3169009544798e-07,-2.47707227507315e-07,-1.75381109092916e-07,-4.02129711111606e-07,-2.42819466142547e-06,-5.96738296167366e-06,-1.6871714813319e-06,-1.85931888599594e-06,-2.23741170252409e-06
"gpt_x_high_50_64",-2.00398955538257e-06,7.95170608065377e-07,-1.04186321608901e-06,-2.43702144222102e-06,-4.03608361767155e-06,-2.91728643949177e-06,5.27489796556808e-07,6.57863975279193e-07,-4.74973489866485e-08,-4.29160783984726e-08,-7.89526079688152e-07,-1.10212069883508e-06,6.28793438555842e-08,-1.36750728213422e-08,3.10949239962247e-07,6.64434236070524e-07,-4.99167454602995e-07,6.2498148135928e-07,5.2673585849172e-07,3.39877744543713e-07,1.43874723917735e-05,6.50531696769658e-06,1.75042738161905e-06,8.70455922697255e-07,-5.06081951772423e-07,3.7182710552633e-05,4.36256706438277e-05,1.58526254839461e-05,8.8039391048552e-06,-2.40282404806505e-06
"rb_x_high_50_64",6.0052776891852e-06,3.71066732276014e-06,-2.20203053911268e-06,-5.64827804333073e-06,-4.63388256590003e-06,2.12876344203296e-06,6.88754946259207e-06,1.34386302387349e-06,-2.9859019616969e-07,-1.20784809712099e-06,4.46480955350367e-06,6.51058085343979e-06,1.38809426017237e-06,3.86430130959445e-07,-3.33538216141505e-07,2.80681123238171e-06,5.2674653026542e-06,1.30478512025888e-06,4.91778570840688e-07,-1.3169009544798e-07,6.50531696769658e-06,1.42812693925839e-05,3.07856262527675e-06,-6.32927913182762e-07,-3.85582582699191e-07,2.63384753143018e-05,8.63556628388143e-05,1.91494001328124e-05,-2.10817678803191e-05,-1.91286592485894e-06
"q1_x_high_50_64",2.08576633197065e-06,-1.63197161987673e-07,-3.41535391766113e-06,-2.20764259861824e-06,-2.48232283108832e-07,1.15368952753172e-06,4.82323169866672e-07,-1.00698040243184e-06,-4.51711878889197e-07,-5.70331528473286e-07,1.87785781781349e-06,2.40689240968598e-06,-3.09232478407455e-07,-1.95711016999042e-07,-4.58469278535479e-07,2.27870962486181e-06,2.416894290258e-06,2.86484601066351e-07,1.73805909566903e-07,-2.47707227507315e-07,1.75042738161905e-06,3.07856262527675e-06,3.04022129178257e-06,1.39806460818754e-06,1.05781203205345e-06,9.80869014188262e-06,2.67222731483848e-05,1.25901557696699e-05,-6.66244685836185e-07,1.05066962528559e-06
"q2_x_high_50_64",5.61899585973668e-08,1.29942296638562e-07,-3.21509941017304e-07,-1.09736804408682e-06,-1.13075528644895e-06,5.57656489079521e-07,9.09441986527847e-08,-3.84304987031082e-07,-7.24945530345579e-07,-5.7704952467496e-07,1.03846413975602e-06,1.2264579388237e-06,-1.51355348311231e-07,-5.58747249865043e-07,-3.76152378459833e-07,9.71762094031981e-07,4.99639938760384e-07,-6.31390259839553e-09,-1.54534689453801e-07,-1.75381109092916e-07,8.70455922697255e-07,-6.32927913182762e-07,1.39806460818754e-06,2.10174621178308e-06,8.70147522441335e-07,1.42251224255118e-05,-2.65189797702615e-06,2.41342148383054e-06,1.91469626458188e-05,7.1835548159619e-07
"q3_x_high_50_64",1.16853488260917e-07,-8.17168686904024e-07,3.43158691693858e-08,-5.52329905162563e-07,-2.01738946324381e-06,1.01503390671717e-07,-4.21902598466483e-07,-4.29033960192537e-07,-4.26052737947178e-07,-1.10901761739461e-06,3.95572221413719e-07,5.39432711020567e-07,-3.93852688062152e-07,-2.85818891290064e-07,-7.29465390629498e-07,7.78418291844488e-07,5.0687559958582e-07,-2.69294845863969e-07,-1.86652096621711e-07,-4.02129711111606e-07,-5.06081951772423e-07,-3.85582582699191e-07,1.05781203205345e-06,8.70147522441335e-07,1.18220179343383e-06,3.35233030181885e-07,7.36604687501277e-07,2.61513910341097e-06,3.0184458567158e-06,2.57223363746088e-06
"gpt_x_high_65_69",1.60099243036019e-05,-2.16450335870635e-05,-5.68581165987642e-05,-4.33357557333103e-05,5.69321378193623e-05,2.74825022698998e-06,2.54671041574748e-05,-1.3849388301436e-05,-1.65997647859548e-05,3.38829357626089e-06,2.10483839622217e-05,3.15142531135917e-05,-7.04705049327989e-06,-1.21155493021268e-05,-3.29986042702043e-06,-8.26620553418956e-08,4.43215176376911e-06,-4.22829682337231e-06,-5.46296578995668e-06,-2.42819466142547e-06,3.7182710552633e-05,2.63384753143018e-05,9.80869014188262e-06,1.42251224255118e-05,3.35233030181885e-07,0.000982359645882009,0.0015922633172757,0.000256106345894308,0.000227613112868115,1.83413004663584e-05
"rb_x_high_65_69",5.99013928526374e-05,-7.39467987265355e-05,-0.000161975608768716,-0.000128614291991428,0.000116583050188393,2.00678951471582e-06,3.83275708070515e-05,-4.03578645253639e-05,-3.09672398997579e-05,7.45018603585066e-06,3.55419959729457e-05,4.82457098534463e-05,-1.79855899659216e-05,-1.08425489376165e-05,-6.78280147440035e-06,-5.16991459384029e-06,1.40471686978962e-05,-1.09426420871857e-05,-5.45730412110918e-06,-5.96738296167366e-06,4.36256706438277e-05,8.63556628388143e-05,2.67222731483848e-05,-2.65189797702615e-06,7.36604687501277e-07,0.0015922633172757,0.00407101903577872,0.000579069418965979,-0.000291903220052167,1.81914059219653e-05
"q1_x_high_65_69",4.00977961382069e-06,-1.87863810439871e-05,-3.37161812312237e-05,-3.54839036599357e-05,-5.06440339765663e-06,-6.64981692697006e-06,-6.45134744407527e-06,-1.20760175685706e-05,-9.46945745594673e-06,-5.76289668232221e-06,-6.78059059239029e-06,1.53535984202963e-06,-7.13300239340259e-06,-3.28953280997232e-06,-3.8512319601482e-06,2.84168133217261e-06,7.98155013419228e-06,-1.06017857664057e-06,-1.15999530428314e-07,-1.6871714813319e-06,1.58526254839461e-05,1.91494001328124e-05,1.25901557696699e-05,2.41342148383054e-06,2.61513910341097e-06,0.000256106345894308,0.000579069418965979,0.000270333313516617,6.31296436961257e-05,3.65504041853934e-05
