"term","t_2021Q1_ai","t_2021Q1_wfh","t_2021Q2_ai","t_2021Q2_wfh","t_2021Q3_ai","t_2021Q3_wfh","t_2021Q4_ai","t_2021Q4_wfh","t_2022Q2_ai","t_2022Q2_wfh","t_2022Q3_ai","t_2022Q3_wfh","t_2022Q4_ai","t_2022Q4_wfh","t_2023Q1_ai","t_2023Q1_wfh","t_2023Q2_ai","t_2023Q2_wfh","t_2023Q3_ai","t_2023Q3_wfh","t_2023Q4_ai","t_2023Q4_wfh","t_2024Q1_ai","t_2024Q1_wfh","t_2024Q2_ai","t_2024Q2_wfh","t_2024Q3_ai","t_2024Q3_wfh","t_2024Q4_ai","t_2024Q4_wfh","t_2025Q1_ai","t_2025Q1_wfh","t_2025Q2_ai","t_2025Q2_wfh"
"t_2022Q3_ai",-1.3246641246978e-06,1.31747243254895e-06,4.88483816970066e-05,-3.01258420815265e-05,0.000170127660282993,-0.000118787643432559,5.21256463349839e-05,-2.7417856066257e-05,0.000104945440587719,-7.8525234066976e-05,0.000183145285644579,-0.000130594544631015,8.63170744669927e-05,-5.55146729501574e-05,8.5859849400066e-06,-1.62508837466878e-05,0.00010873704563589,-8.88249098387871e-05,0.000193436754906577,-0.000146404485117052,9.99988628311638e-05,-7.92469804363501e-05,5.4297887498534e-05,-5.59308665677488e-05,6.47689751236397e-05,-5.26873182066493e-05,0.000198907770716801,-0.000154021347981742,0.000115177770218038,-0.000100790674517792,6.0215719487492e-05,-6.6982412352559e-05,9.81887197462827e-05,-8.36820634660418e-05
"t_2022Q3_wfh",2.10291065622399e-06,-1.1699303378341e-06,-2.92160319922121e-05,3.12390244589192e-05,-0.000118962204777616,0.000117881504311277,-2.58744789827194e-05,2.59542463672822e-05,-7.84377874897591e-05,7.71946247716947e-05,-0.000130594544631015,0.00013355465439939,-5.39823749522464e-05,5.48551077069429e-05,-1.65650237052487e-05,2.36991690267449e-05,-8.89341698023932e-05,9.28546847874576e-05,-0.000146397895837787,0.000151059068543855,-7.81677459238817e-05,8.1248353062496e-05,-5.68170976359166e-05,5.68905971050355e-05,-5.25090815697785e-05,5.92091018588612e-05,-0.000154220100262693,0.000156802554152071,-0.000100752097274212,0.000102227025521261,-6.91126484499093e-05,6.64351228528448e-05,-8.40782996634956e-05,8.63761562251534e-05
"t_2022Q4_ai",1.51798504962853e-05,-1.65713007160494e-05,4.54325644389954e-05,-3.91719969530571e-05,7.22865960581959e-05,-4.57964888121273e-05,9.35481604804821e-05,-6.97015268908539e-05,3.07221539171904e-05,-2.18445804264707e-05,8.63170744669927e-05,-5.39823749522464e-05,0.000131551464778736,-0.000101044455771396,5.56468554981799e-05,-4.90486711690151e-05,6.14843411805102e-05,-4.86666925264357e-05,0.000103365646122169,-7.09008450578989e-05,0.000115599847127166,-8.4984453246463e-05,3.40348844668916e-05,-3.3051953783762e-05,6.89331395237215e-05,-6.00989188020419e-05,9.17548872384397e-05,-6.57888240920163e-05,8.94554295023034e-05,-7.01101335025053e-05,2.5019867870798e-05,-2.88052809976907e-05,5.44883607607816e-05,-4.75512347597925e-05
"t_2022Q4_wfh",-1.61375551243462e-05,1.68837469402446e-05,-3.89232639258779e-05,4.1625322758538e-05,-4.74829725882001e-05,4.61509719824915e-05,-7.0057798915693e-05,6.82968276031221e-05,-2.24962966814536e-05,2.72806421787412e-05,-5.55146729501574e-05,5.48551077069429e-05,-0.000101044455771396,0.000103917350828095,-4.90549195482403e-05,5.11979744310116e-05,-4.90141143885493e-05,5.47060015136267e-05,-7.19631813453776e-05,7.25721293196481e-05,-8.49491872715639e-05,8.36713071483549e-05,-3.28751464003778e-05,3.62059655405725e-05,-5.93550461409046e-05,6.46548394762901e-05,-6.58892323318481e-05,6.85999067417269e-05,-6.96115369535819e-05,7.33315866566641e-05,-2.8350123979807e-05,3.53244822513316e-05,-4.64916482278571e-05,5.53355039237573e-05
"t_2023Q1_ai",-1.33698209253576e-05,9.14638214745177e-06,-3.91037190039197e-06,-5.10241922139281e-06,-3.27522131990197e-05,1.39937968634819e-05,2.03745617789229e-05,-2.55875857816787e-05,-1.86023989121967e-05,9.44167646952373e-06,8.5859849400066e-06,-1.65650237052487e-05,5.56468554981799e-05,-4.90549195482403e-05,0.000114315219205042,-8.91972770281007e-05,6.94295582785354e-05,-5.4859201458545e-05,6.79164906754554e-05,-5.81092497509677e-05,9.86186818450579e-05,-7.65392933199056e-05,9.78523490234938e-05,-6.95485628805562e-05,0.000124901323288073,-9.60545437548754e-05,7.91279695161174e-05,-6.1699878367758e-05,9.47636984212018e-05,-6.57087672855947e-05,0.000106485685963494,-6.74459923629037e-05,0.000119783214491548,-8.31057687473276e-05
"t_2023Q1_wfh",9.45844698962921e-06,-7.83742806739252e-06,-4.85732960158742e-06,7.5780151789383e-06,1.48685412079778e-05,-6.05759848427997e-06,-2.55733045352077e-05,2.75193377212069e-05,9.06256704436669e-06,-1.41373574777458e-06,-1.62508837466878e-05,2.36991690267449e-05,-4.90486711690151e-05,5.11979744310116e-05,-8.91972770281007e-05,9.20783234693648e-05,-5.52303284406025e-05,6.32428107989265e-05,-5.80060245721632e-05,6.66116389785916e-05,-7.63903302418372e-05,8.06248901121486e-05,-6.91797882658696e-05,6.94650973245002e-05,-9.54612307678545e-05,9.15443510620153e-05,-6.12288536819213e-05,6.3864125120057e-05,-6.4710363538882e-05,6.63459177234431e-05,-6.65320320207941e-05,6.45893634948554e-05,-8.2560251698569e-05,7.79375358927711e-05
"t_2023Q2_ai",-1.96677965680762e-07,-4.3378221064505e-06,4.01621424395903e-05,-3.46607037324954e-05,8.25680276361594e-05,-7.13582992768971e-05,2.68394327949022e-06,-3.92627627893531e-06,0.000109822946332104,-9.30519818261701e-05,0.00010873704563589,-8.89341698023932e-05,6.14843411805102e-05,-4.90141143885493e-05,6.94295582785354e-05,-5.52303284406025e-05,0.000186173586897906,-0.00015084962940977,0.000188100213906184,-0.000149742745474928,0.000126706576674242,-9.90723628883e-05,0.000141894732157133,-0.000108341471875624,0.000145385570065018,-0.000106840045618127,0.000200678217385173,-0.000154910267185171,0.000173164347926281,-0.000137636672051956,0.000176602927148864,-0.000132534845845898,0.000207621234203958,-0.000158296998857395
"t_2023Q2_wfh",-3.52715436921707e-06,5.88338201010064e-06,-3.41633556068931e-05,3.65314214188227e-05,-7.08049527522382e-05,7.37683819773296e-05,-3.21000048528487e-06,9.46730281569973e-06,-9.32848158160915e-05,9.07339324277375e-05,-8.88249098387871e-05,9.28546847874576e-05,-4.86666925264357e-05,5.47060015136267e-05,-5.4859201458545e-05,6.32428107989265e-05,-0.00015084962940977,0.000154298845851229,-0.000149662273919359,0.000156110248164754,-9.80644839963229e-05,0.000106011427106937,-0.000107626416026541,0.00010297600682949,-0.00010577268430564,0.00010582293813941,-0.000154637090433407,0.000153076441103994,-0.000136482828797593,0.000135565573203084,-0.00013183773156238,0.000118778600637353,-0.000157511898044355,0.000146687347107796
"t_2023Q3_ai",-1.33185190449823e-05,9.61244133536092e-06,4.50931911254451e-05,-3.00739930413475e-05,0.00016234666765968,-0.000122685013905676,4.21843654077361e-05,-2.42150218958772e-05,0.000105031284313025,-8.12351756619208e-05,0.000193436754906577,-0.000146397895837787,0.000103365646122169,-7.19631813453776e-05,6.79164906754554e-05,-5.80060245721632e-05,0.000188100213906184,-0.000149662273919359,0.000285191222053219,-0.000221992281590648,0.000180863768267794,-0.000140460936110566,0.000147284405713868,-0.000120485899611799,0.000176598166959176,-0.000135457512421236,0.00030132902456448,-0.000234090694400632,0.000209852184778095,-0.000168679683862942,0.000158733223430182,-0.000130047521189342,0.000219559043102591,-0.000172311795052724
"t_2023Q3_wfh",1.03888441780034e-05,-8.79893139557438e-06,-2.92794239368028e-05,3.15578900116271e-05,-0.000122520673349876,0.000124724929392965,-2.29742142906267e-05,2.40013274945402e-05,-8.1310911653079e-05,8.09736965502005e-05,-0.000146404485117052,0.000151059068543855,-7.09008450578989e-05,7.25721293196481e-05,-5.81092497509677e-05,6.66116389785916e-05,-0.000149742745474928,0.000156110248164754,-0.000221992281590648,0.000231751612945258,-0.000139029395743476,0.000146946107329063,-0.000120701229789235,0.000119649595777014,-0.000134631771758003,0.000138851185695642,-0.000234126533548889,0.000237098921112064,-0.000167792029543439,0.0001694491782537,-0.000131506987849145,0.000122364030466838,-0.000172557169454231,0.000166756362381397
"t_2023Q4_ai",-8.21926978573872e-06,3.40027714526735e-06,2.67923685390577e-05,-2.50571402493095e-05,6.22755678263195e-05,-5.21169143048565e-05,6.51210313905974e-05,-4.91070713852583e-05,3.63312305807666e-05,-2.96173550817171e-05,9.99988628311638e-05,-7.81677459238817e-05,0.000115599847127166,-8.49491872715639e-05,9.86186818450579e-05,-7.63903302418372e-05,0.000126706576674242,-9.80644839963229e-05,0.000180863768267794,-0.000139029395743476,0.000197373821024134,-0.000145589030589378,0.000144778426353158,-0.000111261408610316,0.000179815923647633,-0.000140599947439098,0.000206828830016568,-0.000160825406196906,0.000202006374687547,-0.000152080885080552,0.000148093195894048,-0.000112497368233964,0.000176622794580814,-0.000139279845800541
"t_2023Q4_wfh",4.02448650324316e-06,-3.73089247415432e-06,-2.4867826302998e-05,2.53691650184317e-05,-5.249863958783e-05,5.44175925647712e-05,-4.90239429057013e-05,4.65731249841955e-05,-3.03375000155608e-05,3.34074068058524e-05,-7.92469804363501e-05,8.1248353062496e-05,-8.4984453246463e-05,8.36713071483549e-05,-7.65392933199056e-05,8.06248901121486e-05,-9.90723628883e-05,0.000106011427106937,-0.000140460936110566,0.000146946107329063,-0.000145589030589378,0.000149245604141208,-0.000111630614023478,0.000113148845266617,-0.000140708432505496,0.000141836648224024,-0.000161887322830108,0.000163840165728036,-0.000151682850583425,0.000152211426841569,-0.000112712513121479,0.000111032950592655,-0.000139753666486421,0.000138847095154861
"t_2024Q1_ai",-4.66938780240151e-05,3.85719428620259e-05,-2.54612174603067e-05,1.61463744551474e-05,-4.00936086183771e-06,-1.57031694439416e-05,-3.46846113218455e-05,1.60766321369084e-05,5.35362749425748e-05,-5.13605207218728e-05,5.4297887498534e-05,-5.68170976359166e-05,3.40348844668916e-05,-3.28751464003778e-05,9.78523490234938e-05,-6.91797882658696e-05,0.000141894732157133,-0.000107626416026541,0.000147284405713868,-0.000120701229789235,0.000144778426353158,-0.000111630614023478,0.000262605774527275,-0.000194454808083784,0.000242600746294651,-0.000179794923556571,0.000255329845077641,-0.000201549872677026,0.000257766159518665,-0.000197605650701984,0.000332541175722226,-0.000242302282540399,0.000320321081918526,-0.000237097956918133
"t_2024Q1_wfh",3.94997099928401e-05,-3.69475427947122e-05,1.68162040410616e-05,-1.523901693059e-05,-1.32466107487837e-05,1.83922814256037e-05,1.66018199450869e-05,-8.87986272450982e-06,-5.16140157188746e-05,4.89566506391525e-05,-5.59308665677488e-05,5.68905971050355e-05,-3.3051953783762e-05,3.62059655405725e-05,-6.95485628805562e-05,6.94650973245002e-05,-0.000108341471875624,0.00010297600682949,-0.000120485899611799,0.000119649595777014,-0.000111261408610316,0.000113148845266617,-0.000194454808083784,0.000182089512127102,-0.000179473533082573,0.000165864425486059,-0.000201977488525746,0.000188015407591083,-0.000196434965217312,0.000183122921890167,-0.000241770914309376,0.0002171165677325,-0.000237057337386295,0.000209195911008391
"t_2024Q2_ai",-4.04889216076147e-05,3.21278620544333e-05,6.39658881477301e-06,-5.27147508485602e-06,1.52221055820155e-06,-7.30963170319193e-06,7.9933176469291e-06,-1.60017934374522e-05,1.59637661496965e-05,-1.13661694464042e-05,6.47689751236397e-05,-5.25090815697785e-05,6.89331395237215e-05,-5.93550461409046e-05,0.000124901323288073,-9.54612307678545e-05,0.000145385570065018,-0.00010577268430564,0.000176598166959176,-0.000134631771758003,0.000179815923647633,-0.000140708432505496,0.000242600746294651,-0.000179473533082573,0.000306588250712772,-0.000230603526617821,0.000279529694268122,-0.00021138110205703,0.000254223391948488,-0.000194396007479046,0.000283708276940183,-0.000203057069474677,0.000328376301785385,-0.000242095861216681
"t_2024Q2_wfh",3.29195590006242e-05,-2.90974716219472e-05,-4.8489275888575e-06,8.30764890512724e-06,-6.10659949537263e-06,1.79962738359298e-05,-1.60167019135246e-05,2.20176326090265e-05,-1.18766938871755e-05,1.75545596508396e-05,-5.26873182066493e-05,5.92091018588612e-05,-6.00989188020419e-05,6.46548394762901e-05,-9.60545437548754e-05,9.15443510620153e-05,-0.000106840045618127,0.00010582293813941,-0.000135457512421236,0.000138851185695642,-0.000140599947439098,0.000141836648224024,-0.000179794923556571,0.000165864425486059,-0.000230603526617821,0.000215168850668513,-0.00021254201025614,0.000204304656590577,-0.00019343828738742,0.000184812697629555,-0.000203175158177081,0.000178900056240172,-0.000242738836465994,0.000216238157510689
