"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","m01_x_high_x_young","m01_x_high_x_female","m01_x_high_x_young_x_female","m02_x_high_x_young","m02_x_high_x_female","m02_x_high_x_young_x_female","m03_x_high_x_young","m03_x_high_x_female","m03_x_high_x_young_x_female","m04_x_high_x_young","m04_x_high_x_female","m04_x_high_x_young_x_female","m05_x_high_x_young","m05_x_high_x_female","m05_x_high_x_young_x_female","m06_x_high_x_young","m06_x_high_x_female","m06_x_high_x_young_x_female","m07_x_high_x_young","m07_x_high_x_female","m07_x_high_x_young_x_female","m08_x_high_x_young","m08_x_high_x_female","m08_x_high_x_young_x_female","m09_x_high_x_young","m09_x_high_x_female","m09_x_high_x_young_x_female","m10_x_high_x_young","m10_x_high_x_female","m10_x_high_x_young_x_female","m11_x_high_x_young","m11_x_high_x_female","m11_x_high_x_young_x_female"
"m01_x_high_x_female",9.41565414078707e-07,-3.27233458633167e-07,-1.99787188478678e-07,-1.31544167328563e-06,2.06330454238218e-07,9.015512468251e-07,-9.71720027469095e-07,-7.9823575482222e-07,5.59276720379677e-06,-1.13874241853724e-06,3.05530841246294e-06,-4.62150394374782e-06,-8.81389103960249e-07,2.60294466656634e-06,-4.62012051847329e-06,-1.25548221691588e-06,2.384668625642e-06,-4.0059001002381e-06,-9.20112128973171e-07,2.09112932305367e-06,-4.01709147246529e-06,-2.51948815242296e-07,1.73904519257514e-06,-2.96039755914255e-06,3.61036504901286e-07,1.36061237750902e-06,-1.05139369356613e-06,-4.0803635260386e-07,1.86911078189226e-06,-2.45057139183484e-07,2.98801482996275e-07,2.32872923213335e-06,2.92661771293149e-07,-3.89042994801958e-07,1.48291837425828e-06,2.11189083961456e-07,-3.32453673869146e-07,1.05524685749009e-06,-7.75581317393195e-07,-7.05466627778365e-07,7.28410878599348e-07,-4.30095830193507e-07
"m01_x_high_x_young_x_female",-4.01611485117655e-06,9.06704334418096e-07,5.25004373386169e-06,1.08679726273354e-05,2.59802083797481e-06,-5.11483545875286e-07,1.78737601444252e-05,5.28226679320035e-06,3.08531267435896e-06,7.7013089789647e-05,-4.62150394374782e-06,0.000149658212651514,-1.11454553412492e-05,-5.494676062293e-06,5.78866716844366e-05,-2.09789191871612e-05,-5.63809447311493e-06,3.79378470425534e-05,-1.80181602294315e-05,-3.5786105609808e-06,4.53762668701238e-05,-2.96503906618271e-05,-2.49700644364498e-06,3.19483230548825e-05,-3.26468779553962e-05,-6.77818346876695e-07,2.4546268941985e-05,-4.50375160892135e-05,-3.61619538717296e-06,-1.08200497694853e-05,-5.99321070596128e-05,-6.23121758523663e-06,-4.28532096469268e-05,-3.31528694996127e-05,-2.93352798368392e-06,-3.27964321336119e-05,-1.28558739829697e-05,-3.45692351659832e-06,-8.3291303513076e-06,5.68412309575976e-06,-1.37292767879121e-06,9.57946614901671e-06
"m02_x_high_x_young",1.15539282873094e-06,-2.8269736170151e-06,-4.64019196637356e-06,9.67143028654789e-06,-3.04053643177067e-06,-7.65917994956887e-06,2.1544023349251e-05,-6.47478866789832e-06,-1.14398357431469e-05,0.000102466062948202,-8.81389103960249e-07,-1.11454553412492e-05,0.00010405049386,9.70921159199106e-08,-1.03022569804789e-05,8.22137846400119e-05,-4.8159978028127e-07,-1.0055846242605e-05,8.55042441060912e-05,1.57055015784354e-08,-1.41557685550644e-05,7.13202040431694e-05,-1.48983248372137e-07,-9.72905909491967e-06,5.81342949681421e-05,-2.03988241802223e-07,-2.22072890073231e-05,2.30321649772348e-05,-5.55298623531661e-07,-1.79796570675008e-06,9.33559562320003e-06,-4.98312644871215e-07,-8.02164066186993e-06,-3.92762250484446e-06,-1.58551819991003e-06,-2.90808552854918e-06,9.79139187480215e-06,-5.47598095168907e-07,-4.15332783185914e-06,1.11410833523018e-05,4.67129533025236e-08,9.69301636688963e-08
"m02_x_high_x_female",1.32778580829265e-06,-1.15813280878924e-07,-6.82013359061324e-07,-1.7518851114002e-06,6.53763477211228e-07,-5.65106466093357e-07,-2.24384302987701e-07,4.20601133983454e-08,2.84248408946731e-06,-2.30446136018504e-06,2.60294466656634e-06,-5.494676062293e-06,9.70921159199106e-08,3.08406195363827e-06,-4.4699144953971e-06,-3.21932389274542e-07,2.81685491503854e-06,-3.99875008069416e-06,-2.98836436324141e-07,2.38703170128755e-06,-4.16133054352644e-06,5.93568732730309e-07,1.99569852180029e-06,-2.95850413373478e-06,2.96873171696985e-07,1.50376879661256e-06,-2.10582685208237e-06,3.38655271033729e-07,2.03001530632378e-06,-4.45559168476846e-09,1.22188560417843e-06,2.46908798397938e-06,5.01934937990198e-07,9.41928355965053e-08,1.85054808435581e-06,6.63019008563038e-07,-5.73663166127721e-08,1.50958785594327e-06,-8.02891481008944e-07,-3.93649774169261e-07,1.16048201193524e-06,-5.96094604476295e-07
"m02_x_high_x_young_x_female",-3.74371193449085e-06,4.66856162731754e-07,3.40713289291892e-06,-2.82821384898619e-06,8.44596651687588e-07,6.75515366454019e-07,-1.02182952186233e-05,7.16087234137594e-07,4.45440056582225e-06,4.0683966839882e-06,-4.62012051847329e-06,5.78866716844366e-05,-1.03022569804789e-05,-4.4699144953971e-06,5.386733593228e-05,-1.01429828215296e-05,-4.24046825337506e-06,3.85846252944002e-05,-1.15119563123989e-05,-3.30963891337431e-06,3.74961606717948e-05,-1.6447847637443e-05,-2.74475254907983e-06,2.97032518636427e-05,-2.64070514086794e-05,-1.08076289357178e-06,1.58824476703563e-05,-1.11130364374785e-05,-2.49829484122612e-06,2.52097407373143e-06,-1.58657734939431e-05,-4.42821912090324e-06,-4.84683893799827e-06,-7.24952104059273e-06,-1.63756752143772e-06,-6.12786389367194e-06,-4.8919378096961e-06,-1.53374883481711e-06,4.33481283185244e-06,3.90532967613167e-06,-8.87335387334195e-07,1.19913398073595e-05
"m03_x_high_x_young",-1.43552510329769e-06,-2.7485652616348e-06,-1.56210664849764e-06,4.95074917391449e-06,-2.36542370928601e-06,-6.54390125729294e-06,1.49987848064411e-05,-5.54944756279876e-06,-9.189143046434e-06,5.48199380708182e-05,-1.25548221691588e-06,-2.09789191871612e-05,8.22137846400119e-05,-3.21932389274542e-07,-1.01429828215296e-05,8.82648488908533e-05,-6.63307396196708e-07,-8.07687600168193e-06,8.37314237084006e-05,-5.1798524502322e-07,-1.44395005785112e-05,7.44304949821118e-05,-5.28860829623317e-07,-1.17459497002361e-05,6.68312282614142e-05,-8.30539758340837e-07,-1.96101695816837e-05,4.24372048282325e-05,-3.7529863948133e-07,3.54553070025304e-07,3.19277639016206e-05,1.13442106160074e-07,5.11921439155556e-07,1.12282260374768e-05,-1.0775118326268e-06,5.78847469212769e-06,1.42834184380752e-05,-1.52367594166833e-07,-6.52054936460565e-07,8.89141989702781e-06,-5.58647184744959e-08,-3.14100548691401e-06
"m03_x_high_x_female",8.26141398309324e-07,4.16875479434635e-08,-6.0591548175871e-07,-1.47566656575363e-06,7.43243775442131e-07,-3.31928403877865e-07,3.79566572648238e-07,3.712912900292e-07,2.62073671669712e-06,-3.70355133215269e-06,2.384668625642e-06,-5.63809447311493e-06,-4.8159978028127e-07,2.81685491503854e-06,-4.24046825337506e-06,-6.63307396196708e-07,3.0349473174643e-06,-4.53433583065235e-06,-7.91788474850399e-07,2.48759720166305e-06,-4.29373641542618e-06,2.12183750045522e-07,2.08780032815006e-06,-3.24900833925034e-06,3.95261371496561e-07,1.5736581008804e-06,-2.36903419164472e-06,1.50569424279592e-06,2.06501146269691e-06,-2.82986500240699e-07,2.4546153070449e-06,2.57111356105536e-06,5.77412284566786e-07,8.75124678134106e-07,1.96511007964484e-06,5.16798703747456e-07,7.24071218261576e-07,1.54767264878665e-06,-7.99507308254582e-07,1.96226116046377e-07,1.17192941793384e-06,-4.47207518675839e-07
"m03_x_high_x_young_x_female",-2.99589891105507e-06,8.54203196743333e-07,3.20944651329035e-06,-5.50435668826273e-06,1.69947676724518e-07,2.19878046135134e-06,-1.29511319242355e-05,-5.78066628063023e-07,1.71708289867605e-06,1.95738504926043e-06,-4.0059001002381e-06,3.79378470425534e-05,-1.0055846242605e-05,-3.99875008069416e-06,3.85846252944002e-05,-8.07687600168193e-06,-4.53433583065235e-06,4.57292285668155e-05,-7.88863791071157e-06,-3.52049435318508e-06,3.86702966034793e-05,-1.16157574285779e-05,-2.90089069488702e-06,3.3395363580048e-05,-1.74619270345188e-05,-1.7198971407981e-06,2.21928865399688e-05,-7.25114196091157e-06,-2.18507595411186e-06,1.0055436942886e-05,-1.17740497777387e-05,-3.75182630627327e-06,7.15798480739505e-06,-5.54143094661793e-06,-1.69983314743545e-06,4.46321804387015e-06,-5.56110790376921e-06,-1.57985862237314e-06,7.72610750738669e-06,-4.38807887316441e-06,-6.24699941906311e-07,4.51641338692627e-06
"m04_x_high_x_young",-1.77866035373382e-05,-3.85773954070623e-06,1.10968979108688e-06,3.27447285284291e-06,-3.0190658032938e-06,-2.95836212965506e-07,1.10181743536682e-05,-7.5347440781991e-06,-8.09674428458589e-06,6.88261054323458e-05,-9.20112128973171e-07,-1.80181602294315e-05,8.55042441060912e-05,-2.98836436324141e-07,-1.15119563123989e-05,8.37314237084006e-05,-7.91788474850399e-07,-7.88863791071157e-06,0.000109304278288919,-1.05895390850738e-06,-1.13654389979709e-05,9.05663308078143e-05,-1.04611022838377e-06,-9.62303846730076e-06,8.14566088093536e-05,-1.52461212141581e-06,-1.52759705242374e-05,4.90570130329651e-05,-9.21065931902004e-07,4.78502985737424e-06,3.66397124572304e-05,-1.00618293227659e-06,4.57601772008992e-06,1.29711263889769e-05,-1.66282037780238e-06,6.26161317021516e-06,1.48325626521139e-05,-1.02859708441548e-06,7.34518163977556e-07,6.94545043505126e-06,-4.13816919567028e-07,-2.52756066100809e-06
"m04_x_high_x_female",6.06068616647776e-07,-7.01165217030955e-07,-1.1954116865838e-07,-2.48671641927905e-06,8.75194792912742e-07,-5.59460036748916e-07,-1.20965261532459e-07,6.19957561127421e-07,2.53163839013351e-06,-5.87491183452156e-07,2.09112932305367e-06,-3.5786105609808e-06,1.57055015784354e-08,2.38703170128755e-06,-3.30963891337431e-06,-5.1798524502322e-07,2.48759720166305e-06,-3.52049435318508e-06,-1.05895390850738e-06,2.83471503863997e-06,-4.48321199895444e-06,-3.24150452646077e-07,2.24069160568594e-06,-3.26901116611161e-06,-2.97007732814033e-07,1.817234702559e-06,-2.61151655169209e-06,-4.85828934365059e-07,1.99882970338096e-06,-9.59722421553191e-07,1.37264879113871e-07,2.43192880217079e-06,-3.30739130020424e-07,-5.72477836515719e-07,1.8920888867282e-06,-9.44870249871653e-10,-1.57842342664473e-07,1.50243015723229e-06,-1.3662304622433e-06,-3.90295043742202e-07,1.2034262232976e-06,-5.66213152609056e-07
"m04_x_high_x_young_x_female",6.20269625444206e-06,6.63002768669342e-07,-1.65049984662799e-05,-1.31526282940841e-06,-2.29425743154887e-07,7.7413895943158e-06,-9.03622991802154e-06,-6.83649205556288e-07,4.15616078483587e-06,1.27949878388424e-05,-4.01709147246529e-06,4.53762668701238e-05,-1.41557685550644e-05,-4.16133054352644e-06,3.74961606717948e-05,-1.44395005785112e-05,-4.29373641542618e-06,3.86702966034793e-05,-1.13654389979709e-05,-4.48321199895444e-06,5.32670790387885e-05,-1.66846147771935e-05,-3.41150804917377e-06,4.0834068631805e-05,-2.00397564545934e-05,-2.29268640449109e-06,3.06307875007146e-05,-1.23861995327281e-05,-2.5673395448532e-06,1.45937384314016e-05,-1.77035010075686e-05,-4.27373889037977e-06,7.48110684260123e-06,-8.29524328523137e-06,-2.04204593591445e-06,4.41843960550405e-06,-5.62632382354183e-06,-2.30899553615206e-06,1.05175673471146e-05,-3.1072294070799e-06,-1.04036411091563e-06,8.0041342239026e-06
"m05_x_high_x_young",-1.97868446213639e-05,-1.91552679411648e-06,2.13019831384518e-06,-4.92983523979668e-07,-2.73562318907427e-06,-2.50603754695509e-06,5.17700217471795e-06,-6.12354040114005e-06,-1.23798180905302e-05,3.00566830877985e-05,-2.51948815242296e-07,-2.96503906618271e-05,7.13202040431694e-05,5.93568732730309e-07,-1.6447847637443e-05,7.44304949821118e-05,2.12183750045522e-07,-1.16157574285779e-05,9.05663308078143e-05,-3.24150452646077e-07,-1.66846147771935e-05,9.40948504072986e-05,-3.82713718400731e-07,-1.42468504338614e-05,8.27186850083553e-05,-8.22924704902441e-07,-1.84189758213352e-05,6.46453101981273e-05,-7.71541159458187e-07,5.06215007269543e-06,5.60805008392932e-05,-5.24132539036247e-07,1.01587739743345e-05,2.63324435208317e-05,-1.14004773738411e-06,1.07309322048455e-05,1.54148900895033e-05,-1.55508652859091e-07,1.0493409677179e-06,3.80390436957704e-06,-3.56963637662622e-07,-3.33437508674791e-06
"m05_x_high_x_female",4.92904279442836e-07,-5.9805378309673e-07,-9.2620363526795e-08,-1.86392435996577e-06,8.18781516319509e-07,-4.3446353479609e-07,-4.01437132903223e-07,6.71263730220744e-07,1.74568336701512e-06,4.26936588559306e-08,1.73904519257514e-06,-2.49700644364498e-06,-1.48983248372137e-07,1.99569852180029e-06,-2.74475254907983e-06,-5.28860829623317e-07,2.08780032815006e-06,-2.90089069488702e-06,-1.04611022838377e-06,2.24069160568594e-06,-3.41150804917377e-06,-3.82713718400731e-07,2.2729253410506e-06,-3.01026098301657e-06,-6.34868077239872e-07,1.63444465921774e-06,-1.91060021225829e-06,-6.54478004536104e-07,1.86620769232703e-06,-9.30255330314785e-07,-4.56112523275856e-07,2.18507718121505e-06,-7.83806319860732e-07,-5.52827409418274e-07,1.76448537601696e-06,-6.31541443308992e-07,7.4420446601934e-08,1.34379485510865e-06,-9.30161940503184e-07,-1.19167685237787e-07,1.1327332160479e-06,-4.92158461688716e-07
