outcome,dating,post_from,spec,term,coef,se,n_obs,n_cells,status
seps,launch,2022-12,by_age,t_31_34,-0.0083061039115125,0.0141052304541545,11013772,143036,ok
seps,launch,2022-12,by_age,t_35_40,0.0012375220356941,0.0161710367543453,11013772,143036,ok
seps,launch,2022-12,by_age,t_41_49,0.0349854417449231,0.0160125410271979,11013772,143036,ok
seps,launch,2022-12,by_age,t_50p,0.0485346240811209,0.0173366962649723,11013772,143036,ok
seps,adoption,2024-01,pooled,post_rb_x_expo,0.0224787659908074,0.0127977035114459,11013772,143036,ok
seps,adoption,2024-01,pooled,post_rb_x_tele,-0.0037421773997831,0.0093252822467879,11013772,143036,ok
seps,adoption,2024-01,pooled,post_gpt_x_expo,-0.0327621790841168,0.0105953248889938,11013772,143036,ok
seps,adoption,2024-01,pooled,post_gpt_x_tele,0.017562011387825,0.0098771496321672,11013772,143036,ok
seps,adoption,2024-01,by_age,post_rb_x_expo,0.0222965030633681,0.0127950760096026,11013772,143036,ok
seps,adoption,2024-01,by_age,post_rb_x_tele,-0.0036059012838751,0.0093360083610773,11013772,143036,ok
seps,adoption,2024-01,by_age,gpt_x_expo_22_25,-0.0433799329440683,0.0213466954104807,11013772,143036,ok
seps,adoption,2024-01,by_age,gpt_x_expo_26_30,-0.0189029496097345,0.0118453852775548,11013772,143036,ok
seps,adoption,2024-01,by_age,gpt_x_expo_31_34,0.0023027054173816,0.0137282469119074,11013772,143036,ok
seps,adoption,2024-01,by_age,gpt_x_expo_35_40,-0.0184837094947385,0.0157879468614171,11013772,143036,ok
seps,adoption,2024-01,by_age,gpt_x_expo_41_49,-0.0705808521192292,0.0166897989650217,11013772,143036,ok
seps,adoption,2024-01,by_age,gpt_x_expo_50p,-0.068031642512098,0.0180554827088434,11013772,143036,ok
seps,adoption,2024-01,by_age,t_22_25,0.0444521582726225,0.0182879168017899,11013772,143036,ok
seps,adoption,2024-01,by_age,t_26_30,0.0204439079386163,0.011789903853715,11013772,143036,ok
seps,adoption,2024-01,by_age,t_31_34,-0.0080767850907469,0.0124258404642308,11013772,143036,ok
seps,adoption,2024-01,by_age,t_35_40,0.002180109777177,0.0142068344965259,11013772,143036,ok
seps,adoption,2024-01,by_age,t_41_49,0.0351295525197366,0.0157607813101654,11013772,143036,ok
seps,adoption,2024-01,by_age,t_50p,0.0481040596615111,0.0168231739662004,11013772,143036,ok
