period,band,group,n_employers,n_emp,n_pay,n_nopay_pension,n_nopay_benefit,share_pay,share_nopay_pension,share_nopay_benefit
reference,26-30,top,26701,2185329,2115662,294,10937,0.9681205896228897,0.0042200755020310905,0.15698967947521783
tightening,26-30,top,22845,1199353,1168138,116,7459,0.9739734673611522,0.00371616210155374,0.23895563030594266
interim,26-30,top,24252,1868722,1816592,226,9910,0.9721039298515242,0.004335315557260694,0.19010166890466143
later,26-30,top,22411,2320862,2244482,322,12371,0.9670898140432305,0.004215763288819062,0.16196648337261063
reference,26-30,unscored,46227,559397,530370,39,2193,0.9481101972302318,0.0013435766699968995,0.07555034967444103
tightening,26-30,unscored,40439,393133,376609,24,1534,0.9579684229001382,0.0014524328249818446,0.09283466473008957
interim,26-30,unscored,52820,690963,659625,37,2691,0.9546459072338171,0.0011806752185844662,0.08587018954623779
later,26-30,unscored,56875,1015779,966992,73,4072,0.951970851927437,0.001496300243917437,0.08346485744153155
reference,31-69,all,398581,62785928,58681512,2674350,282308,0.9346284090919227,0.6515786898793885,0.06878152701870376
tightening,31-69,all,374745,34577024,32458329,1412507,163505,0.9387253512621561,0.6666872768378648,0.07717250477298526
interim,31-69,all,411963,57380792,53469961,2664848,254325,0.93184424850741,0.6814019833636381,0.06503093588037939
later,31-69,all,421795,79732687,74335849,3418154,352356,0.9323133560016609,0.6333623503243937,0.06528934164783157
reference,31-69,rest,152048,44688976,41462870,2481714,81765,0.9278098025786046,0.76925990652508,0.025344796482198662
tightening,31-69,rest,141661,24195364,22548146,1308360,45987,0.9319200984122413,0.7942846666318605,0.027917980498027583
interim,31-69,rest,138816,39424903,36589394,2229203,73336,0.9280782250751511,0.7861738403933827,0.025863434043058936
later,31-69,rest,130651,53899667,50123868,2802909,97494,0.9299476377098953,0.7423353308796363,0.025820760056348337
reference,31-69,top,90088,15362848,14691699,190994,163835,0.9563135038503278,0.2845776422225169,0.24411121822426912
tightening,31-69,top,83057,8341740,7989467,103202,94191,0.9577698417836087,0.2929602893210663,0.2673806962213965
interim,31-69,top,81931,13939835,13114186,430676,134730,0.9407705327932504,0.5216211731619611,0.16318072207439238
later,31-69,top,76803,19269909,18054118,607625,179101,0.9369072785969046,0.4997775111018259,0.14731232588495885
reference,31-69,unscored,156445,2734104,2526943,1642,36708,0.9242307534753615,0.007926202325727333,0.17719551459975574
tightening,31-69,unscored,150027,2039920,1920716,945,23327,0.9415643750735323,0.007927586322606624,0.19568974195496797
interim,31-69,unscored,191216,4016054,3766381,4969,46259,0.9378312642210488,0.01990203185766983,0.18527834407404886
later,31-69,unscored,214341,6563111,6157863,7620,75761,0.9382536726866268,0.018803300694883132,0.18694971967782692
reference,all,all,414710,76833968,72297137,2675403,308206,0.9409527957738691,0.589707441163226,0.06793420341202923
tightening,all,all,391137,42469663,40155164,1412944,180744,0.9455022988998053,0.6104750963383436,0.07809206225623774
interim,all,all,428652,69669722,65411130,2665821,280269,0.9388745659125782,0.6259864762813625,0.06581259721522982
later,all,all,436826,95746866,89784096,3419445,385887,0.9377236013134884,0.5734658556342103,0.06471606317198215
reference,all,rest,152546,54789827,51292643,2482364,90691,0.9361709245769292,0.7098179563900555,0.0259325788977646
tightening,all,rest,142384,29727823,27961348,1308622,51413,0.9405783935137128,0.7408098048373173,0.029104855715478568
interim,all,rest,139458,47887838,44845822,2229701,82241,0.93647623014428,0.7329682026656007,0.02703503203138971
later,all,rest,131290,64850336,60732073,2803565,108624,0.9364958880089689,0.6807639531520935,0.026376168787666063
reference,all,top,90287,18404053,17618413,191348,177777,0.9573115769662258,0.24355684537447178,0.22628303039560105
tightening,all,top,83385,10048431,9647763,103342,103785,0.9601263122571077,0.2579242664749868,0.25902992003354397
interim,all,top,82192,16611549,15697599,431098,148048,0.9449810490279985,0.47168663493626567,0.16198697959406969
later,all,top,77080,22603264,21248758,608187,196008,0.9400747608840918,0.44901019264587977,0.14470810760528194
reference,all,unscored,171877,3640088,3386081,1691,39738,0.9302195441428889,0.006657296846149909,0.15644450743483448
tightening,all,unscored,165368,2693409,2546053,980,25546,0.9452901508831373,0.006650560547246125,0.17336246912239747
interim,all,unscored,207002,5170335,4867709,5022,49980,0.9414687829705425,0.016594740703046004,0.16515434893234554
later,all,unscored,228456,8293266,7803265,7693,81255,0.9409157984321256,0.015699967959249064,0.1658261921914445
