inr,expband,fresh,ssyk4,n
215z,3-5,0,7312,
215z,3-5,0,7319,
215z,3-5,0,7522,
215z,3-5,0,7523,
215z,3-5,0,7533,
215z,3-5,0,7612,
215z,3-5,0,8162,
215z,3-5,0,8191,
215z,3-5,0,8329,
215z,3-5,0,8331,
215z,3-5,0,9111,
215z,3-5,0,9412,6.0
215z,3-5,0,9413,
215z,3-5,0,9621,
215z,3-5,0,9629,
215z,3-5,1,1491,
215z,3-5,1,1592,
215z,3-5,1,1722,
215z,3-5,1,2149,
215z,3-5,1,2161,
215z,3-5,1,2171,
215z,3-5,1,2312,
215z,3-5,1,2319,8.0
215z,3-5,1,2330,
215z,3-5,1,2341,16.0
215z,3-5,1,2343,
215z,3-5,1,2351,
215z,3-5,1,2359,9.0
215z,3-5,1,2422,
215z,3-5,1,2432,
215z,3-5,1,2512,
215z,3-5,1,2621,
215z,3-5,1,2651,6.0
215z,3-5,1,2669,
215z,3-5,1,3119,
215z,3-5,1,3121,
215z,3-5,1,3313,
215z,3-5,1,3314,
215z,3-5,1,3324,
215z,3-5,1,3341,
215z,3-5,1,3343,
215z,3-5,1,3353,
215z,3-5,1,3355,
215z,3-5,1,3411,
215z,3-5,1,3424,
215z,3-5,1,3431,
215z,3-5,1,3433,
215z,3-5,1,3439,
215z,3-5,1,3522,
215z,3-5,1,4111,
215z,3-5,1,4119,
215z,3-5,1,4221,
215z,3-5,1,4222,
215z,3-5,1,4224,
215z,3-5,1,4225,
215z,3-5,1,4322,6.0
215z,3-5,1,4420,
215z,3-5,1,5112,
215z,3-5,1,5113,
215z,3-5,1,5120,
215z,3-5,1,5131,
215z,3-5,1,5141,
215z,3-5,1,5152,
215z,3-5,1,5169,
215z,3-5,1,5221,
215z,3-5,1,5222,8.0
215z,3-5,1,5223,25.0
215z,3-5,1,5225,
215z,3-5,1,5230,
215z,3-5,1,5242,
215z,3-5,1,5311,12.0
215z,3-5,1,5312,
215z,3-5,1,5321,
215z,3-5,1,5323,
215z,3-5,1,5330,8.0
215z,3-5,1,5341,
215z,3-5,1,5342,10.0
215z,3-5,1,5343,8.0
215z,3-5,1,5349,
215z,3-5,1,5412,
215z,3-5,1,5413,
215z,3-5,1,6113,7.0
215z,3-5,1,6121,
215z,3-5,1,7111,7.0
215z,3-5,1,7131,
215z,3-5,1,7212,
215z,3-5,1,7221,
215z,3-5,1,7223,
215z,3-5,1,7231,
215z,3-5,1,7233,
215z,3-5,1,7312,11.0
215z,3-5,1,7319,11.0
215z,3-5,1,7522,7.0
215z,3-5,1,7531,
215z,3-5,1,7533,
215z,3-5,1,7534,
215z,3-5,1,8111,
215z,3-5,1,8129,
215z,3-5,1,8132,
215z,3-5,1,8142,
215z,3-5,1,8151,
215z,3-5,1,8172,
215z,3-5,1,8199,
215z,3-5,1,8213,
215z,3-5,1,8219,
215z,3-5,1,8332,
215z,3-5,1,9111,6.0
215z,3-5,1,9119,
215z,3-5,1,9412,
215z,3-5,1,9413,
215z,3-5,1,9622,
215z,6-10,0,1372,
215z,6-10,0,1522,
215z,6-10,0,1732,
215z,6-10,0,2142,
215z,6-10,0,2172,
215z,6-10,0,2179,
215z,6-10,0,2273,
215z,6-10,0,2283,
215z,6-10,0,2320,
215z,6-10,0,2341,5.0
215z,6-10,0,2343,
215z,6-10,0,2422,
215z,6-10,0,2431,
215z,6-10,0,2432,
215z,6-10,0,2512,
215z,6-10,0,2621,
215z,6-10,0,2622,
215z,6-10,0,2651,
215z,6-10,0,2652,
215z,6-10,0,2655,
215z,6-10,0,2669,
215z,6-10,0,3114,
215z,6-10,0,3314,
215z,6-10,0,3322,
215z,6-10,0,3324,
215z,6-10,0,3359,
215z,6-10,0,3411,
215z,6-10,0,3423,
215z,6-10,0,3431,
215z,6-10,0,3432,
215z,6-10,0,3449,
215z,6-10,0,3452,
215z,6-10,0,4111,
215z,6-10,0,4114,
215z,6-10,0,4115,
215z,6-10,0,4119,
215z,6-10,0,4221,
215z,6-10,0,4222,
215z,6-10,0,4225,
215z,6-10,0,4322,
215z,6-10,0,4410,
215z,6-10,0,4420,
215z,6-10,0,4430,
215z,6-10,0,5120,
215z,6-10,0,5131,
215z,6-10,0,5132,
215z,6-10,0,5152,
215z,6-10,0,5221,
215z,6-10,0,5222,
215z,6-10,0,5223,19.0
215z,6-10,0,5224,
215z,6-10,0,5230,
215z,6-10,0,5311,15.0
215z,6-10,0,5312,
215z,6-10,0,5321,
215z,6-10,0,5323,
215z,6-10,0,5330,
215z,6-10,0,5342,12.0
215z,6-10,0,5343,9.0
215z,6-10,0,5350,
215z,6-10,0,6112,
215z,6-10,0,6113,
215z,6-10,0,6210,
215z,6-10,0,7111,
215z,6-10,0,7112,
215z,6-10,0,7119,
215z,6-10,0,7124,
215z,6-10,0,7212,
215z,6-10,0,7213,
215z,6-10,0,7223,
215z,6-10,0,7231,
215z,6-10,0,7311,6.0
215z,6-10,0,7312,11.0
215z,6-10,0,7319,
215z,6-10,0,7412,
215z,6-10,0,7420,
215z,6-10,0,7521,
215z,6-10,0,7522,13.0
215z,6-10,0,7532,
215z,6-10,0,7533,
215z,6-10,0,7612,
215z,6-10,0,8129,
215z,6-10,0,8142,
215z,6-10,0,8172,
215z,6-10,0,8191,
215z,6-10,0,8213,
215z,6-10,0,8214,
215z,6-10,0,9111,
215z,6-10,0,9119,
215z,6-10,0,9120,
215z,6-10,0,9210,
215z,6-10,0,9412,
215z,6-10,0,9413,
215z,6-10,0,9629,
215z,6-10,1,1592,
215z,6-10,1,2144,
215z,6-10,1,2149,
215z,6-10,1,2171,
215z,6-10,1,2172,
215z,6-10,1,2179,
215z,6-10,1,2225,
215z,6-10,1,2312,
215z,6-10,1,2314,
215z,6-10,1,2319,7.0
215z,6-10,1,2320,
215z,6-10,1,2330,11.0
215z,6-10,1,2341,21.0
215z,6-10,1,2342,
215z,6-10,1,2351,
215z,6-10,1,2359,5.0
215z,6-10,1,2419,
215z,6-10,1,2421,
215z,6-10,1,2422,7.0
215z,6-10,1,2432,
215z,6-10,1,2512,
215z,6-10,1,2621,
215z,6-10,1,2642,
215z,6-10,1,2651,7.0
215z,6-10,1,2652,
215z,6-10,1,2669,
215z,6-10,1,3111,
215z,6-10,1,3112,
215z,6-10,1,3113,
215z,6-10,1,3117,
215z,6-10,1,3313,
215z,6-10,1,3322,
215z,6-10,1,3323,
215z,6-10,1,3353,
215z,6-10,1,3359,
215z,6-10,1,3411,
215z,6-10,1,3423,7.0
215z,6-10,1,3431,
215z,6-10,1,3432,
215z,6-10,1,3439,
215z,6-10,1,4111,
215z,6-10,1,4112,
215z,6-10,1,4114,
215z,6-10,1,4115,
215z,6-10,1,4119,7.0
215z,6-10,1,4212,
215z,6-10,1,4222,
215z,6-10,1,4223,
215z,6-10,1,4225,5.0
215z,6-10,1,4322,
215z,6-10,1,4410,
215z,6-10,1,4420,
215z,6-10,1,5112,
215z,6-10,1,5120,
215z,6-10,1,5131,
215z,6-10,1,5141,
215z,6-10,1,5149,
215z,6-10,1,5152,5.0
215z,6-10,1,5221,
215z,6-10,1,5222,11.0
215z,6-10,1,5223,28.0
215z,6-10,1,5224,
215z,6-10,1,5230,
215z,6-10,1,5311,11.0
215z,6-10,1,5312,7.0
215z,6-10,1,5321,9.0
215z,6-10,1,5323,
215z,6-10,1,5324,
215z,6-10,1,5330,
215z,6-10,1,5341,5.0
215z,6-10,1,5342,12.0
215z,6-10,1,5343,15.0
215z,6-10,1,5350,
215z,6-10,1,5413,
215z,6-10,1,6113,
215z,6-10,1,7114,
215z,6-10,1,7119,
215z,6-10,1,7124,
215z,6-10,1,7131,
215z,6-10,1,7213,
215z,6-10,1,7214,
215z,6-10,1,7223,
215z,6-10,1,7311,
215z,6-10,1,7312,19.0
215z,6-10,1,7319,13.0
215z,6-10,1,7521,
215z,6-10,1,7522,10.0
215z,6-10,1,7523,
215z,6-10,1,7531,
215z,6-10,1,7532,
215z,6-10,1,7533,
215z,6-10,1,8112,
215z,6-10,1,8151,
215z,6-10,1,8159,
215z,6-10,1,8169,
215z,6-10,1,8211,
215z,6-10,1,8212,
215z,6-10,1,8219,
215z,6-10,1,8311,
215z,6-10,1,8321,
215z,6-10,1,8331,
215z,6-10,1,9111,
215z,6-10,1,9210,
215z,6-10,1,9320,
215z,6-10,1,9412,
215z,6-10,1,9610,
215z,6-10,1,9621,
215z,6-10,1,9622,
215z,6-10,1,9629,5.0
215z,na,0,2172,
215z,na,0,2173,
215z,na,0,2330,
215z,na,0,2343,
215z,na,0,2653,
215z,na,0,3333,
215z,na,0,4119,
215z,na,0,4211,
215z,na,0,4224,
215z,na,0,5113,
215z,na,0,5222,
215z,na,0,5223,
215z,na,0,5311,
215z,na,0,5312,
215z,na,0,5330,
215z,na,0,5341,
215z,na,0,5343,
215z,na,0,5349,
215z,na,0,7111,
215z,na,0,7131,
215z,na,0,7211,
215z,na,0,7413,
215z,na,0,7522,
215z,na,0,7533,
215z,na,0,8151,
215z,na,0,8159,
215z,na,0,8331,
215z,na,0,9111,5.0
215z,na,0,9412,
215z,na,1,1532,
215z,na,1,2342,
215z,na,1,2343,
215z,na,1,2621,
215z,na,1,2643,
215z,na,1,2652,
215z,na,1,3343,
215z,na,1,3411,
215z,na,1,3433,
215z,na,1,4222,
215z,na,1,4322,6.0
215z,na,1,5113,
215z,na,1,5120,
215z,na,1,5131,
215z,na,1,5221,
215z,na,1,5223,
215z,na,1,5242,
215z,na,1,5311,
215z,na,1,5312,
215z,na,1,5330,
215z,na,1,5342,
215z,na,1,5343,
215z,na,1,7111,
215z,na,1,7124,
215z,na,1,7132,
215z,na,1,7223,
215z,na,1,7231,
215z,na,1,7312,
215z,na,1,7319,
215z,na,1,7531,
215z,na,1,8212,
215z,na,1,8332,
215z,na,1,9111,
215z,na,1,9119,
215z,na,1,9412,
215z,na,1,9621,
215z,na,1,9622,
219z,0-2,0,0210,
219z,0-2,0,0310,
219z,0-2,0,1113,
219z,0-2,0,1120,
219z,0-2,0,1222,
219z,0-2,0,1242,
219z,0-2,0,1251,
219z,0-2,0,1252,
219z,0-2,0,1291,
219z,0-2,0,1292,
219z,0-2,0,1312,
219z,0-2,0,1332,
219z,0-2,0,1592,
219z,0-2,0,1612,
219z,0-2,0,1721,
219z,0-2,0,1722,
219z,0-2,0,1792,
219z,0-2,0,2131,
219z,0-2,0,2149,
219z,0-2,0,2161,
219z,0-2,0,2172,9.0
219z,0-2,0,2173,5.0
219z,0-2,0,2179,
219z,0-2,0,2319,5.0
219z,0-2,0,2320,9.0
219z,0-2,0,2330,7.0
219z,0-2,0,2341,34.0
219z,0-2,0,2342,8.0
219z,0-2,0,2343,8.0
219z,0-2,0,2359,22.0
219z,0-2,0,2411,
219z,0-2,0,2413,
219z,0-2,0,2415,
219z,0-2,0,2419,
219z,0-2,0,2421,
219z,0-2,0,2422,16.0
219z,0-2,0,2423,
219z,0-2,0,2431,8.0
219z,0-2,0,2432,
219z,0-2,0,2512,6.0
219z,0-2,0,2513,
219z,0-2,0,2514,
219z,0-2,0,2516,
219z,0-2,0,2519,
219z,0-2,0,2621,9.0
219z,0-2,0,2622,
219z,0-2,0,2641,
219z,0-2,0,2642,11.0
219z,0-2,0,2652,15.0
219z,0-2,0,2653,9.0
219z,0-2,0,2654,10.0
219z,0-2,0,2655,9.0
219z,0-2,0,2661,
219z,0-2,0,3111,
219z,0-2,0,3112,
219z,0-2,0,3113,
219z,0-2,0,3115,
219z,0-2,0,3119,
219z,0-2,0,3121,
219z,0-2,0,3211,
219z,0-2,0,3213,
219z,0-2,0,3312,
219z,0-2,0,3313,
219z,0-2,0,3314,
219z,0-2,0,3321,
219z,0-2,0,3322,7.0
219z,0-2,0,3323,
219z,0-2,0,3324,
219z,0-2,0,3332,
219z,0-2,0,3334,
219z,0-2,0,3339,
219z,0-2,0,3341,
219z,0-2,0,3343,
219z,0-2,0,3359,
219z,0-2,0,3411,6.0
219z,0-2,0,3422,5.0
219z,0-2,0,3423,12.0
219z,0-2,0,3431,6.0
219z,0-2,0,3432,
219z,0-2,0,3433,5.0
219z,0-2,0,3439,8.0
219z,0-2,0,3449,12.0
219z,0-2,0,3452,
219z,0-2,0,3511,
219z,0-2,0,3512,5.0
219z,0-2,0,3513,
219z,0-2,0,3514,
219z,0-2,0,3515,
219z,0-2,0,3521,
219z,0-2,0,3522,19.0
219z,0-2,0,4111,
219z,0-2,0,4112,
219z,0-2,0,4113,
219z,0-2,0,4114,8.0
219z,0-2,0,4115,
219z,0-2,0,4117,
219z,0-2,0,4119,37.0
219z,0-2,0,4212,
219z,0-2,0,4221,6.0
219z,0-2,0,4222,24.0
219z,0-2,0,4223,
219z,0-2,0,4224,7.0
219z,0-2,0,4225,22.0
219z,0-2,0,4226,
219z,0-2,0,4322,31.0
219z,0-2,0,4410,
219z,0-2,0,4420,25.0
219z,0-2,0,5112,
219z,0-2,0,5113,5.0
219z,0-2,0,5120,
219z,0-2,0,5131,37.0
219z,0-2,0,5132,19.0
219z,0-2,0,5141,
219z,0-2,0,5143,
219z,0-2,0,5152,11.0
219z,0-2,0,5161,
219z,0-2,0,5169,
219z,0-2,0,5221,7.0
219z,0-2,0,5222,66.0
219z,0-2,0,5223,103.0
219z,0-2,0,5225,
219z,0-2,0,5230,26.0
219z,0-2,0,5241,7.0
219z,0-2,0,5242,6.0
219z,0-2,0,5311,58.0
219z,0-2,0,5312,13.0
219z,0-2,0,5322,
219z,0-2,0,5323,
219z,0-2,0,5330,49.0
219z,0-2,0,5341,
219z,0-2,0,5342,27.0
219z,0-2,0,5343,39.0
219z,0-2,0,5349,5.0
219z,0-2,0,5412,
219z,0-2,0,5413,
219z,0-2,0,5419,
219z,0-2,0,6112,
219z,0-2,0,6113,
219z,0-2,0,6121,
219z,0-2,0,6130,
219z,0-2,0,7113,
219z,0-2,0,7122,
219z,0-2,0,7124,
219z,0-2,0,7125,
219z,0-2,0,7126,
219z,0-2,0,7131,
219z,0-2,0,7212,
219z,0-2,0,7223,5.0
219z,0-2,0,7233,
219z,0-2,0,7319,
219z,0-2,0,7321,
219z,0-2,0,7322,
219z,0-2,0,7411,
219z,0-2,0,7420,
219z,0-2,0,7531,
219z,0-2,0,7611,
219z,0-2,0,7612,
219z,0-2,0,7619,
219z,0-2,0,8131,
219z,0-2,0,8151,
219z,0-2,0,8163,
219z,0-2,0,8169,
219z,0-2,0,8173,
219z,0-2,0,8199,
219z,0-2,0,8211,
219z,0-2,0,8212,
219z,0-2,0,8213,
219z,0-2,0,8214,
219z,0-2,0,8219,
219z,0-2,0,8321,
219z,0-2,0,8329,
219z,0-2,0,8331,
219z,0-2,0,8332,5.0
219z,0-2,0,8344,
219z,0-2,0,9111,12.0
219z,0-2,0,9119,
219z,0-2,0,9120,
219z,0-2,0,9310,
219z,0-2,0,9320,
219z,0-2,0,9412,68.0
219z,0-2,0,9413,28.0
219z,0-2,0,9610,
219z,0-2,0,9621,
219z,0-2,0,9622,7.0
219z,0-2,0,9629,7.0
219z,0-2,1,1241,
219z,0-2,1,1242,
219z,0-2,1,1252,
219z,0-2,1,1312,
219z,0-2,1,1412,
219z,0-2,1,1492,
219z,0-2,1,1591,
219z,0-2,1,1592,
219z,0-2,1,1721,
219z,0-2,1,1742,
219z,0-2,1,2114,
219z,0-2,1,2143,
219z,0-2,1,2144,
219z,0-2,1,2149,
219z,0-2,1,2161,5.0
219z,0-2,1,2171,
219z,0-2,1,2172,17.0
219z,0-2,1,2173,
219z,0-2,1,2179,9.0
219z,0-2,1,2181,
219z,0-2,1,2312,
219z,0-2,1,2313,
219z,0-2,1,2314,5.0
219z,0-2,1,2319,13.0
219z,0-2,1,2320,
219z,0-2,1,2330,21.0
219z,0-2,1,2341,90.0
219z,0-2,1,2342,
219z,0-2,1,2343,
219z,0-2,1,2359,74.0
219z,0-2,1,2411,
219z,0-2,1,2412,
219z,0-2,1,2414,
219z,0-2,1,2415,
219z,0-2,1,2419,
219z,0-2,1,2421,
219z,0-2,1,2422,20.0
219z,0-2,1,2423,
219z,0-2,1,2431,9.0
219z,0-2,1,2432,24.0
219z,0-2,1,2511,
219z,0-2,1,2512,13.0
219z,0-2,1,2513,
219z,0-2,1,2514,
219z,0-2,1,2515,
219z,0-2,1,2519,
219z,0-2,1,2615,
219z,0-2,1,2619,
219z,0-2,1,2621,13.0
219z,0-2,1,2622,
219z,0-2,1,2641,5.0
219z,0-2,1,2642,17.0
219z,0-2,1,2643,5.0
219z,0-2,1,2651,8.0
219z,0-2,1,2652,42.0
219z,0-2,1,2653,6.0
219z,0-2,1,2654,17.0
219z,0-2,1,2655,12.0
219z,0-2,1,2669,
219z,0-2,1,2671,
219z,0-2,1,3111,
219z,0-2,1,3112,
219z,0-2,1,3113,
219z,0-2,1,3119,
219z,0-2,1,3122,
219z,0-2,1,3153,
219z,0-2,1,3154,
219z,0-2,1,3214,
219z,0-2,1,3230,
219z,0-2,1,3250,
219z,0-2,1,3312,
219z,0-2,1,3313,
219z,0-2,1,3321,
219z,0-2,1,3322,7.0
219z,0-2,1,3323,
219z,0-2,1,3324,
219z,0-2,1,3332,8.0
219z,0-2,1,3335,
219z,0-2,1,3339,
219z,0-2,1,3341,
219z,0-2,1,3342,
219z,0-2,1,3343,
219z,0-2,1,3352,
219z,0-2,1,3353,6.0
219z,0-2,1,3359,11.0
219z,0-2,1,3360,
219z,0-2,1,3411,
219z,0-2,1,3422,8.0
219z,0-2,1,3423,10.0
219z,0-2,1,3431,18.0
219z,0-2,1,3432,9.0
219z,0-2,1,3433,6.0
219z,0-2,1,3439,
219z,0-2,1,3449,
219z,0-2,1,3511,6.0
219z,0-2,1,3512,9.0
219z,0-2,1,3515,
219z,0-2,1,3521,5.0
219z,0-2,1,3522,16.0
219z,0-2,1,4111,7.0
219z,0-2,1,4112,
219z,0-2,1,4114,
219z,0-2,1,4115,
219z,0-2,1,4117,
219z,0-2,1,4119,50.0
219z,0-2,1,4211,
219z,0-2,1,4221,5.0
219z,0-2,1,4222,34.0
219z,0-2,1,4223,
219z,0-2,1,4224,16.0
219z,0-2,1,4225,24.0
219z,0-2,1,4321,
219z,0-2,1,4322,33.0
219z,0-2,1,4323,
219z,0-2,1,4410,9.0
219z,0-2,1,4420,14.0
219z,0-2,1,5111,
219z,0-2,1,5112,9.0
219z,0-2,1,5113,
219z,0-2,1,5120,7.0
219z,0-2,1,5131,33.0
219z,0-2,1,5132,19.0
219z,0-2,1,5141,
219z,0-2,1,5149,
219z,0-2,1,5152,8.0
219z,0-2,1,5169,
219z,0-2,1,5221,7.0
219z,0-2,1,5222,72.0
219z,0-2,1,5223,133.0
219z,0-2,1,5224,
219z,0-2,1,5225,
219z,0-2,1,5230,23.0
219z,0-2,1,5241,
219z,0-2,1,5242,11.0
219z,0-2,1,5311,42.0
219z,0-2,1,5312,22.0
219z,0-2,1,5321,9.0
219z,0-2,1,5323,5.0
219z,0-2,1,5330,34.0
219z,0-2,1,5341,5.0
219z,0-2,1,5342,45.0
219z,0-2,1,5343,47.0
219z,0-2,1,5349,11.0
219z,0-2,1,5350,
219z,0-2,1,5412,
219z,0-2,1,5413,9.0
219z,0-2,1,5414,
219z,0-2,1,5419,
219z,0-2,1,6113,10.0
219z,0-2,1,6210,
219z,0-2,1,7111,
219z,0-2,1,7119,
219z,0-2,1,7212,
219z,0-2,1,7223,
219z,0-2,1,7233,
219z,0-2,1,7319,5.0
219z,0-2,1,7321,
219z,0-2,1,7413,
219z,0-2,1,7420,
219z,0-2,1,7531,5.0
219z,0-2,1,7533,
219z,0-2,1,7611,
219z,0-2,1,7612,
219z,0-2,1,7619,
219z,0-2,1,8114,
219z,0-2,1,8129,
219z,0-2,1,8141,
219z,0-2,1,8143,
219z,0-2,1,8151,
219z,0-2,1,8162,
219z,0-2,1,8163,
219z,0-2,1,8172,
219z,0-2,1,8173,
219z,0-2,1,8181,
219z,0-2,1,8191,
219z,0-2,1,8192,
219z,0-2,1,8199,
219z,0-2,1,8212,
219z,0-2,1,8213,
219z,0-2,1,8311,5.0
219z,0-2,1,8321,
219z,0-2,1,8329,
219z,0-2,1,8331,
219z,0-2,1,8343,
219z,0-2,1,8344,
219z,0-2,1,9111,15.0
219z,0-2,1,9119,6.0
219z,0-2,1,9120,5.0
219z,0-2,1,9210,
219z,0-2,1,9310,
219z,0-2,1,9320,7.0
219z,0-2,1,9332,
219z,0-2,1,9411,
219z,0-2,1,9412,38.0
219z,0-2,1,9413,9.0
219z,0-2,1,9610,
219z,0-2,1,9621,
219z,0-2,1,9622,
219z,0-2,1,9629,22.0
219z,11-20,0,0310,
219z,11-20,0,1113,
219z,11-20,0,1120,8.0
219z,11-20,0,1212,
219z,11-20,0,1221,
219z,11-20,0,1222,
219z,11-20,0,1230,
219z,11-20,0,1242,6.0
219z,11-20,0,1251,7.0
219z,11-20,0,1252,6.0
219z,11-20,0,1291,
219z,11-20,0,1292,8.0
219z,11-20,0,1311,
219z,11-20,0,1312,6.0
219z,11-20,0,1321,
219z,11-20,0,1322,
219z,11-20,0,1342,
219z,11-20,0,1362,
219z,11-20,0,1371,
219z,11-20,0,1372,
219z,11-20,0,1512,
219z,11-20,0,1522,
219z,11-20,0,1591,
219z,11-20,0,1612,
219z,11-20,0,1712,
219z,11-20,0,1722,
219z,11-20,0,1732,
219z,11-20,0,1742,
219z,11-20,0,1792,
219z,11-20,0,2141,
219z,11-20,0,2142,
219z,11-20,0,2143,
219z,11-20,0,2144,
219z,11-20,0,2149,
219z,11-20,0,2161,24.0
219z,11-20,0,2162,
219z,11-20,0,2163,
219z,11-20,0,2171,7.0
219z,11-20,0,2172,53.0
219z,11-20,0,2173,29.0
219z,11-20,0,2179,16.0
219z,11-20,0,2233,
219z,11-20,0,2311,
219z,11-20,0,2312,
219z,11-20,0,2314,
219z,11-20,0,2319,
219z,11-20,0,2320,
219z,11-20,0,2330,6.0
219z,11-20,0,2341,23.0
219z,11-20,0,2342,
219z,11-20,0,2343,6.0
219z,11-20,0,2351,
219z,11-20,0,2359,18.0
219z,11-20,0,2411,
219z,11-20,0,2412,
219z,11-20,0,2413,
219z,11-20,0,2414,
219z,11-20,0,2419,
219z,11-20,0,2421,8.0
219z,11-20,0,2422,16.0
219z,11-20,0,2423,
219z,11-20,0,2431,17.0
219z,11-20,0,2432,17.0
219z,11-20,0,2512,29.0
219z,11-20,0,2513,
219z,11-20,0,2519,
219z,11-20,0,2621,8.0
219z,11-20,0,2622,
219z,11-20,0,2641,
219z,11-20,0,2642,13.0
219z,11-20,0,2643,
219z,11-20,0,2651,5.0
219z,11-20,0,2652,25.0
219z,11-20,0,2653,6.0
219z,11-20,0,2654,25.0
219z,11-20,0,2655,8.0
219z,11-20,0,3111,
219z,11-20,0,3112,
219z,11-20,0,3114,
219z,11-20,0,3119,
219z,11-20,0,3121,
219z,11-20,0,3122,
219z,11-20,0,3215,
219z,11-20,0,3312,
219z,11-20,0,3313,11.0
219z,11-20,0,3314,
219z,11-20,0,3321,
219z,11-20,0,3322,31.0
219z,11-20,0,3323,6.0
219z,11-20,0,3331,
219z,11-20,0,3332,
219z,11-20,0,3334,
219z,11-20,0,3335,
219z,11-20,0,3339,7.0
219z,11-20,0,3341,5.0
219z,11-20,0,3343,
219z,11-20,0,3359,8.0
219z,11-20,0,3411,
219z,11-20,0,3422,
219z,11-20,0,3423,7.0
219z,11-20,0,3424,
219z,11-20,0,3431,7.0
219z,11-20,0,3432,9.0
219z,11-20,0,3433,
219z,11-20,0,3439,5.0
219z,11-20,0,3441,
219z,11-20,0,3449,8.0
219z,11-20,0,3452,
219z,11-20,0,3511,
219z,11-20,0,3512,
219z,11-20,0,3513,
219z,11-20,0,3514,
219z,11-20,0,3515,
219z,11-20,0,3521,8.0
219z,11-20,0,3522,8.0
219z,11-20,0,4111,9.0
219z,11-20,0,4112,
219z,11-20,0,4114,12.0
219z,11-20,0,4115,
219z,11-20,0,4116,
219z,11-20,0,4117,
219z,11-20,0,4119,37.0
219z,11-20,0,4211,
219z,11-20,0,4212,
219z,11-20,0,4221,
219z,11-20,0,4222,7.0
219z,11-20,0,4224,
219z,11-20,0,4225,7.0
219z,11-20,0,4226,
219z,11-20,0,4321,
219z,11-20,0,4322,15.0
219z,11-20,0,4323,
219z,11-20,0,4410,
219z,11-20,0,4420,
219z,11-20,0,5113,
219z,11-20,0,5120,18.0
219z,11-20,0,5131,14.0
219z,11-20,0,5132,8.0
219z,11-20,0,5141,5.0
219z,11-20,0,5142,
219z,11-20,0,5149,
219z,11-20,0,5152,6.0
219z,11-20,0,5161,
219z,11-20,0,5169,
219z,11-20,0,5221,14.0
219z,11-20,0,5222,13.0
219z,11-20,0,5223,40.0
219z,11-20,0,5224,
219z,11-20,0,5225,
219z,11-20,0,5230,
219z,11-20,0,5242,
219z,11-20,0,5311,23.0
219z,11-20,0,5312,12.0
219z,11-20,0,5321,10.0
219z,11-20,0,5323,
219z,11-20,0,5330,12.0
219z,11-20,0,5342,8.0
219z,11-20,0,5343,33.0
219z,11-20,0,5349,6.0
219z,11-20,0,5412,
219z,11-20,0,5413,
219z,11-20,0,5419,
219z,11-20,0,6111,
219z,11-20,0,6112,
219z,11-20,0,6113,7.0
219z,11-20,0,6121,
219z,11-20,0,6122,
219z,11-20,0,6130,
219z,11-20,0,6210,
219z,11-20,0,7111,6.0
219z,11-20,0,7112,
219z,11-20,0,7114,
219z,11-20,0,7119,6.0
219z,11-20,0,7122,
219z,11-20,0,7124,
219z,11-20,0,7125,
219z,11-20,0,7131,8.0
219z,11-20,0,7132,
219z,11-20,0,7211,
219z,11-20,0,7212,
219z,11-20,0,7221,
219z,11-20,0,7223,9.0
219z,11-20,0,7231,
219z,11-20,0,7233,
219z,11-20,0,7311,
219z,11-20,0,7312,
219z,11-20,0,7321,
219z,11-20,0,7322,
219z,11-20,0,7411,
219z,11-20,0,7412,
219z,11-20,0,7413,
219z,11-20,0,7420,
219z,11-20,0,7522,
219z,11-20,0,7523,
219z,11-20,0,7531,
219z,11-20,0,7532,
219z,11-20,0,7612,6.0
219z,11-20,0,8115,
219z,11-20,0,8116,
219z,11-20,0,8121,
219z,11-20,0,8159,
219z,11-20,0,8163,
219z,11-20,0,8169,
219z,11-20,0,8171,
219z,11-20,0,8191,
219z,11-20,0,8211,
219z,11-20,0,8212,
219z,11-20,0,8213,
219z,11-20,0,8214,
219z,11-20,0,8219,
219z,11-20,0,8321,7.0
219z,11-20,0,8331,
219z,11-20,0,8332,
219z,11-20,0,8341,
219z,11-20,0,9111,22.0
219z,11-20,0,9119,5.0
219z,11-20,0,9120,
219z,11-20,0,9210,
219z,11-20,0,9310,
219z,11-20,0,9331,
219z,11-20,0,9332,
219z,11-20,0,9411,
219z,11-20,0,9412,22.0
219z,11-20,0,9413,
219z,11-20,0,9610,
219z,11-20,0,9621,
219z,11-20,0,9622,
219z,11-20,0,9629,
219z,11-20,1,1120,7.0
219z,11-20,1,1221,
219z,11-20,1,1241,
219z,11-20,1,1242,
219z,11-20,1,1251,
219z,11-20,1,1252,12.0
219z,11-20,1,1291,
219z,11-20,1,1292,7.0
219z,11-20,1,1311,
219z,11-20,1,1312,
219z,11-20,1,1321,
219z,11-20,1,1322,
219z,11-20,1,1331,
219z,11-20,1,1332,
219z,11-20,1,1341,
219z,11-20,1,1342,
219z,11-20,1,1361,
219z,11-20,1,1362,
219z,11-20,1,1371,
219z,11-20,1,1372,
219z,11-20,1,1412,
219z,11-20,1,1492,
219z,11-20,1,1512,
219z,11-20,1,1532,
219z,11-20,1,1591,
219z,11-20,1,1592,12.0
219z,11-20,1,1721,
219z,11-20,1,1722,
219z,11-20,1,1732,6.0
219z,11-20,1,2114,
219z,11-20,1,2141,
219z,11-20,1,2142,
219z,11-20,1,2143,5.0
