age_group,stale_years,ssyk_status,n,year
50+,6,4,263.0,2020
26-30,-1,3,175.0,2020
31-34,6,3,15.0,2020
50+,0,11,,2020
50+,4,5,70965.0,2020
50+,-1,1,41243.0,2020
22-25,0,2,4396.0,2020
35-40,6,1,2114.0,2020
22-25,4,5,11595.0,2020
22-25,1,5,15698.0,2020
22-25,0,15,870.0,2020
50+,-1,4,784.0,2020
26-30,-1,2,1216.0,2020
41-49,3,3,193.0,2020
26-30,5,2,178.0,2020
26-30,6,2,87.0,2020
35-40,0,1,430206.0,2020
35-40,3,5,16023.0,2020
41-49,0,13,6571.0,2020
50+,3,5,75571.0,2020
41-49,2,5,26435.0,2020
31-34,2,1,17463.0,2020
26-30,5,5,11612.0,2020
41-49,1,5,14779.0,2020
22-25,2,2,984.0,2020
41-49,-1,1,34997.0,2020
35-40,0,4,1090.0,2020
31-34,2,4,1202.0,2020
31-34,6,1,1290.0,2020
22-25,5,2,73.0,2020
35-40,5,2,155.0,2020
35-40,4,3,72.0,2020
41-49,6,4,138.0,2020
50+,5,1,27202.0,2020
50+,6,5,43214.0,2020
50+,0,15,15073.0,2020
22-25,2,1,11153.0,2020
35-40,1,2,5570.0,2020
31-34,3,5,13672.0,2020
41-49,-1,3,356.0,2020
31-34,0,3,1326.0,2020
26-30,5,4,222.0,2020
22-25,-1,1,13091.0,2020
50+,2,3,872.0,2020
26-30,3,3,116.0,2020
35-40,2,3,230.0,2020
50+,-1,3,402.0,2020
31-34,4,3,55.0,2020
22-25,5,5,5365.0,2020
35-40,2,4,1198.0,2020
35-40,4,1,5820.0,2020
41-49,4,4,400.0,2020
50+,1,3,719.0,2020
22-25,0,3,1563.0,2020
41-49,1,3,467.0,2020
31-34,0,4,959.0,2020
41-49,4,2,341.0,2020
50+,4,4,609.0,2020
35-40,3,2,374.0,2020
41-49,6,3,54.0,2020
26-30,0,1,367601.0,2020
41-49,4,1,11064.0,2020
26-30,2,5,28886.0,2020
50+,1,2,12957.0,2020
31-34,1,1,41156.0,2020
26-30,6,5,6804.0,2020
41-49,0,2,5885.0,2020
41-49,5,5,12793.0,2020
35-40,3,1,8605.0,2020
26-30,1,3,394.0,2020
31-34,-1,2,902.0,2020
35-40,0,15,2782.0,2020
41-49,3,4,528.0,2020
31-34,2,2,886.0,2020
31-34,5,2,126.0,2020
26-30,2,3,203.0,2020
41-49,5,3,169.0,2020
31-34,6,2,56.0,2020
22-25,6,3,9.0,2020
31-34,0,11,,2020
35-40,5,1,5240.0,2020
31-34,5,5,7717.0,2020
50+,0,14,37069.0,2020
26-30,1,5,18039.0,2020
50+,0,5,6002.0,2020
41-49,0,5,3605.0,2020
41-49,5,4,257.0,2020
22-25,0,4,1017.0,2020
35-40,-1,2,992.0,2020
50+,3,2,1352.0,2020
35-40,0,3,1757.0,2020
35-40,0,12,1719.0,2020
26-30,6,1,1195.0,2020
22-25,6,4,24.0,2020
26-30,4,3,69.0,2020
35-40,0,11,,2020
41-49,2,1,40692.0,2020
41-49,1,1,68242.0,2020
35-40,2,5,21408.0,2020
41-49,1,4,7191.0,2020
26-30,3,5,21146.0,2020
31-34,1,5,11301.0,2020
41-49,6,1,4547.0,2020
50+,3,1,31210.0,2020
35-40,4,5,12114.0,2020
41-49,2,4,1565.0,2020
26-30,3,4,640.0,2020
31-34,0,5,2471.0,2020
31-34,0,12,1122.0,2020
50+,3,4,938.0,2020
35-40,-1,4,672.0,2020
31-34,3,3,83.0,2020
22-25,5,3,18.0,2020
50+,0,1,1104317.0,2020
41-49,0,14,14541.0,2020
31-34,5,1,3157.0,2020
31-34,0,2,4009.0,2020
31-34,0,15,1895.0,2020
31-34,4,1,3619.0,2020
41-49,6,5,8295.0,2020
31-34,-1,3,164.0,2020
26-30,0,2,6208.0,2020
50+,0,4,1596.0,2020
22-25,0,13,700.0,2020
22-25,0,12,273.0,2020
50+,-1,2,1345.0,2020
22-25,0,5,1940.0,2020
50+,4,3,296.0,2020
35-40,2,2,1127.0,2020
26-30,3,2,409.0,2020
35-40,6,4,99.0,2020
35-40,6,2,66.0,2020
31-34,5,4,170.0,2020
50+,1,1,151047.0,2020
50+,2,1,80354.0,2020
50+,1,4,8445.0,2020
31-34,-1,1,19206.0,2020
26-30,4,1,4068.0,2020
22-25,3,1,4349.0,2020
31-34,6,5,4776.0,2020
50+,2,4,2082.0,2020
22-25,3,4,584.0,2020
26-30,0,15,1992.0,2020
50+,3,3,356.0,2020
41-49,2,3,429.0,2020
31-34,-1,4,509.0,2020
31-34,6,4,67.0,2020
35-40,3,3,122.0,2020
22-25,4,3,27.0,2020
41-49,0,1,676624.0,2020
41-49,3,5,19373.0,2020
50+,0,13,19880.0,2020
35-40,-1,1,25232.0,2020
22-25,-1,2,875.0,2020
22-25,1,1,31992.0,2020
41-49,5,2,217.0,2020
26-30,1,2,7363.0,2020
35-40,0,13,3359.0,2020
22-25,1,4,6489.0,2020
26-30,2,2,1216.0,2020
22-25,4,1,1943.0,2020
41-49,0,4,1299.0,2020
26-30,5,3,54.0,2020
22-25,6,2,17.0,2020
50+,0,2,8945.0,2021
26-30,1,1,37341.0,2021
26-30,5,1,1786.0,2021
41-49,1,2,7206.0,2021
26-30,0,3,2124.0,2021
31-34,0,14,3682.0,2021
31-34,1,3,236.0,2021
22-25,2,4,1304.0,2021
31-34,4,2,195.0,2021
35-40,-1,3,191.0,2021
31-34,4,4,248.0,2021
22-25,-1,4,382.0,2021
22-25,3,3,76.0,2021
35-40,7,2,42.0,2021
31-34,0,1,325032.0,2021
41-49,3,2,1018.0,2021
41-49,4,5,15673.0,2021
31-34,2,5,19075.0,2021
35-40,2,1,24182.0,2021
50+,4,1,22733.0,2021
26-30,3,1,11242.0,2021
22-25,4,4,280.0,2021
31-34,3,2,613.0,2021
50+,6,2,516.0,2021
35-40,4,4,286.0,2021
26-30,4,4,352.0,2021
22-25,1,3,258.0,2021
31-34,3,4,643.0,2021
22-25,7,1,20.0,2021
22-25,5,4,128.0,2021
35-40,1,3,263.0,2021
22-25,0,14,1045.0,2021
41-49,7,3,32.0,2021
26-30,6,3,37.0,2021
31-34,3,1,12048.0,2021
41-49,3,1,31632.0,2021
22-25,6,5,2082.0,2021
31-34,4,5,11022.0,2021
35-40,0,2,6576.0,2021
41-49,0,15,4370.0,2021
31-34,1,4,5180.0,2021
22-25,1,2,5558.0,2021
35-40,5,5,9747.0,2021
26-30,-1,4,542.0,2021
26-30,2,4,1810.0,2021
31-34,7,1,658.0,2021
35-40,3,4,794.0,2021
22-25,7,5,247.0,2021
50+,5,3,204.0,2021
50+,7,2,285.0,2021
26-30,4,2,246.0,2021
22-25,2,3,184.0,2021
22-25,5,1,626.0,2021
35-40,5,3,65.0,2021
22-25,-1,3,103.0,2021
26-30,6,4,126.0,2021
35-40,6,3,56.0,2021
22-25,0,1,199801.0,2021
41-49,5,1,5506.0,2021
22-25,2,5,23783.0,2021
50+,5,5,62074.0,2021
26-30,-1,1,19102.0,2021
26-30,2,1,18883.0,2021
26-30,4,5,15734.0,2021
50+,0,3,4557.0,2021
41-49,0,3,2827.0,2021
35-40,6,5,7934.0,2021
41-49,0,12,2504.0,2021
50+,0,12,4356.0,2021
26-30,1,4,7876.0,2021
35-40,0,5,4235.0,2021
41-49,2,2,1539.0,2021
50+,2,2,2975.0,2021
41-49,-1,2,971.0,2021
35-40,5,4,160.0,2021
22-25,6,1,225.0,2021
31-34,5,3,38.0,2021
41-49,6,2,168.0,2021
41-49,0,11,,2021
35-40,1,4,5551.0,2021
35-40,1,1,38327.0,2021
50+,7,5,34263.0,2021
31-34,0,13,2183.0,2021
41-49,-1,4,552.0,2021
26-30,0,14,2964.0,2021
26-30,0,12,1031.0,2021
50+,4,2,826.0,2021
41-49,4,3,189.0,2021
50+,6,3,368.0,2021
22-25,4,2,206.0,2021
35-40,4,2,259.0,2021
50+,2,5,83943.0,2021
22-25,3,5,19782.0,2021
31-34,1,2,5072.0,2021
50+,6,1,15476.0,2021
50+,1,5,20821.0,2021
26-30,0,13,1929.0,2021
41-49,7,5,6969.0,2021
35-40,1,5,8622.0,2021
35-40,0,14,7123.0,2021
31-34,2,3,143.0,2021
26-30,0,4,2195.0,2021
26-30,0,5,4470.0,2021
50+,5,2,653.0,2021
50+,5,4,408.0,2021
22-25,3,2,570.0,2021
50+,6,4,306.0,2021
26-30,-1,3,207.0,2021
31-34,6,3,38.0,2021
22-25,7,3,,2021
50+,0,11,,2021
50+,4,5,69480.0,2021
22-25,1,5,10028.0,2021
50+,-1,1,43178.0,2021
22-25,4,5,12126.0,2021
22-25,0,2,6430.0,2021
26-30,5,2,152.0,2021
35-40,6,1,2579.0,2021
50+,-1,4,617.0,2021
26-30,-1,2,1037.0,2021
41-49,3,3,335.0,2021
22-25,0,15,942.0,2021
26-30,6,2,90.0,2021
31-34,7,3,14.0,2021
50+,3,5,83415.0,2021
41-49,-1,1,30251.0,2021
35-40,0,1,449938.0,2021
41-49,0,13,6245.0,2021
26-30,5,5,11490.0,2021
41-49,2,5,25079.0,2021
35-40,3,5,18239.0,2021
31-34,2,1,17822.0,2021
22-25,2,2,1055.0,2021
41-49,1,5,9496.0,2021
35-40,7,1,1215.0,2021
50+,7,1,6930.0,2021
31-34,2,4,1256.0,2021
35-40,0,4,1738.0,2021
31-34,6,1,1566.0,2021
35-40,5,2,132.0,2021
41-49,6,4,144.0,2021
22-25,5,2,70.0,2021
50+,7,4,171.0,2021
26-30,7,2,45.0,2021
35-40,7,4,51.0,2021
35-40,4,3,95.0,2021
50+,6,5,50390.0,2021
50+,0,15,15277.0,2021
50+,5,1,15346.0,2021
22-25,-1,1,11614.0,2021
31-34,3,5,15653.0,2021
26-30,3,3,125.0,2021
22-25,2,1,11042.0,2021
41-49,7,2,83.0,2021
26-30,5,4,209.0,2021
31-34,0,3,1465.0,2021
35-40,1,2,5724.0,2021
35-40,2,3,180.0,2021
50+,2,3,571.0,2021
50+,-1,3,393.0,2021
41-49,-1,3,321.0,2021
26-30,7,1,598.0,2021
35-40,2,4,1405.0,2021
22-25,5,5,6019.0,2021
35-40,4,1,5740.0,2021
31-34,0,4,1609.0,2021
41-49,1,3,351.0,2021
22-25,0,3,1931.0,2021
35-40,3,2,772.0,2021
26-30,7,5,4761.0,2021
50+,1,3,659.0,2021
41-49,4,4,341.0,2021
31-34,4,3,61.0,2021
50+,4,4,545.0,2021
41-49,4,2,300.0,2021
41-49,6,3,113.0,2021
35-40,7,3,21.0,2021
22-25,7,4,,2021
