"term","pq_2021Q1_x_hy","pq_2021Q1_x_hf","pq_2021Q1_x_hyf","pq_2021Q2_x_hy","pq_2021Q2_x_hf","pq_2021Q2_x_hyf","pq_2021Q3_x_hy","pq_2021Q3_x_hf","pq_2021Q3_x_hyf","pq_2021Q4_x_hy","pq_2021Q4_x_hf","pq_2021Q4_x_hyf","pq_2022Q2_x_hy","pq_2022Q2_x_hf","pq_2022Q2_x_hyf","pq_2022Q3_x_hy","pq_2022Q3_x_hf","pq_2022Q3_x_hyf","pq_2022Q4_x_hy","pq_2022Q4_x_hf","pq_2022Q4_x_hyf"
"pq_2021Q4_x_hf",2.47915363572802e-06,1.26828723291657e-06,2.52424506715984e-08,-1.17350397592822e-06,2.68444563654528e-06,-4.102422635719e-07,-2.43459086569255e-06,2.79209367701438e-06,-3.6224557006016e-06,-3.05560808563436e-06,4.70929852469865e-06,-3.76597495549137e-06,-1.75456468583451e-06,1.00888616046998e-06,-6.95859208644471e-07,-3.76019471593197e-06,8.47222925869578e-07,-2.31439878712707e-06,-3.29088990145112e-06,1.78779662689358e-06,-1.12886601645362e-06
"pq_2021Q4_x_hyf",-2.38050209634622e-05,-3.25547147959867e-07,5.95509570923719e-05,8.04769037470036e-06,-2.36800719951307e-06,9.59487889310403e-05,1.88712676524992e-05,-1.13476893598745e-06,0.000140915955976008,-1.08116416153339e-05,-3.76597495549137e-06,0.00012341636914202,3.17159874236272e-05,-2.11466160747644e-06,3.87901394489787e-05,4.52378823442665e-05,-4.05975562674015e-07,8.42794273759887e-05,1.75720816810586e-05,-3.24690417951251e-06,7.3342682538624e-05
"pq_2022Q2_x_hy",1.89386108715398e-06,1.14287738696948e-06,3.44144137436813e-06,5.36648355099584e-05,-4.75129464978512e-07,2.15786975838584e-05,8.83200432959094e-05,5.20881929846787e-07,4.7277764768132e-05,3.78126367054902e-05,-1.75456468583451e-06,3.17159874236272e-05,7.78244080192391e-05,-1.12785613134857e-06,4.02293839346141e-06,0.000104021767262409,-8.02330332526222e-08,3.03185232135653e-05,5.57839972952232e-05,-1.43193949595169e-06,2.37963084275929e-05
"pq_2022Q2_x_hf",1.99068748141002e-06,-7.1818036204256e-07,-1.01625511995539e-06,2.03043290883632e-08,2.61699540295483e-07,-1.98477411594879e-06,1.34132537959634e-07,3.86107714514636e-07,-3.41454395778259e-06,2.65797584144374e-07,1.00888616046998e-06,-2.11466160747644e-06,-1.12785613134857e-06,1.79224978322627e-06,-2.27807792143742e-06,-1.02195221818134e-06,1.69278540551516e-06,-3.71568448339033e-06,-1.33958977660945e-07,2.03390605078628e-06,-2.94839220428056e-06
"pq_2022Q2_x_hyf",-8.2686496208887e-06,-1.83388199253012e-07,1.52037265959798e-05,1.26094265005795e-05,-1.54751268466246e-06,3.77328993781031e-05,2.6583565693389e-05,-2.65011825314207e-07,5.62130041429167e-05,1.15992663698295e-05,-6.95859208644471e-07,3.87901394489787e-05,4.02293839346141e-06,-2.27807792143742e-06,5.8768562782332e-05,2.29386217799636e-05,-8.9834222870241e-07,7.66730521468815e-05,8.85169722721957e-06,-1.41699097811028e-06,6.24097523775354e-05
"pq_2022Q3_x_hy",-1.41729307170007e-06,-1.68585869067034e-06,7.73866226575882e-06,8.49913472952635e-05,-3.25948828483884e-06,3.27461769220363e-05,0.000239902260546306,1.23145720973911e-06,5.99382509433492e-05,0.000118286580093215,-3.76019471593197e-06,4.52378823442665e-05,0.000104021767262409,-1.02195221818134e-06,2.29386217799636e-05,0.000274115575851205,4.33716692924044e-06,3.16965314415273e-05,0.000161089907432497,2.57122617393211e-06,2.37191013132095e-05
"pq_2022Q3_x_hf",1.01141175801115e-06,-1.02641091381387e-06,-1.94869964951005e-07,7.77206963449103e-07,-1.48819312412471e-07,-8.67167037767398e-07,4.37843503436059e-06,1.04502476771001e-06,-2.12816735532557e-06,2.42055134527548e-06,8.47222925869578e-07,-4.05975562674015e-07,-8.02330332526222e-08,1.69278540551516e-06,-8.9834222870241e-07,4.33716692924044e-06,3.65570293003247e-06,-4.03353773146265e-06,3.95586980301082e-06,3.14221085945544e-06,-2.09873915404966e-06
"pq_2022Q3_x_hyf",-1.38734433190322e-06,4.37024636445867e-08,8.74784192878291e-06,4.28351109069332e-05,-2.0152244921934e-06,5.55156560553863e-05,4.70749220526338e-05,-1.5570191759325e-06,0.000131687304639495,1.66342106175126e-05,-2.31439878712707e-06,8.42794273759887e-05,3.03185232135653e-05,-3.71568448339033e-06,7.66730521468815e-05,3.16965314415273e-05,-4.03353773146265e-06,0.000176774954590853,-1.53484272489614e-06,-3.62786731175135e-06,0.000131724574709649
"pq_2022Q4_x_hy",-8.3980824243955e-06,-1.90862659893086e-06,1.63611869674103e-06,3.46239987961873e-05,-3.13067179811447e-06,9.6703741622113e-06,0.000118408409039789,-8.20941880457159e-08,2.20118447042154e-05,0.000102383247985266,-3.29088990145112e-06,1.75720816810586e-05,5.57839972952232e-05,-1.33958977660945e-07,8.85169722721957e-06,0.000161089907432497,3.95586980301082e-06,-1.53484272489614e-06,0.000168811214123483,1.07137250725902e-06,-1.57836744639581e-05
"pq_2022Q4_x_hf",1.90380909214227e-06,-1.43702597488619e-06,-1.82072248277108e-06,3.48692946805248e-07,-1.77985595318631e-08,-2.60032790302321e-06,3.69463770597232e-06,3.18380729783707e-07,-3.35084442262867e-06,2.11474532037306e-06,1.78779662689358e-06,-3.24690417951251e-06,-1.43193949595169e-06,2.03390605078628e-06,-1.41699097811028e-06,2.57122617393211e-06,3.14221085945544e-06,-3.62786731175135e-06,1.07137250725902e-06,5.6995471560397e-06,-5.68679938138855e-06
"pq_2022Q4_x_hyf",-1.76260407643594e-06,3.64106252081683e-07,1.6960458792678e-05,3.28148509771539e-05,-6.76631736039201e-07,4.79930234998394e-05,4.2654496819406e-05,1.14549190539462e-06,9.07962928806351e-05,1.01554702074524e-05,-1.12886601645362e-06,7.3342682538624e-05,2.37963084275929e-05,-2.94839220428056e-06,6.24097523775354e-05,2.37191013132095e-05,-2.09873915404966e-06,0.000131724574709649,-1.57836744639581e-05,-5.68679938138855e-06,0.000150893093231717
