year,unit,age_band,metric,n,share,value
2019,incumbents,50+,unscored_mixed43,2319.0,0.0013371412162968626,
2019,incumbents,50+,scored_four_only,1730505.0,0.9978135232892636,
2019,incumbents,50+,unscored_four_only,3792.0,0.0021864767107363965,
2019,incumbents,50+,incumbents,1734297.0,1.0,
2019,incumbents,total,resolved,3788258.0,1.0,
2019,incumbents,total,four_digit_available,3779481.0,0.9976831039490974,
2019,incumbents,total,three_digit_available,3782374.0,0.9984467794960111,
2019,incumbents,total,scored_four_digit,3779481.0,0.9976831039490974,
2019,incumbents,total,scored_three_digit,2893.0,0.0007636755469136474,
2019,incumbents,total,unscored,5884.0,0.0015532205039889048,
2019,incumbents,total,scored_uniform3,3782374.0,0.9984467794960111,
2019,incumbents,total,unscored_uniform3,5884.0,0.0015532205039889048,
2019,incumbents,total,scored_mixed43,3782374.0,0.9984467794960111,
2019,incumbents,total,unscored_mixed43,5884.0,0.0015532205039889048,
2019,incumbents,total,scored_four_only,3779481.0,0.9976831039490974,
2019,incumbents,total,unscored_four_only,8777.0,0.002316896050902552,
2019,incumbents,total,incumbents,3788258.0,1.0,
2019,employers,total,resolved,258522.0,1.0,
2019,employers,total,four_digit_available,258234.0,0.9988859748880172,
2019,employers,total,three_digit_available,258489.0,0.999872351289252,
2019,employers,total,scored_uniform3,258489.0,0.999872351289252,
2019,employers,total,scored_mixed43,258489.0,0.999872351289252,
2019,employers,total,scored_four_only,258234.0,0.9988859748880172,
2019,employers,total,employers,258522.0,1.0,
2018,incumbents,31-34,resolved,8326.0,0.9988003838771593,
2018,incumbents,31-34,four_digit_available,8310.0,0.9968809980806143,
2018,incumbents,31-34,three_digit_available,8329.0,0.9991602687140115,
2018,incumbents,31-34,scored_four_digit,8310.0,0.9968809980806143,
2018,incumbents,31-34,scored_three_digit,19.0,0.002279270633397313,
2018,incumbents,31-34,unscored,7.0,0.0008397312859884837,
2018,incumbents,31-34,scored_uniform3,8329.0,0.9991602687140115,
2018,incumbents,31-34,unscored_uniform3,7.0,0.0008397312859884837,
2018,incumbents,31-34,scored_mixed43,8329.0,0.9991602687140115,
2018,incumbents,31-34,unscored_mixed43,7.0,0.0008397312859884837,
2018,incumbents,31-34,scored_four_only,8310.0,0.9968809980806143,
2018,incumbents,31-34,unscored_four_only,26.0,0.0031190019193857964,
2018,incumbents,31-34,incumbents,8336.0,1.0,
2018,incumbents,35-40,resolved,10014.0,0.9971124166085831,
2018,incumbents,35-40,four_digit_available,10000.0,0.9957184108334163,
2018,incumbents,35-40,three_digit_available,10042.0,0.9999004281589167,
2018,incumbents,35-40,scored_four_digit,10000.0,0.9957184108334163,
2018,incumbents,35-40,scored_three_digit,42.0,0.004182017325500349,
2018,incumbents,35-40,unscored,,,
2018,incumbents,35-40,scored_uniform3,10042.0,0.9999004281589167,
2018,incumbents,35-40,unscored_uniform3,,,
2018,incumbents,35-40,scored_mixed43,10042.0,0.9999004281589167,
2018,incumbents,35-40,unscored_mixed43,,,
2018,incumbents,35-40,scored_four_only,10000.0,0.9957184108334163,
2018,incumbents,35-40,unscored_four_only,43.0,0.00428158916658369,
2018,incumbents,35-40,incumbents,10043.0,1.0,
2018,incumbents,41-49,resolved,13078.0,0.9990069513406157,
2018,incumbents,41-49,four_digit_available,13058.0,0.9974791841723322,
2018,incumbents,41-49,three_digit_available,13091.0,1.0,
2018,incumbents,41-49,scored_four_digit,13058.0,0.9974791841723322,
2018,incumbents,41-49,scored_three_digit,33.0,0.0025208158276678635,
2018,incumbents,41-49,unscored,0.0,0.0,
2018,incumbents,41-49,scored_uniform3,13091.0,1.0,
2018,incumbents,41-49,unscored_uniform3,0.0,0.0,
2018,incumbents,41-49,scored_mixed43,13091.0,1.0,
2018,incumbents,41-49,unscored_mixed43,0.0,0.0,
2018,incumbents,41-49,scored_four_only,13058.0,0.9974791841723322,
2018,incumbents,41-49,unscored_four_only,33.0,0.0025208158276678635,
2018,incumbents,41-49,incumbents,13091.0,1.0,
2018,incumbents,50+,resolved,20534.0,0.9996592181490677,
2018,incumbents,50+,four_digit_available,20478.0,0.9969329633416094,
2018,incumbents,50+,three_digit_available,20536.0,0.9997565843921912,
2018,incumbents,50+,scored_four_digit,20478.0,0.9969329633416094,
2018,incumbents,50+,scored_three_digit,58.0,0.0028236210505817633,
2018,incumbents,50+,unscored,5.0,0.00024341560780877269,
2018,incumbents,50+,scored_uniform3,20536.0,0.9997565843921912,
2018,incumbents,50+,unscored_uniform3,5.0,0.00024341560780877269,
2018,incumbents,50+,scored_mixed43,20536.0,0.9997565843921912,
2018,incumbents,50+,unscored_mixed43,5.0,0.00024341560780877269,
2018,incumbents,50+,scored_four_only,20478.0,0.9969329633416094,
2018,incumbents,50+,unscored_four_only,63.0,0.003067036658390536,
2018,incumbents,50+,incumbents,20541.0,1.0,
2018,incumbents,total,resolved,51952.0,0.9988656245794159,
2018,incumbents,total,four_digit_available,51846.0,0.9968275941627732,
2018,incumbents,total,three_digit_available,51998.0,0.9997500528734307,
2018,incumbents,total,scored_four_digit,51846.0,0.9968275941627732,
2018,incumbents,total,scored_three_digit,152.0,0.002922458710657361,
2018,incumbents,total,unscored,13.0,0.0002499471265693796,
2018,incumbents,total,scored_uniform3,51998.0,0.9997500528734307,
2018,incumbents,total,unscored_uniform3,13.0,0.0002499471265693796,
2018,incumbents,total,scored_mixed43,51998.0,0.9997500528734307,
2018,incumbents,total,unscored_mixed43,13.0,0.0002499471265693796,
2018,incumbents,total,scored_four_only,51846.0,0.9968275941627732,
2018,incumbents,total,unscored_four_only,165.0,0.0031724058372267403,
2018,incumbents,total,incumbents,52011.0,1.0,
2018,employers,total,resolved,29519.0,0.9988495245829526,
2018,employers,total,four_digit_available,29457.0,0.9967515988224546,
2018,employers,total,three_digit_available,29547.0,0.9997969749264034,
2018,employers,total,scored_uniform3,29547.0,0.9997969749264034,
2018,employers,total,scored_mixed43,29547.0,0.9997969749264034,
2018,employers,total,scored_four_only,29457.0,0.9967515988224546,
