year_month,age_group,exposure_quartile,n_emp,share_of_coded
2019-03,50+,3,372770,0.21328455467830518
2019-03,50+,4,476250,0.2724918023594786
2019-04,22-25,1,93597,0.28596525532993994
2019-04,22-25,2,152601,0.4662391308332977
2019-04,22-25,3,36277,0.11083647518194206
2019-04,22-25,4,44827,0.13695913865482032
2019-04,26-30,1,128272,0.23332745188276147
2019-04,26-30,2,200618,0.36492521159579516
2019-04,26-30,3,85367,0.15528302813455547
2019-04,26-30,4,135494,0.24646430838688788
2019-04,31-34,1,89537,0.20806880397096142
2019-04,31-34,2,139986,0.32530372463539103
2019-04,31-34,3,77605,0.18034085944544112
2019-04,31-34,4,123196,0.2862866119482065
2019-04,35-40,1,119450,0.19256873309280378
2019-04,35-40,2,185471,0.2990030598196351
2019-04,35-40,3,123862,0.1996814434352521
2019-04,35-40,4,191515,0.3087467636523091
2019-04,41-49,1,186397,0.1872408947124691
2019-04,41-49,2,278956,0.2802189467931969
2019-04,41-49,3,215291,0.21626570955295518
2019-04,41-49,4,314849,0.3162744489413788
2019-04,50+,1,383436,0.21838412062511
2019-04,50+,2,521027,0.29674840968750765
2019-04,50+,3,373815,0.21290452657412318
2019-04,50+,4,477509,0.2719629431132592
2019-05,22-25,1,95876,0.2870066306446543
2019-05,22-25,2,155763,0.46627950487195224
2019-05,22-25,3,36951,0.11061352172546438
2019-05,22-25,4,45465,0.1361003427579291
2019-05,26-30,1,129873,0.23350641691808136
2019-05,26-30,2,203225,0.3653903550251175
2019-05,26-30,3,86071,0.15475218721794506
2019-05,26-30,4,137017,0.24635104083885606
2019-05,31-34,1,90488,0.20842085866961488
2019-05,31-34,2,141241,0.32532015846692464
2019-05,31-34,3,78215,0.18015247834899575
2019-05,31-34,4,124216,0.28610650451446473
2019-05,35-40,1,120664,0.1931922251753178
2019-05,35-40,2,186485,0.29857664350443497
2019-05,35-40,3,124464,0.19927631368279483
2019-05,35-40,4,192967,0.30895481763745236
2019-05,41-49,1,187651,0.18742047281843333
2019-05,41-49,2,280643,0.28029823317319696
2019-05,41-49,3,216247,0.21598134294817375
2019-05,41-49,4,316689,0.316299951060196
2019-05,50+,1,385487,0.21879647098621224
2019-05,50+,2,521778,0.2961531388561582
2019-05,50+,3,374926,0.21280221040132768
2019-05,50+,4,479661,0.2722481797563019
2019-06,22-25,1,101274,0.2860912111008158
2019-06,22-25,2,164558,0.464863612737011
2019-06,22-25,3,39522,0.1116465908834098
2019-06,22-25,4,48638,0.13739858527876336
2019-06,26-30,1,133522,0.2337087226378304
2019-06,26-30,2,208897,0.3656405014370281
2019-06,26-30,3,88494,0.15489447208034754
2019-06,26-30,4,140405,0.24575630384479397
2019-06,31-34,1,92376,0.2090333091962346
2019-06,31-34,2,143782,0.3253575307748009
2019-06,31-34,3,79438,0.1797565170166546
2019-06,31-34,4,126324,0.2858526430123099
2019-06,35-40,1,122066,0.19319039698152865
2019-06,35-40,2,188981,0.29909487008639807
2019-06,35-40,3,125798,0.19909692755953615
2019-06,35-40,4,194998,0.3086178053725372
2019-06,41-49,1,189709,0.18765288731370375
2019-06,41-49,2,283463,0.28039075845955863
2019-06,41-49,3,218410,0.21604281883403548
2019-06,41-49,4,319375,0.31591353539270217
2019-06,50+,1,389498,0.21861522400458
2019-06,50+,2,526608,0.2955715456372147
2019-06,50+,3,380061,0.21331847827307118
2019-06,50+,4,485493,0.2724947520851341
2019-07,22-25,1,103827,0.2842488255198922
2019-07,22-25,2,170831,0.4676867395994174
2019-07,22-25,3,40700,0.11142503586407788
2019-07,22-25,4,49910,0.13663939901661246
2019-07,26-30,1,132775,0.23478889776979284
2019-07,26-30,2,208525,0.3687392574464022
2019-07,26-30,3,86594,0.15312603888892817
2019-07,26-30,4,137614,0.2433458058948768
2019-07,31-34,1,90879,0.21005540364688668
2019-07,31-34,2,142011,0.3282406048404805
2019-07,31-34,3,76983,0.17793654352433763
2019-07,31-34,4,122770,0.2837674479882952
2019-07,35-40,1,120340,0.19457033327889978
2019-07,35-40,2,186074,0.30085158878625556
2019-07,35-40,3,122247,0.197653644111232
2019-07,35-40,4,189830,0.3069244338236126
2019-07,41-49,1,186560,0.1884617676978389
2019-07,41-49,2,278821,0.28166326399699365
2019-07,41-49,3,212748,0.21491672466863115
2019-07,41-49,4,311780,0.3149582436365363
2019-07,50+,1,379638,0.2193033483160217
2019-07,50+,2,514606,0.29726955379470615
2019-07,50+,3,367070,0.2120432624404356
2019-07,50+,4,469795,0.27138383544883654
2019-08,22-25,1,101897,0.28535383236719036
2019-08,22-25,2,165708,0.46405107955977487
2019-08,22-25,3,39753,0.11132487608166008
2019-08,22-25,4,49732,0.13927021199137474
2019-08,26-30,1,130988,0.23387498504669893
2019-08,26-30,2,204813,0.36568721800752396
2019-08,26-30,3,86316,0.1541145235387277
2019-08,26-30,4,137960,0.24632327340704938
2019-08,31-34,1,89611,0.20882649720239468
2019-08,31-34,2,139768,0.3257107036076408
2019-08,31-34,3,77056,0.17956874232435444
2019-08,31-34,4,122682,0.2858940568656101
2019-08,35-40,1,118430,0.19311611100059028
2019-08,35-40,2,183044,0.2984779652283378
2019-08,35-40,3,122164,0.19920490234126584
2019-08,35-40,4,189620,0.30920102142980604
2019-08,41-49,1,183945,0.1876273748589824
2019-08,41-49,2,274637,0.2801349280988684
2019-08,41-49,3,211869,0.2161103823642814
2019-08,41-49,4,309923,0.3161273146778678
2019-08,50+,1,371978,0.21910960840676688
2019-08,50+,2,504310,0.2970583384383394
2019-08,50+,3,360544,0.21237453465906414
2019-08,50+,4,460848,0.2714575184958296
2019-09,22-25,1,102126,0.2826946871911842
2019-09,22-25,2,167003,0.4622805244990436
2019-09,22-25,3,40694,0.11264494448581212
2019-09,22-25,4,51436,0.1423798438239601
2019-09,26-30,1,132469,0.23296577679293728
2019-09,26-30,2,207517,0.3649484717385952
2019-09,26-30,3,87836,0.1544722310154409
2019-09,26-30,4,140798,0.24761352045302662
2019-09,31-34,1,90958,0.20838889117993412
2019-09,31-34,2,142269,0.32594471249673523
2019-09,31-34,3,78397,0.17961107216334235
2019-09,31-34,4,124858,0.28605532415998824
2019-09,35-40,1,120371,0.19290317100883497
2019-09,35-40,2,186891,0.2995062476261905
2019-09,35-40,3,124297,0.1991948679240445
