year_month,age_group,n_emp,source
2021-10,31-34,510361,rebuilt
2021-10,35-40,696567,rebuilt
2021-10,41-49,1063944,rebuilt
2021-10,50+,1927072,rebuilt
2021-11,22-25,357660,rebuilt
2021-11,26-30,603070,rebuilt
2021-11,31-34,512315,rebuilt
2021-11,35-40,699934,rebuilt
2021-11,41-49,1066968,rebuilt
2021-11,50+,1930192,rebuilt
2021-12,22-25,365072,rebuilt
2021-12,26-30,611485,rebuilt
2021-12,31-34,519459,rebuilt
2021-12,35-40,710725,rebuilt
2021-12,41-49,1086022,rebuilt
2021-12,50+,1978413,rebuilt
2021-01,22-25,318583,headline
2021-01,26-30,565526,headline
2021-01,31-34,489320,headline
2021-01,35-40,670476,headline
2021-01,41-49,1031412,headline
2021-01,50+,1911969,headline
2021-02,22-25,311168,headline
2021-02,26-30,562176,headline
2021-02,31-34,487685,headline
2021-02,35-40,669730,headline
2021-02,41-49,1029245,headline
2021-02,50+,1904367,headline
2021-03,22-25,314352,headline
2021-03,26-30,565051,headline
2021-03,31-34,489282,headline
2021-03,35-40,672957,headline
2021-03,41-49,1035651,headline
2021-03,50+,1915455,headline
2021-04,22-25,322415,headline
2021-04,26-30,571955,headline
2021-04,31-34,494047,headline
2021-04,35-40,678470,headline
2021-04,41-49,1042451,headline
2021-04,50+,1923939,headline
2021-05,22-25,332534,headline
2021-05,26-30,580443,headline
2021-05,31-34,499650,headline
2021-05,35-40,685451,headline
2021-05,41-49,1052929,headline
2021-05,50+,1938449,headline
2021-06,22-25,362901,headline
2021-06,26-30,604399,headline
2021-06,31-34,512079,headline
2021-06,35-40,696635,headline
2021-06,41-49,1063223,headline
2021-06,50+,1955406,headline
2021-07,22-25,386795,headline
2021-07,26-30,604025,headline
2021-07,31-34,504471,headline
2021-07,35-40,686322,headline
2021-07,41-49,1048104,headline
2021-07,50+,1913570,headline
2021-08,22-25,386034,headline
2021-08,26-30,605649,headline
2021-08,31-34,505171,headline
2021-08,35-40,685545,headline
