age_group,year_month,halfyear,share_q1,share_q2,share_q3,share_q4,n_emp_total_age
22-25,2025-05,2025H1,0.3737262345957998,0.5068697460001808,0.03640362770797553,0.08300039169604387,331890
22-25,2025-06,2025H1,0.37527247653365364,0.502049134747987,0.03759898127140887,0.08507940744695049,359664
26-30,2019-01,2019H1,0.24844797105620195,0.35903602899861586,0.1509510888185394,0.24156491112664283,583752
26-30,2019-02,2019H1,0.2465998299488139,0.3587499530481163,0.15171946334850592,0.2429307536545639,585706
26-30,2019-03,2019H1,0.2477066569254352,0.35732623680068826,0.152104891213432,0.24286221506044456,585826
26-30,2019-04,2019H1,0.24923652990690862,0.35813703240599515,0.1511721067751895,0.2414543309119068,596618
26-30,2019-05,2019H1,0.25014524520030634,0.358503116169752,0.15062092323130957,0.24073071539863206,605872
26-30,2019-06,2019H1,0.25053585939049594,0.3587410663441913,0.15089320562284456,0.23982986864246822,625164
26-30,2019-07,2019H2,0.25301200948937586,0.3616531559241942,0.14840079602821113,0.2369340385582188,622591
26-30,2019-08,2019H2,0.2524152981330354,0.3584058869948982,0.1494091247121939,0.23976969015987243,615866
26-30,2019-09,2019H2,0.25100009153788466,0.35769793461625554,0.14977846225989372,0.2415235115859661,622693
26-30,2019-10,2019H2,0.2504722539445393,0.35417641060559235,0.15122207586803002,0.24412925958183834,605077
26-30,2019-11,2019H2,0.24967698443907646,0.3544083775861898,0.1514505133551651,0.24446412461956862,605234
26-30,2019-12,2019H2,0.2478935407385529,0.354011502457194,0.15186689310590956,0.24622806369834355,609435
26-30,2020-01,2020H1,0.24040316090359104,0.3583768107898096,0.15573312704667813,0.24548690125992118,576544
26-30,2020-02,2020H1,0.23833149799726513,0.3579631399978218,0.15692382692636817,0.2467815350785449,578459
26-30,2020-03,2020H1,0.2395786263965589,0.35696718625499724,0.15696304702510097,0.24649114032334285,579818
26-30,2020-04,2020H1,0.24046413937954067,0.35722205006369867,0.15598423027924113,0.24632958027751953,580860
26-30,2020-05,2020H1,0.2383069442451017,0.35716811185286057,0.15579830638414063,0.2487266375178971,571322
26-30,2020-06,2020H1,0.23840070208748093,0.357149442871729,0.15691450309212165,0.24753535194866838,585682
26-30,2020-07,2020H2,0.24061848890675816,0.3615291177367504,0.15450637927421595,0.24334601408227552,586979
26-30,2020-08,2020H2,0.2404495147284182,0.3593989443214711,0.15524604120551677,0.2449054997445939,587300
26-30,2020-09,2020H2,0.23925888850071214,0.3599271720727742,0.155792306038537,0.24502163338797667,595376
26-30,2020-10,2020H2,0.23899052540913007,0.355968992248062,0.15705598621877692,0.247984496124031,580500
26-30,2020-11,2020H2,0.2389299225674165,0.35575197531224617,0.1574084727629299,0.24790962935740743,582313
26-30,2020-12,2020H2,0.23593899993107148,0.36081900544535395,0.15591297520758415,0.24732901941599042,594819
26-30,2021-01,2021H1,0.23280540521575993,0.35902989746118097,0.1560813293669479,0.25208336795611125,541551
26-30,2021-02,2021H1,0.23102382851537073,0.3594099256447635,0.156501728232069,0.25306451760779675,545355
26-30,2021-03,2021H1,0.2325566512281061,0.35705861594188326,0.15684248828394273,0.25354224454606794,546899
26-30,2021-04,2021H1,0.2345135685417569,0.3574094606906739,0.15562536053091716,0.252451610236652,556471
26-30,2021-05,2021H1,0.2354250229162141,0.35862329629649253,0.15467870496456154,0.25127297582273184,566193
26-30,2021-06,2021H1,0.23649220099286283,0.3581424753097824,0.1548174525559693,0.2505478711413855,590011
26-30,2021-07,2021H2,0.2392975884817763,0.3617852029769159,0.1529244327852892,0.24599277575601866,591619
26-30,2021-08,2021H2,0.23885554356622607,0.3593623550040464,0.15339054491502563,0.2483915565147019,593120
26-30,2021-09,2021H2,0.23769685121044098,0.35911602209944754,0.1537003629580333,0.24948676373207823,602549
26-30,2021-10,2021H2,0.2376176555513601,0.3557097433917261,0.1544826572855461,0.25218994377136766,585289
26-30,2021-11,2021H2,0.23894577939041595,0.3552157064302624,0.15394983840525817,0.2518886757740635,587581
26-30,2021-12,2021H2,0.23841686188966904,0.3557153564598367,0.15395280364879355,0.2519149780017007,595046
26-30,2022-01,2022H1,0.23422289480959796,0.3515999010520495,0.1543133303260917,0.25986387381226084,549784
26-30,2022-02,2022H1,0.23173519505397236,0.35174899454375436,0.1548520640223697,0.2616637463799036,550745
26-30,2022-03,2022H1,0.23352644649475193,0.3499351566640319,0.155068723083685,0.26146967375753116,552871
26-30,2022-04,2022H1,0.23573301283244433,0.3504273049739682,0.15430841474374996,0.2595312674498375,564117
26-30,2022-05,2022H1,0.23667367778032306,0.3520932686367202,0.15370998979570585,0.25752306378725087,576228
26-30,2022-06,2022H1,0.23733011781847413,0.353413553730081,0.15296807094229659,0.2562882575091483,597105
26-30,2022-07,2022H2,0.23871791077901902,0.35685365902869787,0.15155326289453686,0.2528751672977463,594748
26-30,2022-08,2022H2,0.23689329576931592,0.35287924137359916,0.15283225818445464,0.2573952046726303,591701
26-30,2022-09,2022H2,0.2349006023945976,0.35282113424627437,0.15326023812813244,0.2590180252309956,600769
26-30,2022-10,2022H2,0.23438505455989267,0.3496043209792029,0.15459035583729241,0.26142026862361206,584312
26-30,2022-11,2022H2,0.2354442692900729,0.3490391613746667,0.15438094811022998,0.2611356212250304,579806
26-30,2022-12,2022H2,0.23427637955184472,0.3482227557132436,0.15520707404528128,0.2622937906896304,583994
26-30,2023-01,2023H1,0.22565614851871127,0.34630428578623107,0.15726300592590106,0.2707765597691566,536121
26-30,2023-02,2023H1,0.22391890301648054,0.3459846570245387,0.1579052560991783,0.2721911838598025,535359
26-30,2023-03,2023H1,0.2248573839284381,0.34603437719337543,0.1578091632692681,0.27129907560891836,535704
26-30,2023-04,2023H1,0.22616186488160184,0.34743704107811624,0.15654581109374538,0.26985528294653655,542576
26-30,2023-05,2023H1,0.22694295242216736,0.34815678174128395,0.15672173713820228,0.2681785286983464,549962
26-30,2023-06,2023H1,0.2271879083559184,0.35089370039272516,0.15629160503771602,0.2656267862136404,568591
26-30,2023-07,2023H2,0.22857238746782965,0.35340126861993865,0.15507651110086607,0.26294983281136564,566127
26-30,2023-08,2023H2,0.22705076641872782,0.34999222771543076,0.15617110461137684,0.2667859012544646,559681
26-30,2023-09,2023H2,0.2251120854515821,0.34985670367237676,0.15718097363806685,0.2678502372379743,566309
26-30,2023-10,2023H2,0.2243532973877306,0.346787172329766,0.15841281675925842,0.2704467135232449,549905
26-30,2023-11,2023H2,0.2237255939389931,0.34632907857704487,0.15857785322193074,0.2713674742620313,544332
26-30,2023-12,2023H2,0.22234584121709405,0.3456929962926501,0.15948192255188642,0.2724792399383694,546482
26-30,2024-01,2024H1,0.2849493971801769,0.33813728575698376,0.14108220558224419,0.23583111148059516,505209
26-30,2024-02,2024H1,0.27963509503728456,0.33875105226602875,0.14152007912642517,0.24009377357026152,502487
26-30,2024-03,2024H1,0.2803809516232016,0.3402726254671889,0.14044806371471594,0.2388983591948936,502741
26-30,2024-04,2024H1,0.2787118943596289,0.33426145010063324,0.1465593245299691,0.24046733100976878,509275
26-30,2024-05,2024H1,0.27913273351086215,0.3349301877241334,0.14688021846519667,0.2390568602998078,515597
26-30,2024-06,2024H1,0.274222115934339,0.32704947742482726,0.15827469854306714,0.2404537080977666,535234
26-30,2024-07,2024H2,0.281373553548096,0.3259773831793271,0.15616886474088418,0.2364801985316927,531905
26-30,2024-08,2024H2,0.2832773809319554,0.3303631854169169,0.1473197179312672,0.23903971571986052,524553
26-30,2024-09,2024H2,0.27814221299083725,0.33469988713254695,0.1482657662310346,0.23889213364558118,532483
26-30,2024-10,2024H2,0.27466064842419285,0.3272341656971832,0.15412553240664312,0.2439796534719808,514879
26-30,2024-11,2024H2,0.2741973705599066,0.32527227611275294,0.1542685804822925,0.2462617728450479,510603
26-30,2024-12,2024H2,0.2733182671702587,0.3214201451109391,0.1594289937193989,0.24583259399940333,512849
26-30,2025-01,2025H1,0.28076525336091,0.33009890916369217,0.15420989425226006,0.23492594322313773,479632
26-30,2025-02,2025H1,0.27645645908850924,0.33615056981216335,0.15042790691850674,0.23696506418082067,479193
26-30,2025-03,2025H1,0.27839771880312536,0.33925057155538435,0.14799725318438,0.2343544564571103,477644
26-30,2025-04,2025H1,0.2766686553114362,0.3345671188253096,0.1539066548036093,0.2348575710596449,484417
26-30,2025-05,2025H1,0.2763078614175793,0.33070268289704025,0.15900948581199364,0.2339799698733868,491260
26-30,2025-06,2025H1,0.2702966493673466,0.3241799808714467,0.17073213753743396,0.2347912322237727,510232
31-34,2019-01,2019H1,0.2246470004198013,0.3186691632627223,0.17653421824780716,0.28014961806966926,450213
31-34,2019-02,2019H1,0.22305763303542825,0.31944189746025786,0.17680317274444604,0.2806972967598679,452605
31-34,2019-03,2019H1,0.2243576025398058,0.3190620015311199,0.17668550047102896,0.27989489545804536,453263
31-34,2019-04,2019H1,0.22595631804225447,0.31982008447412574,0.1761248528448544,0.2780987446387654,459549
31-34,2019-05,2019H1,0.22694734940225503,0.3197494590397364,0.17574433120964308,0.2775588603483655,464914
31-34,2019-06,2019H1,0.22702756249881442,0.31992690468311663,0.17535288302852362,0.27769264978954533,474449
31-34,2019-07,2019H2,0.22957364740649108,0.32289357936876106,0.17295714997508718,0.27457562324966067,465624
31-34,2019-08,2019H2,0.22827481552399,0.32076790649307796,0.17424869037772264,0.2767085876052094,460629
31-34,2019-09,2019H2,0.2279593641462925,0.32051999538617304,0.174547909039256,0.2769727314282785,468158
31-34,2019-10,2019H2,0.22826843999387617,0.3187417656939674,0.17529503343316924,0.27769476087898726,463761
31-34,2019-11,2019H2,0.22775498412109793,0.31936967334522004,0.17546348499319783,0.2774118575404842,463823
31-34,2019-12,2019H2,0.22615077574017783,0.31808662877629207,0.17609398296002687,0.2796686125235032,467489
31-34,2020-01,2020H1,0.2178937710793034,0.3177886706955147,0.18073820097433224,0.28357935725084965,464318
31-34,2020-02,2020H1,0.21672920689278297,0.31788150430852513,0.18123450334631283,0.28415478545237904,466633
31-34,2020-03,2020H1,0.21765812559193976,0.3173739945059419,0.18157604899225605,0.2833918309098623,466686
31-34,2020-04,2020H1,0.21846209120693932,0.3174856072335948,0.1803736558909828,0.28367864566848305,467596
31-34,2020-05,2020H1,0.2160872794679729,0.31700741260467624,0.1795613071997332,0.2873440007276176,461781
31-34,2020-06,2020H1,0.2161762260305223,0.3168448342764064,0.1803174183534669,0.2866615213396044,469034
31-34,2020-07,2020H2,0.21856786281565044,0.3206262763784888,0.17844122445892358,0.28236463634693726,462735
31-34,2020-08,2020H2,0.2181811103493173,0.3188474756628507,0.1795942114244559,0.28337720256337606,462359
31-34,2020-09,2020H2,0.218272480399084,0.3196396496096843,0.17945798465978258,0.28262988533144917,469876
31-34,2020-10,2020H2,0.21826463014629072,0.3173988367244292,0.18022173597169622,0.28411479715758386,465238
31-34,2020-11,2020H2,0.2181478553878253,0.31732291392203865,0.180685958857892,0.28384327183224406,466821
31-34,2020-12,2020H2,0.2154417182937147,0.3206118408760258,0.17903651437124868,0.2849099264590108,476333
31-34,2021-01,2021H1,0.21241945927585,0.3161357436283928,0.1814896982177545,0.2899550988780027,471035
31-34,2021-02,2021H1,0.2113673506446341,0.316772310927741,0.18108031638379907,0.2907800220438258,473602
31-34,2021-03,2021H1,0.21258533501896335,0.31526548672566373,0.18173198482932995,0.290417193426043,474600
31-34,2021-04,2021H1,0.21419038914370064,0.3156121762774536,0.18038937271892586,0.2898080618599199,480311
31-34,2021-05,2021H1,0.21549036732596968,0.31627022861546367,0.1799249935782173,0.28831441048034934,486625
31-34,2021-06,2021H1,0.21584311779173762,0.31609387476560324,0.17862181725760326,0.2894411901850558,499687
31-34,2021-07,2021H2,0.21887473999289736,0.3194642585358429,0.1772715742478819,0.2843894272233778,492775
31-34,2021-08,2021H2,0.21830905965162672,0.3174608323331928,0.17883324142852508,0.2853968665866554,493264
