ssyk4,teleworkable
7223,0.0
7224,0.0
7231,0.0
7232,0.0
7233,0.0
7311,0.0
7312,0.3333333333333333
7319,0.07142857142857142
7321,1.0
7322,0.0
7323,0.0
7411,0.0
7412,0.0
7413,0.0
7420,0.0
7521,0.0
7522,0.0
7523,0.0
7531,0.16666666666666666
7532,0.0
7533,0.0
7534,0.0
7611,0.0
7612,0.0
7613,0.0
7619,0.0
8111,0.0
8112,0.0
8113,0.0
8114,0.0
8115,0.0
8116,0.0
8121,0.0
8122,0.0
8129,0.0
8131,0.0
8132,0.0
8141,0.0
8142,0.0
8143,0.0
8151,0.0
8159,0.0
8161,0.0
8162,0.0
8163,0.0
8169,0.0
8171,0.0
8172,0.0
8173,0.0
8174,0.0
8181,0.0
8189,0.3333333333333333
8191,0.0
8192,0.0
8193,0.0
8199,0.0
8211,0.0
8212,0.0
8213,0.0
8214,0.0
8219,0.0
8311,0.16666666666666666
8312,0.3333333333333333
8321,0.2
8329,0.7333333333333334
8331,0.25
8332,0.5
8341,0.0
8342,0.0
8343,0.2
8344,0.5
8350,0.0
9111,0.0
9119,0.375
9120,0.0
9210,0.0
9310,0.0
9320,0.0
9331,0.125
9332,0.1875
9411,0.0
9412,0.0
9413,0.0
9520,0.0
9610,0.25
9621,0.5
9622,0.2333333333333333
9629,0.24
