year_month,coef,se,date,ci_lo,ci_hi
2023-07,-0.24586155943901586,0.09289746746829956,2023-07-01,-0.42794059567688303,-0.06378252320114872
2023-08,-0.29650632212065386,0.09495692105234395,2023-08-01,-0.48262188738324796,-0.11039075685805974
2023-09,-0.10968680166214415,0.07623716246681952,2023-09-01,-0.2591116400971104,0.039738036772822116
2023-10,-0.0017645147000180362,0.07880084715275987,2023-10-01,-0.15621417511942737,0.1526851457193913
2023-11,-0.02100569578786031,0.07553383192421743,2023-11-01,-0.1690520063593265,0.12704061478360584
2023-12,0.032552271182134836,0.08508474832117763,2023-12-01,-0.13421383552737332,0.19931837789164297
2024-01,-0.20447233276779372,0.08082316011584952,2024-01-01,-0.36288572659485874,-0.04605893894072868
2024-02,-0.23579973953099137,0.07298962896867903,2024-02-01,-0.3788594123096023,-0.09274006675238047
2024-03,-0.23258232693659114,0.07629060092466411,2024-03-01,-0.3821119047489328,-0.08305274912424948
2024-04,-0.1754438615058021,0.07068556510450472,2024-04-01,-0.3139875691106313,-0.03690015390097287
2024-05,-0.1445757566246133,0.08028436170654915,2024-05-01,-0.30193310556944963,0.012781592320223023
2024-06,-0.1591483126310094,0.08283223774536745,2024-06-01,-0.3214994986119296,0.0032028733499108175
2024-07,-0.27772730702883713,0.08413454596343682,2024-07-01,-0.44263101711717334,-0.11282359694050095
2024-08,-0.36507860845786627,0.08551838952836945,2024-08-01,-0.5326946519334703,-0.19746256498226217
