"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female","rb_x_highwfh_x_young","rb_x_highwfh_x_female","rb_x_highwfh_x_young_x_female","interim_x_highwfh_x_young","interim_x_highwfh_x_female","interim_x_highwfh_x_young_x_female","post_x_highwfh_x_young","post_x_highwfh_x_female","post_x_highwfh_x_young_x_female","q1_x_highwfh_x_young","q1_x_highwfh_x_female","q1_x_highwfh_x_young_x_female","q2_x_highwfh_x_young","q2_x_highwfh_x_female","q2_x_highwfh_x_young_x_female","q3_x_highwfh_x_young","q3_x_highwfh_x_female","q3_x_highwfh_x_young_x_female"
"q1_x_high_x_female",4.42946088155017e-06,-6.69993891236125e-07,-5.06514267418691e-06,-1.28997891310878e-06,7.36730343823521e-07,-2.53900963626791e-06,6.9688363247126e-06,1.26111546496261e-07,5.89500180979968e-06,9.30622814797087e-07,5.83906663721361e-06,-9.48137611985124e-06,2.06710062037208e-06,3.29970998909737e-06,-6.46500476168855e-06,-4.80222947747137e-06,2.58751381093654e-06,9.85243480378152e-07,-1.26962508185895e-06,2.94048223085715e-07,1.90230117588311e-06,3.04647893248201e-07,-4.89100970526754e-07,1.21096487518887e-06,-2.98417100397495e-06,-4.9884199843749e-07,-6.21736018620853e-07,-7.1177084606049e-07,-2.04724988874055e-06,3.39666062055507e-06,-7.936868582832e-07,-1.17581948071611e-06,2.30358513030156e-06,1.88861089839788e-06,-8.94335450709789e-07,3.5367564915206e-07
"q1_x_high_x_young_x_female",-2.40459481303142e-05,3.6739337551685e-06,3.73697595838307e-05,-2.2472231067617e-06,-1.8005469430351e-06,4.17085878464878e-06,-5.970264470563e-05,-1.01978787116943e-05,4.16076222131872e-05,-2.97482541099719e-05,-9.48137611985124e-06,0.000115891357596391,-5.39266965349254e-05,-3.92705855107886e-06,6.17224529263075e-05,9.99854281506104e-06,-3.84578299519374e-06,-1.43661184017166e-05,9.15130452056116e-06,-1.41882792581804e-06,-1.48686524261809e-05,4.86676494679788e-06,1.85831259136206e-06,-5.15003106222483e-06,3.04547036638452e-05,6.02031431464084e-06,-2.15902949736897e-05,1.40721596359749e-05,3.04786587933599e-06,-3.34320743049067e-05,1.47878373042432e-05,1.43257152219705e-06,-1.87284144081527e-05,-1.17358870830736e-05,1.20210591915464e-06,-7.1148909260987e-07
"q2_x_high_x_young",-7.63331324849607e-06,-3.2819399606601e-06,-9.17553377826692e-06,1.00141425505156e-05,-3.01026355366004e-06,8.75664245689587e-06,8.57322484707785e-05,-5.38774348916618e-07,-6.63174390137343e-05,0.000126025727145406,2.06710062037208e-06,-5.39266965349254e-05,0.000159078835921629,6.3894008278836e-08,-4.20240024781371e-05,4.84046825096556e-05,-2.27854412090657e-06,1.2920735452629e-05,-4.57633454844251e-06,4.03086396760278e-07,5.40848037871501e-06,-9.07466904924024e-06,2.3825787281588e-07,-1.29115568534043e-06,-3.85801047360696e-05,-2.25844307828545e-06,2.5928999913921e-05,-2.91643566682854e-05,-4.9696258910684e-07,1.49743613079972e-05,-3.18237203553908e-05,-9.08395598601303e-08,1.25039160558147e-05,-6.84268676451339e-06,5.0106939313353e-07,-1.26784061202188e-07
"q2_x_high_x_female",2.27777224831133e-06,-1.31728690847369e-06,-2.5134162637629e-06,-2.73819723349907e-06,5.5526640081682e-07,-2.60561620358855e-06,2.31952490877422e-06,3.77382163104844e-07,4.00135101451398e-06,7.19877544603352e-07,3.29970998909737e-06,-3.92705855107886e-06,6.3894008278836e-08,3.04767301428911e-06,-5.15412060526645e-06,-3.86988231875969e-06,2.05342668481481e-06,-7.38992131397887e-07,-6.13818081745141e-07,4.47090029227405e-07,8.86638305815051e-07,9.1148223931783e-07,-3.456803337137e-07,1.01321337886108e-06,-7.39286491776225e-07,-4.12396636916273e-07,-9.24969485150349e-07,-4.65710382180715e-08,-1.15521998104707e-06,1.44342989415097e-06,-1.65843630537929e-07,-1.01270257879978e-06,1.63235905335712e-06,1.059232573585e-06,-7.05889081144679e-07,4.97504411401441e-07
"q2_x_high_x_young_x_female",-3.48034571189377e-06,1.67534066250569e-06,-2.49698478906219e-06,2.19108208526834e-06,-3.85965236247597e-06,1.31401483409727e-05,-6.41280656410043e-05,-1.44407147092277e-05,3.97747886329447e-05,-3.59371373865553e-05,-6.46500476168855e-06,6.17224529263075e-05,-4.20240024781371e-05,-5.15412060526645e-06,7.06322147411763e-05,9.58232508793797e-06,-3.30354004996852e-06,1.59398630373282e-05,2.71050202852533e-06,-4.44805733933293e-07,-1.83818670190319e-06,2.08766838270373e-06,2.0397151649218e-06,-5.13978860718541e-06,2.90121606524974e-05,6.40896071716242e-06,-1.73068197313167e-05,1.37342468580155e-05,2.12504603719136e-06,-1.84966330553845e-05,1.28769231581861e-05,1.66893586708998e-06,-1.88676009780139e-05,-5.50919369951003e-06,1.06295278604227e-06,-4.03486664326339e-06
"q3_x_high_x_young",-1.58545735521263e-05,7.76885866900204e-07,6.45922249422487e-06,-1.12234927640393e-05,4.7520784176536e-06,1.43255530203785e-05,-1.90805652650654e-05,1.7267013174856e-06,-1.3153704667364e-06,-1.70380182340401e-05,-4.80222947747137e-06,9.99854281506104e-06,4.84046825096556e-05,-3.86988231875969e-06,9.58232508793797e-06,0.000212254635575741,2.33102247412991e-06,-2.47087660994917e-05,5.80241531592594e-07,-5.89493123882102e-07,-4.47177349168297e-06,-5.19378728680073e-06,-2.2656959559825e-06,-3.18038096535003e-06,-6.91911261629444e-06,-2.15843712453078e-06,1.21459649531894e-07,-5.00428573593656e-06,2.785309914046e-06,-1.42816928468755e-05,-6.73658899458042e-06,1.50680299405594e-06,-6.5992230259369e-06,-3.96323010228955e-05,1.89348049855564e-07,8.88748101129331e-06
"q3_x_high_x_female",3.7285068067984e-06,-8.45507424470537e-07,-4.39182113700863e-06,-2.66989743699071e-06,1.46156316333008e-06,-2.21780969815157e-06,6.96916291332158e-06,1.86585726523618e-06,2.44830435136619e-06,-3.21024542073599e-06,2.58751381093654e-06,-3.84578299519374e-06,-2.27854412090657e-06,2.05342668481481e-06,-3.30354004996852e-06,2.33102247412991e-06,3.48063913913345e-06,-3.37690134157293e-06,-1.26106378597588e-06,3.18536323885185e-07,1.74047312361578e-06,7.81681768385429e-07,-6.98945297928907e-07,1.36792984377214e-06,-2.64796861985418e-06,-1.00084453230463e-06,3.05112523199729e-07,2.75683790561543e-07,-8.42177178617548e-07,1.09428207645036e-06,1.47186697680414e-07,-6.7853723606234e-07,1.03834994928404e-06,2.2437634302338e-07,-1.12815089903596e-06,1.36920341439962e-06
"q3_x_high_x_young_x_female",4.67554833909451e-06,-2.92403457592059e-07,-6.10761581440926e-06,7.64554044806962e-06,-5.54270392282065e-06,1.23749606418468e-05,2.18393312289657e-06,-8.86062801028643e-06,1.10939258560755e-05,1.93597519116806e-06,9.85243480378152e-07,-1.43661184017166e-05,1.2920735452629e-05,-7.38992131397887e-07,1.59398630373282e-05,-2.47087660994917e-05,-3.37690134157293e-06,8.12742975551554e-05,-8.91701674263205e-07,1.090221712306e-07,-2.82478386400937e-07,-3.97614611117315e-06,1.74942321184351e-06,-3.57320052293431e-06,-2.31546427541318e-06,2.52897637615902e-06,-5.27777446280124e-06,-1.58315431163156e-06,-2.75871074770478e-07,1.35877057994135e-06,-2.30888153677454e-08,1.48648274686172e-07,-3.20940963260715e-06,8.44002221282515e-06,1.33201364441537e-06,-1.71657405573156e-05
"rb_x_highwfh_x_young",-3.98853406267264e-05,-4.26473641083729e-07,3.09320601570181e-05,-9.76576313580795e-06,-7.75795180859312e-07,8.23091549666746e-06,-3.50742728567122e-05,-4.17747532962914e-06,1.64489253799676e-05,-1.23451831090661e-05,-1.26962508185895e-06,9.15130452056116e-06,-4.57633454844251e-06,-6.13818081745141e-07,2.71050202852533e-06,5.80241531592594e-07,-1.26106378597588e-06,-8.91701674263205e-07,1.94813160407145e-05,2.90952706317529e-07,-1.51054047697592e-05,3.88941911970699e-06,2.65961746514884e-07,-2.94593003384739e-06,1.30895840128521e-05,1.70155631047462e-06,-6.3287437821656e-06,5.41995809601876e-06,4.48097582923865e-07,-4.33840415163687e-06,1.59124582842669e-06,3.0375493554424e-07,-1.05864679914106e-06,-5.48168962154671e-07,5.40394844914687e-07,4.45575306552415e-07
"rb_x_highwfh_x_female",-5.33339875282202e-07,-2.80160825150393e-06,-7.39253956101678e-07,-9.57126612487058e-07,-2.09890912781786e-07,-1.52102232731268e-07,-6.4740342432893e-06,-8.44293899600931e-07,3.60235207271593e-06,-1.31690977529084e-06,2.94048223085715e-07,-1.41882792581804e-06,4.03086396760278e-07,4.47090029227405e-07,-4.44805733933293e-07,-5.89493123882102e-07,3.18536323885185e-07,1.090221712306e-07,2.90952706317529e-07,1.95553629819316e-06,-8.93276993641794e-08,3.16073428019985e-07,2.43702953679005e-07,7.62717117601411e-08,2.72615895308825e-06,5.52899367921902e-07,-1.61597519103893e-06,4.6534253810605e-07,-9.38838951094689e-08,6.95245849339682e-07,-1.11730942795836e-09,-2.46950842441231e-07,2.21433122720423e-07,2.27710567456679e-07,-1.50908434173179e-07,3.21119107701375e-08
