ssyk4,year_month,n_ads
1310,2020-09,46
1310,2020-10,58
1310,2020-11,61
1310,2020-12,74
1310,2021-01,48
1310,2021-02,49
1310,2021-03,51
1310,2021-04,62
1310,2021-05,55
1310,2021-06,62
1310,2021-07,58
1310,2021-08,50
1310,2021-09,64
1310,2021-10,81
1310,2021-11,95
1310,2021-12,154
1310,2022-01,111
1310,2022-02,95
1310,2022-03,97
1310,2022-04,98
1310,2022-05,91
1310,2022-06,99
1310,2022-07,64
1310,2022-08,80
1310,2022-09,90
1310,2022-10,106
1310,2022-11,93
1310,2022-12,90
1310,2023-01,74
1310,2023-02,65
1310,2023-03,91
1310,2023-04,60
1310,2023-05,97
1310,2023-06,60
1310,2023-07,44
1310,2023-08,54
1310,2023-09,63
1310,2023-10,92
1310,2023-11,63
1310,2023-12,58
1310,2024-01,61
1310,2024-02,58
1310,2024-03,59
1310,2024-04,56
1310,2024-05,72
1310,2024-06,57
1310,2024-07,62
1310,2024-08,36
1310,2024-09,59
1310,2024-10,73
1310,2024-11,64
1310,2024-12,67
1310,2025-01,59
1310,2025-02,59
1310,2025-03,83
1310,2025-04,63
1310,2025-05,95
1310,2025-06,51
1310,2025-07,40
1310,2025-08,44
1310,2025-09,52
1310,2025-10,44
1310,2025-11,51
1310,2025-12,59
1320,2020-01,101
1320,2020-02,104
1320,2020-03,99
1320,2020-04,63
1320,2020-05,49
1320,2020-06,58
1320,2020-07,51
1320,2020-08,50
1320,2020-09,74
1320,2020-10,100
1320,2020-11,62
1320,2020-12,98
1320,2021-01,90
1320,2021-02,114
1320,2021-03,141
1320,2021-04,117
1320,2021-05,142
1320,2021-06,126
1320,2021-07,81
1320,2021-08,90
1320,2021-09,130
1320,2021-10,186
1320,2021-11,179
1320,2021-12,165
1320,2022-01,150
1320,2022-02,173
1320,2022-03,221
1320,2022-04,162
1320,2022-05,194
1320,2022-06,169
1320,2022-07,121
1320,2022-08,127
1320,2022-09,146
1320,2022-10,155
1320,2022-11,133
1320,2022-12,129
1320,2023-01,120
1320,2023-02,156
1320,2023-03,228
1320,2023-04,127
1320,2023-05,206
1320,2023-06,128
1320,2023-07,109
1320,2023-08,127
1320,2023-09,133
1320,2023-10,124
1320,2023-11,124
1320,2023-12,114
1320,2024-01,81
1320,2024-02,87
1320,2024-03,119
1320,2024-04,130
1320,2024-05,92
1320,2024-06,89
1320,2024-07,69
1320,2024-08,95
1320,2024-09,90
1320,2024-10,94
1320,2024-11,113
1320,2024-12,101
1320,2025-01,83
1320,2025-02,106
1320,2025-03,100
1320,2025-04,110
1320,2025-05,99
1320,2025-06,90
1320,2025-07,86
1320,2025-08,73
1320,2025-09,87
1320,2025-10,87
1320,2025-11,61
1320,2025-12,81
1330,2020-01,35
1330,2020-02,37
1330,2020-03,22
1330,2020-04,28
1330,2020-05,21
1330,2020-06,17
1330,2020-07,14
1330,2020-08,18
1330,2020-09,27
1330,2020-10,23
1330,2020-11,40
1330,2020-12,41
1330,2021-01,26
1330,2021-02,30
1330,2021-03,48
1330,2021-04,35
1330,2021-05,47
1330,2021-06,34
1330,2021-07,24
1330,2021-08,45
1330,2021-09,58
1330,2021-10,40
1330,2021-11,61
1330,2021-12,66
1330,2022-01,54
1330,2022-02,56
1330,2022-03,61
1330,2022-04,52
1330,2022-05,57
1330,2022-06,38
1330,2022-07,31
1330,2022-08,35
1330,2022-09,56
1330,2022-10,47
1330,2022-11,47
1330,2022-12,36
1330,2023-01,32
1330,2023-02,35
1330,2023-03,36
1330,2023-04,32
1330,2023-05,42
1330,2023-06,37
1330,2023-07,32
1330,2023-08,29
1330,2023-09,42
1330,2023-10,54
1330,2023-11,34
1330,2023-12,38
1330,2024-01,40
1330,2024-02,42
1330,2024-03,59
1330,2024-04,26
1330,2024-05,40
1330,2024-06,39
1330,2024-07,42
1330,2024-08,32
1330,2024-09,48
1330,2024-10,41
1330,2024-11,36
1330,2024-12,35
1330,2025-01,18
1330,2025-02,35
1330,2025-03,45
1330,2025-04,40
1330,2025-05,51
1330,2025-06,23
1330,2025-07,23
1330,2025-08,20
1330,2025-09,38
1330,2025-10,31
1330,2025-11,27
1330,2025-12,51
1340,2020-01,17
1340,2020-02,13
1340,2020-03,11
1340,2020-04,12
1340,2020-05,17
1340,2020-06,6
1340,2020-07,8
1340,2020-08,14
1340,2020-09,12
1340,2020-10,11
1340,2020-11,27
1340,2020-12,15
1340,2021-01,13
1340,2021-02,15
1340,2021-03,11
1340,2021-04,11
1340,2021-05,20
1340,2021-06,13
1340,2021-07,12
1340,2021-08,9
1340,2021-09,12
1340,2021-10,19
1340,2021-11,26
1340,2021-12,25
1340,2022-01,21
1340,2022-02,18
1340,2022-03,31
1340,2022-04,19
1340,2022-05,10
1340,2022-06,19
1340,2022-07,15
1340,2022-08,12
1340,2022-09,20
1340,2022-10,27
1340,2022-11,22
1340,2022-12,31
1340,2023-01,27
1340,2023-02,26
1340,2023-03,21
1340,2023-04,11
1340,2023-05,21
1340,2023-06,17
1340,2023-07,14
1340,2023-08,8
1340,2023-09,11
1340,2023-10,20
1340,2023-11,16
