ssyk4,year_month,n_ads
3215,2026-02,74
8151,2026-02,23
2651,2026-03,4
2211,2026-02,602
4113,2026-02,65
9111,2026-01,655
0110,2026-02,59
7124,2026-03,64
2613,2026-03,13
2342,2026-02,255
2222,2026-02,143
3152,2026-03,14
5143,2026-02,31
7321,2026-02,14
7231,2026-01,574
2641,2026-03,3
7122,2026-03,21
1540,2026-03,3
8113,2026-02,15
7411,2026-02,255
7411,2026-01,234
1790,2026-03,7
7134,2026-01,63
2661,2026-02,722
7125,2026-02,174
5413,2026-02,132
7215,2026-02,11
6113,2026-02,266
2171,2026-03,5
2320,2026-02,150
2239,2026-02,30
8129,2026-02,60
4322,2026-01,607
9310,2026-02,98
3121,2026-02,136
3334,2026-03,8
3511,2026-01,189
7211,2026-03,5
5325,2026-03,3
3333,2026-01,350
8193,2026-02,12
6112,2026-02,148
8219,2026-03,4
9119,2026-02,377
7131,2026-02,53
3230,2026-03,3
3152,2026-02,12
7612,2026-02,64
5241,2026-02,312
2132,2026-02,24
4420,2026-02,78
3451,2026-02,97
5221,2026-02,107
4117,2026-02,159
1360,2026-02,122
9210,2026-02,28
2273,2026-01,237
2515,2026-02,181
1510,2026-01,182
5142,2026-01,17
3514,2026-02,79
7412,2026-02,131
3112,2026-01,417
2422,2026-02,709
2663,2026-02,121
3112,2026-02,493
3313,2026-01,236
9411,2026-01,112
5131,2026-01,356
2653,2026-03,3
9120,2026-01,74
4119,2026-01,376
2412,2026-01,207
2182,2026-01,36
2181,2026-01,26
1230,2026-02,246
3451,2026-01,104
4222,2026-01,445
8174,2026-03,11
3114,2026-02,651
5132,2026-01,94
7534,2026-03,2
7420,2026-02,189
5144,2026-02,12
5142,2026-02,26
2421,2026-01,320
3212,2026-02,88
2161,2026-03,10
5419,2026-02,75
5112,2026-03,4
8115,2026-03,2
8114,2026-02,32
8189,2026-02,4
2142,2026-02,170
8331,2026-02,71
2162,2026-03,3
2143,2026-01,243
2250,2026-01,39
9621,2026-02,76
2227,2026-01,64
7611,2026-01,15
2183,2026-02,114
3359,2026-02,177
2224,2026-02,218
5312,2026-02,198
7232,2026-03,2
3335,2026-02,81
3512,2026-01,171
2515,2026-01,135
3439,2026-02,13
2284,2026-02,74
3423,2026-01,85
5419,2026-01,45
3250,2026-01,71
2273,2026-02,314
9332,2026-02,54
5241,2026-01,254
7312,2026-03,2
2141,2026-02,174
1720,2026-02,105
2112,2026-02,11
8329,2026-02,140
7119,2026-02,24
4226,2026-01,16
5152,2026-01,363
8211,2026-02,64
3354,2026-02,230
2516,2026-02,117
2231,2026-02,132
3412,2026-03,1
2223,2026-02,109
7323,2026-03,2
8192,2026-02,37
2146,2026-02,24
5151,2026-02,65
3333,2026-02,335
7311,2026-02,35
8342,2026-02,86
6121,2026-02,25
4226,2026-02,41
2134,2026-02,26
0210,2026-02,34
5230,2026-01,48
3513,2026-01,113
8329,2026-01,154
2330,2026-02,274
2271,2026-01,12
3355,2026-02,83
4323,2026-02,145
8114,2026-01,20
2432,2026-02,179
5323,2026-01,366
5350,2026-02,162
3250,2026-02,103
1490,2026-03,1
7420,2026-01,151
4224,2026-02,188
8312,2026-03,4
1510,2026-02,255
2149,2026-01,79
4224,2026-01,212
2131,2026-02,92
6210,2026-02,39
3122,2026-02,52
3116,2026-02,38
2352,2026-02,69
2313,2026-01,95
4112,2026-02,252
2312,2026-01,39
1380,2026-02,6
2412,2026-02,290
6113,2026-01,248
5341,2026-02,32
7533,2026-03,4
5132,2026-02,106
0310,2026-02,67
4119,2026-02,534
2519,2026-02,103
4223,2026-02,21
1720,2026-01,84
2661,2026-01,562
1113,2026-02,32
7113,2026-02,131
5341,2026-01,43
4112,2026-01,186
2619,2026-02,48
7124,2026-02,10
2282,2026-02,34
1410,2026-02,165
1590,2026-02,127
1111,2026-03,2
1111,2026-02,2
2413,2026-01,38
8122,2026-03,1
2232,2026-02,63
3240,2026-02,48
3119,2026-02,55
3117,2026-02,53
2164,2026-02,17
5227,2026-02,28
5412,2026-02,67
7224,2026-02,12
5414,2026-02,21
3423,2026-02,117
2225,2026-02,102
2226,2026-02,109
3211,2026-02,15
8214,2026-02,42
7125,2026-01,131
2141,2026-01,155
4221,2026-02,42
1112,2026-02,12
4117,2026-01,156
2423,2026-01,322
2250,2026-02,75
2284,2026-01,97
5141,2026-01,60
2314,2026-01,157
3152,2026-01,20
8331,2026-01,45
5222,2026-01,735
2653,2026-02,4
8181,2026-02,8
9413,2026-02,38
8163,2026-02,25
7133,2026-03,3
7523,2026-02,29
2615,2026-02,68
2231,2026-01,117
2413,2026-02,44
1240,2026-02,10
7611,2026-02,21
2671,2026-02,14
2411,2026-02,27
3314,2026-02,47
2133,2026-02,29
3441,2026-02,36
1240,2026-01,12
2233,2026-01,58
5349,2026-02,22
3513,2026-02,124
2312,2026-02,75
8142,2026-02,44
7114,2026-01,103
4321,2026-02,74
7533,2026-02,4
2234,2026-02,12
4116,2026-02,15
3432,2026-02,19
3342,2026-02,32
2260,2026-01,115
2319,2026-02,47
2182,2026-02,64
3353,2026-02,21
5143,2026-01,31
7115,2026-02,3
5161,2026-02,16
1330,2026-02,42
2111,2026-01,24
3360,2026-02,24
3211,2026-01,9
7233,2026-01,233
7121,2026-02,16
3212,2026-01,78
3433,2026-02,26
3343,2026-02,29
8344,2026-01,231
8173,2026-01,11
2113,2026-02,48
2662,2026-02,189
1220,2026-02,53
1790,2026-02,10
9320,2026-02,21
6221,2026-03,1
2669,2026-02,11
2181,2026-02,38
3312,2026-02,63
4111,2026-02,242
3515,2026-02,11
4114,2026-02,51
3331,2026-02,47
5149,2026-01,37
7531,2026-02,8
8162,2026-02,26
2271,2026-02,10
2283,2026-02,55
6130,2026-02,7
2642,2026-02,20
1710,2026-02,11
7522,2026-02,36
7222,2026-02,9
5230,2026-02,61
7132,2026-01,69
2144,2026-01,236
7413,2026-01,24
7126,2026-02,41
7534,2026-02,3
6111,2026-02,7
2611,2026-02,5
9629,2026-02,42
2643,2026-02,43
2514,2026-02,157
1340,2026-02,12
2343,2026-02,199
2242,2026-02,11
7221,2026-02,5
7412,2026-01,109
7214,2026-01,44
2313,2026-02,142
5225,2026-02,56
7212,2026-01,194
8121,2026-02,17
2149,2026-02,96
1310,2026-02,47
7116,2026-02,16
2111,2026-02,28
1250,2026-01,159
3115,2026-02,61
3522,2026-02,21
8199,2026-02,11
9331,2026-02,14
2114,2026-02,19
2161,2026-02,5
3521,2026-02,16
7113,2026-01,115
8341,2026-02,16
3151,2026-02,10
3154,2026-02,6
1740,2026-02,25
7123,2026-02,7
3352,2026-02,34
2260,2026-02,104
2351,2026-01,174
7521,2026-02,5
5411,2026-02,25
2614,2026-01,31
3214,2026-02,5
4410,2026-02,36
5413,2026-01,267
2621,2026-02,14
2623,2026-02,42
7322,2026-02,11
5412,2026-01,100
2213,2026-02,45
3339,2026-01,174
3351,2026-02,7
5113,2026-01,61
5326,2026-02,16
2612,2026-02,42
8312,2026-02,3
2614,2026-02,63
9520,2026-02,16
3424,2026-02,15
7222,2026-01,9
2311,2026-02,9
3155,2026-02,11
1420,2026-02,11
3341,2026-02,34
8159,2026-02,8
2179,2026-02,37
2163,2026-02,13
2419,2026-02,42
4225,2026-01,191
3354,2026-01,163
2415,2026-02,12
3332,2026-02,9
1370,2026-01,109
7613,2026-01,4
4211,2026-02,33
8116,2026-02,6
8343,2026-02,10
8350,2026-01,13
3433,2026-01,38
2162,2026-02,5
4212,2026-02,20
8169,2026-02,24
2651,2026-02,7
7133,2026-02,5
8311,2026-02,4
2655,2026-02,8
7613,2026-02,3
2172,2026-02,14
5226,2026-02,25
8350,2026-02,5
6122,2026-01,8
7122,2026-02,30
8131,2026-02,24
2652,2026-02,16
6129,2026-02,13
2122,2026-02,13
2654,2026-02,17
7312,2026-02,3
2642,2026-01,49
8161,2026-02,14
2611,2026-01,3
0110,2026-01,32
2145,2026-02,29
5311,2026-01,226
6112,2026-01,77
4115,2026-01,35
8141,2026-02,7
1610,2026-02,6
8174,2026-02,5
8173,2026-02,20
7319,2026-02,11
2513,2026-02,11
7323,2026-02,1
7322,2026-01,13
1530,2026-01,69
8122,2026-02,4
2672,2026-02,6
5112,2026-02,5
8143,2026-02,6
3452,2026-02,7
3431,2026-02,18
8172,2026-02,13
8111,2026-02,15
2282,2026-01,38
2641,2026-02,6
2241,2026-01,168
7211,2026-02,5
2171,2026-02,10
9629,2026-01,20
2223,2026-01,56
6122,2026-02,16
2359,2026-01,100
3422,2026-01,164
5350,2026-01,175
7522,2026-01,16
3214,2026-01,12
2131,2026-01,71
3359,2026-01,178
3153,2026-02,5
2219,2026-01,132
1410,2026-01,97
3119,2026-01,59
2228,2026-01,75
1220,2026-01,44
1590,2026-01,79
3342,2026-01,12
3122,2026-01,38
8112,2026-02,2
2431,2026-01,176
2173,2026-01,24
8219,2026-02,10
7119,2026-01,12
5312,2026-01,208
2121,2026-02,3
9119,2026-01,349
8151,2026-01,14
9622,2026-01,48
3439,2026-01,10
3324,2026-01,79
2613,2026-02,10
1520,2026-01,118
2432,2026-01,157
2411,2026-01,19
8169,2026-01,17
8116,2026-01,7
2343,2026-01,222
2615,2026-01,70
2662,2026-01,128
8171,2026-02,5
3311,2026-02,2
7131,2026-01,43
2225,2026-01,94
8199,2026-01,9
1290,2026-01,92
2422,2026-01,427
5169,2026-02,5
1120,2026-01,54
4111,2026-01,184
1340,2026-01,10
7232,2026-02,4
1210,2026-01,69
1730,2026-01,128
2121,2026-01,3
3116,2026-01,24
7126,2026-01,27
3314,2026-01,52
7311,2026-01,22
3335,2026-01,64
2183,2026-01,83
5226,2026-01,16
8129,2026-01,57
5111,2026-02,1
3334,2026-02,2
7112,2026-01,29
1350,2026-01,26
8211,2026-01,77
3452,2026-01,11
8143,2026-01,14
1490,2026-02,1
1330,2026-01,28
4420,2026-01,54
3155,2026-01,14
3355,2026-01,50
8342,2026-01,53
7523,2026-01,18
8121,2026-01,13
3117,2026-01,32
4212,2026-01,6
2134,2026-01,26
4223,2026-01,17
3432,2026-01,16
7612,2026-01,50
3331,2026-01,30
7122,2026-01,10
5151,2026-01,34
2242,2026-01,12
2519,2026-01,87
2352,2026-01,46
4221,2026-01,35
7123,2026-01,10
2619,2026-01,28
5414,2026-01,20
3343,2026-01,28
3360,2026-01,12
2113,2026-01,45
2232,2026-01,60
2419,2026-01,35
2663,2026-01,78
2612,2026-01,26
2289,2026-02,1
5224,2026-02,1
9413,2026-01,34
4114,2026-01,72
2622,2026-01,90
5221,2026-01,75
