ssyk4,year_month,n_ads,n_vacancies
7533,2026-02,4,5
2234,2026-02,12,12
4116,2026-02,15,34
3432,2026-02,19,19
3342,2026-02,32,55
2260,2026-01,115,135
2319,2026-02,47,47
2182,2026-02,64,73
3353,2026-02,21,68
5143,2026-01,31,48
7115,2026-02,3,6
5161,2026-02,16,16
1330,2026-02,42,42
2111,2026-01,24,29
3360,2026-02,24,36
3211,2026-01,9,9
7233,2026-01,233,327
7121,2026-02,16,29
3212,2026-01,78,196
3433,2026-02,26,32
3343,2026-02,29,29
8344,2026-01,231,599
8173,2026-01,11,43
2113,2026-02,48,50
2662,2026-02,189,214
1220,2026-02,53,54
1790,2026-02,10,10
9320,2026-02,21,73
6221,2026-03,1,2
2669,2026-02,11,88
2181,2026-02,38,44
3312,2026-02,63,69
4111,2026-02,242,256
3515,2026-02,11,13
4114,2026-02,51,54
3331,2026-02,47,51
5149,2026-01,37,54
7531,2026-02,8,9
8162,2026-02,26,85
2271,2026-02,10,10
2283,2026-02,55,64
6130,2026-02,7,8
2642,2026-02,20,21
1710,2026-02,11,11
7522,2026-02,36,52
7222,2026-02,9,12
5230,2026-02,61,106
7132,2026-01,69,98
2144,2026-01,236,323
7413,2026-01,24,36
7126,2026-02,41,43
7534,2026-02,3,3
6111,2026-02,7,44
2611,2026-02,5,8
9629,2026-02,42,212
2643,2026-02,43,236
2514,2026-02,157,177
1340,2026-02,12,12
2343,2026-02,199,533
2242,2026-02,11,11
7221,2026-02,5,9
7412,2026-01,109,231
7214,2026-01,44,47
2313,2026-02,142,158
5225,2026-02,56,61
7212,2026-01,194,357
8121,2026-02,17,28
2149,2026-02,96,131
1310,2026-02,47,50
7116,2026-02,16,46
2111,2026-02,28,33
1250,2026-01,159,190
3115,2026-02,61,102
3522,2026-02,21,24
8199,2026-02,11,26
9331,2026-02,14,30
2114,2026-02,19,26
2161,2026-02,5,5
3521,2026-02,16,16
7113,2026-01,115,402
8341,2026-02,16,19
3151,2026-02,10,17
3154,2026-02,6,7
1740,2026-02,25,27
7123,2026-02,7,10
3352,2026-02,34,149
2260,2026-02,104,122
2351,2026-01,174,197
7521,2026-02,5,5
5411,2026-02,25,62
2614,2026-01,31,35
3214,2026-02,5,6
4410,2026-02,36,69
5413,2026-01,267,1457
2621,2026-02,14,18
2623,2026-02,42,42
7322,2026-02,11,43
5412,2026-01,100,1536
2213,2026-02,45,275
3339,2026-01,174,206
3351,2026-02,7,7
5113,2026-01,61,327
5326,2026-02,16,34
2612,2026-02,42,70
8312,2026-02,3,4
2614,2026-02,63,71
9520,2026-02,16,50
3424,2026-02,15,16
7222,2026-01,9,13
2311,2026-02,9,9
3155,2026-02,11,21
1420,2026-02,11,11
3341,2026-02,34,48
8159,2026-02,8,9
2179,2026-02,37,38
2163,2026-02,13,19
2419,2026-02,42,44
4225,2026-01,191,261
3354,2026-01,163,217
2415,2026-02,12,13
3332,2026-02,9,10
1370,2026-01,109,112
7613,2026-01,4,12
4211,2026-02,33,89
8116,2026-02,6,30
8343,2026-02,10,10
8350,2026-01,13,31
3433,2026-01,38,53
2162,2026-02,5,6
4212,2026-02,20,22
8169,2026-02,24,49
2651,2026-02,7,10
7133,2026-02,5,7
8311,2026-02,4,19
2655,2026-02,8,47
7613,2026-02,3,8
2172,2026-02,14,48
5226,2026-02,25,28
8350,2026-02,5,7
6122,2026-01,8,11
7122,2026-02,30,38
8131,2026-02,24,36
2652,2026-02,16,18
6129,2026-02,13,38
2122,2026-02,13,19
2654,2026-02,17,18
7312,2026-02,3,3
2642,2026-01,49,108
8161,2026-02,14,215
2611,2026-01,3,4
0110,2026-01,32,34
2145,2026-02,29,39
5311,2026-01,226,871
6112,2026-01,77,347
4115,2026-01,35,43
8141,2026-02,7,8
1610,2026-02,6,8
8174,2026-02,5,7
8173,2026-02,20,84
7319,2026-02,11,12
2513,2026-02,11,16
7323,2026-02,1,2
7322,2026-01,13,20
1530,2026-01,69,98
8122,2026-02,4,4
2672,2026-02,6,7
5112,2026-02,5,25
8143,2026-02,6,8
3452,2026-02,7,11
3431,2026-02,18,24
8172,2026-02,13,174
8111,2026-02,15,42
2282,2026-01,38,38
2641,2026-02,6,6
2241,2026-01,168,195
7211,2026-02,5,7
2171,2026-02,10,11
9629,2026-01,20,83
2223,2026-01,56,69
6122,2026-02,16,42
2359,2026-01,100,122
3422,2026-01,164,228
5350,2026-01,175,238
7522,2026-01,16,20
3214,2026-01,12,14
2131,2026-01,71,186
3359,2026-01,178,510
3153,2026-02,5,10
2219,2026-01,132,226
1410,2026-01,97,97
3119,2026-01,59,72
2228,2026-01,75,116
1220,2026-01,44,44
1590,2026-01,79,88
3342,2026-01,12,17
3122,2026-01,38,39
8112,2026-02,2,6
2431,2026-01,176,194
2173,2026-01,24,24
8219,2026-02,10,36
7119,2026-01,12,23
5312,2026-01,208,621
2121,2026-02,3,6
9119,2026-01,349,395
8151,2026-01,14,72
9622,2026-01,48,141
3439,2026-01,10,30
3324,2026-01,79,86
2613,2026-02,10,12
1520,2026-01,118,150
2432,2026-01,157,187
2411,2026-01,19,20
8169,2026-01,17,26
8116,2026-01,7,50
2343,2026-01,222,547
2615,2026-01,70,79
2662,2026-01,128,140
8171,2026-02,5,20
3311,2026-02,2,2
7131,2026-01,43,130
2225,2026-01,94,114
8199,2026-01,9,33
1290,2026-01,92,93
2422,2026-01,427,612
5169,2026-02,5,17
1120,2026-01,54,57
4111,2026-01,184,196
1340,2026-01,10,10
7232,2026-02,4,11
1210,2026-01,69,77
1730,2026-01,128,128
2121,2026-01,3,3
3116,2026-01,24,26
7126,2026-01,27,34
3314,2026-01,52,62
7311,2026-01,22,25
3335,2026-01,64,68
2183,2026-01,83,109
5226,2026-01,16,22
8129,2026-01,57,290
5111,2026-02,1,1
3334,2026-02,2,2
7112,2026-01,29,141
