"term","pq_2019Q1_x_high_x_young","pq_2019Q2_x_high_x_young","pq_2019Q3_x_high_x_young","pq_2019Q4_x_high_x_young","pq_2020Q1_x_high_x_young","pq_2020Q2_x_high_x_young","pq_2020Q3_x_high_x_young","pq_2020Q4_x_high_x_young","pq_2021Q1_x_high_x_young","pq_2021Q2_x_high_x_young","pq_2021Q3_x_high_x_young","pq_2021Q4_x_high_x_young","pq_2022Q2_x_high_x_young","pq_2022Q3_x_high_x_young","pq_2022Q4_x_high_x_young","pq_2023Q1_x_high_x_young","pq_2023Q2_x_high_x_young","pq_2023Q3_x_high_x_young","pq_2023Q4_x_high_x_young","pq_2024Q1_x_high_x_young","pq_2024Q2_x_high_x_young","pq_2024Q3_x_high_x_young","pq_2024Q4_x_high_x_young","pq_2025Q1_x_high_x_young","pq_2025Q2_x_high_x_young"
"pq_2021Q3_x_high_x_young",3.26916728282365e-05,3.79916329451479e-05,4.25611647709931e-05,3.71326325285058e-05,2.42083881234773e-05,3.27026184652351e-05,3.751207249584e-05,3.23287971773895e-05,1.93844273197377e-05,2.39578853666808e-05,3.07203337635058e-05,2.27261433860245e-05,7.11845734170342e-06,1.47610634649498e-05,1.19539480437665e-05,-3.90807040975466e-06,3.5078087475874e-06,9.53289693631872e-06,3.72122503515502e-06,-1.15377284494444e-05,-5.99843311787122e-06,1.59519207083386e-06,-2.78895141667483e-06,-1.48481655472332e-05,1.48508089451304e-06
"pq_2021Q4_x_high_x_young",3.0506411925017e-05,3.39596560689432e-05,3.61109142264222e-05,3.66712519608648e-05,2.44888616298978e-05,2.85962009865384e-05,3.02848177754636e-05,2.97265080912382e-05,1.53943662842659e-05,1.94355998694909e-05,2.27261433860245e-05,2.45225123123801e-05,6.35456372888892e-06,1.03914260175842e-05,1.34286776832134e-05,-2.64266824359605e-06,2.0053822447871e-06,4.42593227805878e-06,4.60087177761279e-06,-1.06322476996646e-05,-6.98779766519927e-06,-3.43582185557342e-06,-2.02338534775007e-06,-1.68001119469572e-05,-4.01775936444105e-06
"pq_2022Q2_x_high_x_young",8.86839056860214e-06,1.08324165096729e-05,1.15962030543714e-05,9.76492770015198e-06,4.44156752545567e-06,8.25816261996774e-06,9.25348434803676e-06,6.97377957611054e-06,1.06164908621501e-06,5.10765108132002e-06,7.11845734170342e-06,6.35456372888892e-06,8.25618360373529e-06,1.03671493011626e-05,1.00107050743419e-05,4.25673950509169e-06,9.26858015969199e-06,1.06186374915458e-05,9.40876417908353e-06,4.63018429476548e-06,8.54257305771966e-06,1.00196658595497e-05,8.59478077141765e-06,3.69666936949045e-06,5.17114274669502e-06
"pq_2022Q3_x_high_x_young",1.29966177331878e-05,1.59502907594151e-05,2.11684972636068e-05,1.60338893885461e-05,5.91848084525292e-06,1.32343714668816e-05,1.78252481017895e-05,1.20130530612862e-05,7.59122676724124e-07,6.23419368806622e-06,1.47610634649498e-05,1.03914260175842e-05,1.03671493011626e-05,2.16183742005852e-05,1.86119320042395e-05,8.59276843634603e-06,1.57999662175244e-05,2.25991902552304e-05,1.80117058313273e-05,8.29270220665952e-06,1.43048357980499e-05,2.15975635971821e-05,1.67506028517148e-05,8.20641559492043e-06,1.80141562787419e-05
"pq_2022Q4_x_high_x_young",1.54501753798334e-05,1.73335844281925e-05,1.97998395475178e-05,2.00965490534561e-05,9.55235605988532e-06,1.3765751318048e-05,1.5812935028191e-05,1.52152258310068e-05,2.76758374925836e-06,7.20185626315109e-06,1.19539480437665e-05,1.34286776832134e-05,1.00107050743419e-05,1.86119320042395e-05,2.53656927635797e-05,1.44774069691394e-05,2.01988000745775e-05,2.39518701838654e-05,2.50687865213204e-05,1.46416698939183e-05,1.98405602031309e-05,2.37701625292778e-05,2.43468689626274e-05,1.24679638127178e-05,2.1742751068008e-05
"pq_2023Q1_x_high_x_young",-3.78185302516969e-07,-2.26990778107821e-06,-3.53846713998826e-06,-2.08326959593046e-06,-1.4813616756338e-06,-1.89904307461028e-06,-3.28919506128504e-06,-2.30958449898186e-06,-1.11936441038888e-06,-3.18550356192793e-06,-3.90807040975466e-06,-2.64266824359605e-06,4.25673950509169e-06,8.59276843634603e-06,1.44774069691394e-05,4.36733690675045e-05,4.41825279739646e-05,4.59893619729169e-05,4.8255793740702e-05,5.29428349990465e-05,5.30929945083712e-05,5.35382298206509e-05,5.52186218637818e-05,6.08585665827681e-05,5.77408847067165e-05
"pq_2023Q2_x_high_x_young",2.34951198769775e-06,3.90242513466269e-06,3.79262926695302e-06,2.74863877221987e-06,-1.11599381215077e-06,3.4621743335051e-06,4.73608754769467e-06,2.87447260335135e-06,1.06501500951826e-06,1.66789967850919e-06,3.5078087475874e-06,2.0053822447871e-06,9.26858015969199e-06,1.57999662175244e-05,2.01988000745775e-05,4.41825279739646e-05,5.39098261815078e-05,5.70856799821102e-05,5.66907327276214e-05,5.70811743523625e-05,6.28331994928875e-05,6.47798663944738e-05,6.40465417167584e-05,6.50189736014943e-05,6.41510681303159e-05
"pq_2023Q3_x_high_x_young",1.67779887452431e-06,4.37144327355405e-06,8.44705286537015e-06,4.37681633358749e-06,-2.82086567419112e-06,6.88868655162672e-06,1.06456396830084e-05,5.50417944194905e-06,6.71536592924521e-07,3.364796310167e-06,9.53289693631872e-06,4.42593227805878e-06,1.06186374915458e-05,2.25991902552304e-05,2.39518701838654e-05,4.59893619729169e-05,5.70856799821102e-05,6.83505839633075e-05,6.47193147193619e-05,6.18479318115631e-05,6.88996029962359e-05,7.71713678001718e-05,7.30999257740365e-05,7.24536576227107e-05,7.5136581286862e-05
"pq_2023Q4_x_high_x_young",-1.25735644995755e-06,2.36437662179642e-08,1.58155516616976e-06,3.53224377229184e-06,-1.61600931942131e-06,3.87229769261952e-06,4.68273658788886e-06,4.48025831799401e-06,-4.69060952252293e-07,1.40810863659858e-06,3.72122503515502e-06,4.60087177761279e-06,9.40876417908353e-06,1.80117058313273e-05,2.50687865213204e-05,4.8255793740702e-05,5.66907327276214e-05,6.47193147193619e-05,7.10334321830809e-05,6.89843199184784e-05,7.44851887865953e-05,7.90320150163057e-05,8.148681263763e-05,7.96573640312472e-05,7.83246714236077e-05
"pq_2024Q1_x_high_x_young",-1.77683323087774e-05,-1.9991348702629e-05,-2.20099001751443e-05,-1.94906316836894e-05,-1.17237137710996e-05,-1.07108916296338e-05,-1.31135646603262e-05,-1.32612101202582e-05,-6.29463426144457e-06,-8.11255824536777e-06,-1.15377284494444e-05,-1.06322476996646e-05,4.63018429476548e-06,8.29270220665952e-06,1.46416698939183e-05,5.29428349990465e-05,5.70811743523625e-05,6.18479318115631e-05,6.89843199184784e-05,9.56767297818783e-05,9.74356721321036e-05,9.72611463954378e-05,9.92575015708304e-05,0.000117860012873762,0.000101153979962211
