age_group,expband,q_t,q_t1,same_code,enters_mgr,n,year
26-30,3-5,3,4,0,1,45.0,2019
26-30,3-5,4,1,0,0,39.0,2019
26-30,3-5,4,2,0,0,265.0,2019
26-30,3-5,4,2,0,1,17.0,2019
26-30,3-5,4,3,0,0,826.0,2019
26-30,3-5,4,3,0,1,115.0,2019
26-30,3-5,4,4,0,0,2882.0,2019
26-30,3-5,4,4,0,1,178.0,2019
26-30,3-5,4,4,1,0,24262.0,2019
26-30,6-10,0,0,1,0,9.0,2019
26-30,6-10,0,2,0,0,,2019
26-30,6-10,0,3,0,0,,2019
26-30,6-10,0,4,0,0,,2019
26-30,6-10,1,1,0,0,2309.0,2019
26-30,6-10,1,1,1,0,30101.0,2019
26-30,6-10,1,2,0,0,1881.0,2019
26-30,6-10,1,2,0,1,55.0,2019
26-30,6-10,1,3,0,0,433.0,2019
26-30,6-10,1,3,0,1,38.0,2019
26-30,6-10,1,4,0,0,352.0,2019
26-30,6-10,1,4,0,1,15.0,2019
26-30,6-10,2,1,0,0,1714.0,2019
26-30,6-10,2,1,0,1,,2019
26-30,6-10,2,2,0,0,3520.0,2019
26-30,6-10,2,2,0,1,48.0,2019
26-30,6-10,2,2,1,0,46610.0,2019
26-30,6-10,2,3,0,0,956.0,2019
26-30,6-10,2,3,0,1,175.0,2019
26-30,6-10,2,4,0,0,893.0,2019
26-30,6-10,2,4,0,1,55.0,2019
26-30,6-10,3,1,0,0,299.0,2019
26-30,6-10,3,2,0,0,920.0,2019
26-30,6-10,3,2,0,1,16.0,2019
26-30,6-10,3,3,0,0,773.0,2019
26-30,6-10,3,3,0,1,105.0,2019
26-30,6-10,3,3,1,0,11929.0,2019
26-30,6-10,3,4,0,0,851.0,2019
26-30,6-10,3,4,0,1,40.0,2019
26-30,6-10,4,1,0,0,171.0,2019
26-30,6-10,4,2,0,0,462.0,2019
26-30,6-10,4,2,0,1,12.0,2019
26-30,6-10,4,3,0,0,838.0,2019
26-30,6-10,4,3,0,1,121.0,2019
26-30,6-10,4,4,0,0,1620.0,2019
26-30,6-10,4,4,0,1,80.0,2019
26-30,6-10,4,4,1,0,14557.0,2019
26-30,na,0,1,0,0,,2019
26-30,na,0,2,0,0,,2019
26-30,na,1,1,0,0,685.0,2019
26-30,na,1,1,1,0,7452.0,2019
26-30,na,1,2,0,0,648.0,2019
26-30,na,1,2,0,1,14.0,2019
26-30,na,1,3,0,0,85.0,2019
26-30,na,1,3,0,1,,2019
26-30,na,1,4,0,0,43.0,2019
26-30,na,1,4,0,1,,2019
26-30,na,2,1,0,0,585.0,2019
26-30,na,2,2,0,0,1092.0,2019
26-30,na,2,2,0,1,6.0,2019
26-30,na,2,2,1,0,11082.0,2019
26-30,na,2,3,0,0,152.0,2019
26-30,na,2,3,0,1,18.0,2019
26-30,na,2,4,0,0,108.0,2019
26-30,na,2,4,0,1,,2019
26-30,na,3,1,0,0,45.0,2019
26-30,na,3,2,0,0,183.0,2019
26-30,na,3,2,0,1,,2019
26-30,na,3,3,0,0,186.0,2019
26-30,na,3,3,0,1,8.0,2019
26-30,na,3,3,1,0,1693.0,2019
26-30,na,3,4,0,0,135.0,2019
26-30,na,3,4,0,1,,2019
26-30,na,4,1,0,0,33.0,2019
26-30,na,4,2,0,0,104.0,2019
26-30,na,4,2,0,1,,2019
26-30,na,4,3,0,0,159.0,2019
26-30,na,4,3,0,1,7.0,2019
26-30,na,4,4,0,0,513.0,2019
26-30,na,4,4,0,1,21.0,2019
26-30,na,4,4,1,0,3894.0,2019
31-34,0-2,0,0,1,0,,2019
31-34,0-2,1,1,0,0,111.0,2019
31-34,0-2,1,1,1,0,1612.0,2019
31-34,0-2,1,2,0,0,268.0,2019
31-34,0-2,1,2,0,1,,2019
31-34,0-2,1,3,0,0,95.0,2019
31-34,0-2,1,3,0,1,6.0,2019
31-34,0-2,1,4,0,0,78.0,2019
31-34,0-2,1,4,0,1,,2019
31-34,0-2,2,1,0,0,138.0,2019
31-34,0-2,2,2,0,0,636.0,2019
31-34,0-2,2,2,0,1,,2019
31-34,0-2,2,2,1,0,6732.0,2019
31-34,0-2,2,3,0,0,406.0,2019
31-34,0-2,2,3,0,1,72.0,2019
31-34,0-2,2,4,0,0,308.0,2019
31-34,0-2,2,4,0,1,6.0,2019
31-34,0-2,3,1,0,0,31.0,2019
31-34,0-2,3,2,0,0,225.0,2019
31-34,0-2,3,3,0,0,518.0,2019
31-34,0-2,3,3,0,1,25.0,2019
31-34,0-2,3,3,1,0,5102.0,2019
31-34,0-2,3,4,0,0,431.0,2019
31-34,0-2,3,4,0,1,14.0,2019
31-34,0-2,4,1,0,0,22.0,2019
31-34,0-2,4,2,0,0,144.0,2019
31-34,0-2,4,2,0,1,,2019
31-34,0-2,4,3,0,0,374.0,2019
31-34,0-2,4,3,0,1,34.0,2019
31-34,0-2,4,4,0,0,1027.0,2019
31-34,0-2,4,4,0,1,24.0,2019
31-34,0-2,4,4,1,0,7825.0,2019
31-34,11-20,0,0,1,0,6.0,2019
31-34,11-20,0,1,0,0,,2019
31-34,11-20,0,2,0,0,,2019
31-34,11-20,0,3,0,0,,2019
31-34,11-20,1,0,0,0,,2019
31-34,11-20,1,1,0,0,1665.0,2019
31-34,11-20,1,1,0,1,,2019
31-34,11-20,1,1,1,0,25236.0,2019
31-34,11-20,1,2,0,0,1260.0,2019
31-34,11-20,1,2,0,1,45.0,2019
31-34,11-20,1,3,0,0,308.0,2019
31-34,11-20,1,3,0,1,42.0,2019
31-34,11-20,1,4,0,0,235.0,2019
31-34,11-20,1,4,0,1,16.0,2019
31-34,11-20,2,1,0,0,1148.0,2019
31-34,11-20,2,1,0,1,,2019
31-34,11-20,2,2,0,0,2337.0,2019
31-34,11-20,2,2,0,1,52.0,2019
31-34,11-20,2,2,1,0,36174.0,2019
31-34,11-20,2,3,0,0,726.0,2019
31-34,11-20,2,3,0,1,162.0,2019
31-34,11-20,2,4,0,0,585.0,2019
31-34,11-20,2,4,0,1,50.0,2019
31-34,11-20,3,1,0,0,197.0,2019
31-34,11-20,3,2,0,0,594.0,2019
31-34,11-20,3,2,0,1,17.0,2019
31-34,11-20,3,3,0,0,552.0,2019
31-34,11-20,3,3,0,1,75.0,2019
31-34,11-20,3,3,1,0,9505.0,2019
31-34,11-20,3,4,0,0,573.0,2019
31-34,11-20,3,4,0,1,53.0,2019
31-34,11-20,4,0,0,1,,2019
31-34,11-20,4,1,0,0,93.0,2019
31-34,11-20,4,2,0,0,293.0,2019
31-34,11-20,4,2,0,1,12.0,2019
31-34,11-20,4,3,0,0,551.0,2019
31-34,11-20,4,3,0,1,102.0,2019
31-34,11-20,4,4,0,0,1183.0,2019
31-34,11-20,4,4,0,1,105.0,2019
31-34,11-20,4,4,1,0,10448.0,2019
31-34,21+,1,1,0,0,,2019
31-34,21+,1,1,1,0,27.0,2019
31-34,21+,1,2,0,0,,2019
31-34,21+,1,3,0,0,,2019
31-34,21+,2,2,0,0,,2019
31-34,21+,2,2,1,0,31.0,2019
31-34,21+,3,1,0,0,,2019
31-34,21+,3,3,1,0,,2019
31-34,21+,4,4,1,0,,2019
31-34,3-5,1,1,0,0,111.0,2019
31-34,3-5,1,1,1,0,1725.0,2019
31-34,3-5,1,2,0,0,127.0,2019
31-34,3-5,1,2,0,1,,2019
31-34,3-5,1,3,0,0,43.0,2019
