inr,expband,fresh,n,ws,wh
212c,6-10,1,107.0,8479.810032,80.0
212x,0-2,0,425.0,19410.1901753,45.0
212x,0-2,1,314.0,17280.0000774,36.0
212x,11-20,0,97.0,6249.630047,21.0
212x,11-20,1,213.0,12756.250037,22.0
212x,21+,0,17.0,1120.200016,0.0
212x,21+,1,50.0,3248.150012,0.0
212x,3-5,0,74.0,4346.390023,0.0
212x,3-5,1,98.0,6143.33003,8.0
212x,6-10,0,149.0,8522.0400975,10.0
212x,6-10,1,207.0,11969.2500275,16.0
212x,na,0,118.0,4456.3399842,14.0
212x,na,1,167.0,7225.1999699,19.0
213a,0-2,0,102.0,5157.6900992,33.0
213a,0-2,1,122.0,8313.8301666,69.0
213a,11-20,0,43.0,3856.850081,43.0
213a,11-20,1,24.0,2164.500042,24.0
213a,21+,1,18.0,1539.270011,18.0
213a,3-5,0,214.0,15783.8101705,139.0
213a,3-5,1,252.0,19604.86013,178.0
213a,6-10,0,298.0,22960.860294,205.0
213a,6-10,1,322.0,25359.970238,234.0
213b,0-2,0,125.0,6761.5000828,34.0
213b,0-2,1,111.0,7143.770045,51.0
213b,11-20,0,232.0,16547.350137,125.0
213b,11-20,1,326.0,23658.870102,214.0
213b,21+,0,60.0,4299.179998,35.0
213b,21+,1,100.0,8320.220026,94.0
213b,3-5,0,104.0,5941.6600235000005,25.0
213b,3-5,1,120.0,7985.920052,67.0
213b,6-10,0,155.0,9807.4801066,65.0
213b,6-10,1,185.0,12623.090119,110.0
213c,11-20,0,88.0,7184.320095,64.0
213c,11-20,1,129.0,9202.710081,91.0
213c,21+,0,121.0,9165.33014,74.0
213c,21+,1,122.0,9620.910116000001,88.0
213c,6-10,0,45.0,2409.540021,18.0
213c,6-10,1,31.0,1565.6200039999999,8.0
213d,0-2,0,476.0,28533.4403677,210.0
213d,0-2,1,329.0,24772.790245,226.0
213d,11-20,0,477.0,38289.6803107,368.0
213d,11-20,1,754.0,55679.140295,477.0
213d,21+,0,190.0,15075.710168,140.0
213d,21+,1,272.0,20268.170121,171.0
213d,3-5,0,487.0,37078.890396099996,351.0
213d,3-5,1,400.0,30363.120117,259.0
213d,6-10,0,786.0,62253.960752499996,587.0
213d,6-10,1,667.0,52661.430314000005,467.0
213x,0-2,0,1362.0,63848.8706952,267.0
213x,0-2,1,840.0,44352.0604905,236.0
213x,11-20,0,1032.0,81315.540857,719.0
213x,11-20,1,1342.0,99027.000531,858.0
213x,21+,0,59.0,5034.870055,48.0
213x,21+,1,101.0,8452.640089,83.0
213x,3-5,0,329.0,22168.0303281,184.0
213x,3-5,1,362.0,23172.9702615,193.0
213x,6-10,0,507.0,35578.8604518,290.0
213x,6-10,1,698.0,47098.0703279,375.0
213x,na,0,64.0,4067.600068,37.0
213x,na,1,72.0,5003.1900647,49.0
214a,11-20,0,36.0,2541.859927,29.0
214a,11-20,1,88.0,6280.3898309999995,69.0
214a,21+,1,12.0,923.399964,12.0
