inr,expband,fresh,n,ws,wh
144c,21+,1,7772.0,569458.683573,5633.0
144c,3-5,0,16.0,1212.319952,16.0
144c,3-5,1,811.0,60685.11769200001,758.0
144c,6-10,0,45.0,3225.1799300000002,32.0
144c,6-10,1,1814.0,133155.715706,1477.0
144d,0-2,1,285.0,21502.449183,274.0
144d,11-20,0,83.0,5617.339969000001,41.0
144d,11-20,1,1753.0,124597.417463,1074.0
144d,21+,1,82.0,6032.989768,68.0
144d,3-5,1,364.0,27227.449017,339.0
144d,6-10,0,39.0,2742.179958,24.0
144d,6-10,1,899.0,63825.988629,572.0
144x,0-2,0,2471.0,120114.1404422,422.0
144x,0-2,1,5139.0,293123.8066531,1981.0
144x,11-20,0,652.0,41716.77011880001,188.0
144x,11-20,1,9131.0,618086.563779,4052.0
144x,21+,0,63.0,3987.679919,37.0
144x,21+,1,372.0,23752.269587000003,176.0
144x,3-5,0,92.0,5383.840008,29.0
144x,3-5,1,733.0,45863.1895906,302.0
144x,6-10,0,332.0,19777.4702012,71.0
144x,6-10,1,4754.0,315593.207917,1934.0
144x,na,0,91.0,4343.739916500001,35.0
144x,na,1,472.0,29162.5891781,296.0
145a,0-2,0,20.0,1507.09996,15.0
145a,0-2,1,831.0,62231.608649,541.0
145a,11-20,0,299.0,21715.2497895,154.0
145a,11-20,1,4927.0,362635.4242464,2600.0
145a,21+,0,449.0,33878.3398415,224.0
145a,21+,1,3466.0,251754.9564913,1775.0
145a,3-5,0,33.0,2596.339974,21.0
145a,3-5,1,732.0,54813.899082,412.0
145a,6-10,0,58.0,4483.6999430000005,35.0
145a,6-10,1,1218.0,90278.25855,652.0
145a,na,0,11.0,511.46000599999996,0.0
145a,na,1,58.0,2771.389956,14.0
145b,0-2,0,36.0,2706.139944,23.0
145b,0-2,1,1085.0,80637.23820200001,697.0
145b,11-20,0,309.0,21748.039884,123.0
145b,11-20,1,5351.0,385287.1638942,2598.0
145b,21+,0,353.0,26546.219775,167.0
145b,21+,1,2903.0,212176.7067705,1453.0
145b,3-5,0,27.0,2030.8499550000001,18.0
145b,3-5,1,1029.0,76345.82847200001,610.0
145b,6-10,0,54.0,4063.3599059999997,37.0
145b,6-10,1,1760.0,130107.837561,963.0
145c,0-2,0,62.0,4610.879923,36.0
145c,0-2,1,1446.0,108025.05756599999,946.0
145c,11-20,0,332.0,23902.6397922,162.0
145c,11-20,1,5670.0,414446.0333817,2957.0
145c,21+,0,508.0,37931.759824,244.0
145c,21+,1,3809.0,277731.5461997,1953.0
145c,3-5,0,48.0,3560.49996,19.0
145c,3-5,1,1275.0,94844.308268,730.0
145c,6-10,0,118.0,8598.819926,50.0
145c,6-10,1,2397.0,176711.69685100002,1315.0
145c,na,1,52.0,3337.769954,23.0
145d,0-2,1,64.0,4801.139924,35.0
145d,11-20,1,459.0,34104.959639,187.0
145d,21+,0,12.0,899.279988,6.0
145d,21+,1,107.0,7877.9599419999995,33.0
145d,3-5,1,75.0,5637.929883000001,48.0
145d,6-10,1,137.0,10189.099885,58.0
145e,0-2,1,87.0,6525.409866,54.0
145e,11-20,0,11.0,825.169987,6.0
145e,11-20,1,399.0,29539.729649,162.0
145e,21+,1,39.0,2921.829963,19.0
145e,3-5,1,94.0,7062.619862,58.0
145e,6-10,1,155.0,11609.969812,84.0
145f,0-2,0,30.0,2251.5199620000003,17.0
145f,0-2,1,1054.0,78523.768457,639.0
145f,11-20,0,196.0,15046.059852999999,106.0
145f,11-20,1,4349.0,318670.14583,1938.0
145f,21+,0,135.0,10209.409951,56.0
145f,21+,1,1094.0,80641.579434,429.0
145f,3-5,0,27.0,2020.889979,12.0
145f,3-5,1,979.0,72746.678875,503.0
145f,6-10,0,53.0,3960.1499350000004,28.0
145f,6-10,1,1542.0,114869.238236,791.0
145g,0-2,1,126.0,9497.219742000001,96.0
145g,11-20,1,683.0,50672.698914,405.0
145g,21+,1,247.0,18272.319515000003,160.0
145g,3-5,1,133.0,10007.689769,91.0
145g,6-10,1,280.0,20970.41954,179.0
145h,0-2,1,316.0,23842.839254,264.0
145h,11-20,0,35.0,2316.209971,16.0
145h,11-20,1,1100.0,81145.098322,651.0
145h,21+,1,90.0,6574.52981,61.0
145h,3-5,1,344.0,25753.509201,276.0
145h,6-10,0,11.0,825.169987,6.0
145h,6-10,1,638.0,47409.258808,434.0
145i,0-2,1,272.0,20483.879413000002,212.0
145i,11-20,0,46.0,3460.5199220000004,31.0
145i,11-20,1,1264.0,93657.848099,746.0
145i,21+,0,32.0,2487.2399590000005,22.0
145i,21+,1,485.0,35394.57908,318.0
145i,3-5,1,266.0,20035.119457,201.0
145i,6-10,0,19.0,1431.3299630000001,14.0
145i,6-10,1,621.0,46246.958817,421.0
145x,0-2,0,3384.0,157287.2005343,563.0
145x,0-2,1,5791.0,324203.57774812,1849.0
145x,11-20,0,325.0,22537.880021,150.0
145x,11-20,1,2046.0,138351.46879759998,803.0
145x,21+,0,1658.0,117814.0198975,640.0
145x,21+,1,3565.0,231793.4090796,1291.0
145x,3-5,0,189.0,10307.2199375,61.0
145x,3-5,1,719.0,42232.7996872,273.0
145x,6-10,0,195.0,11847.970041,57.0
145x,6-10,1,1052.0,70477.8993836,456.0
145x,na,0,59.0,2207.0499647,16.0
145x,na,1,176.0,8975.7199068,54.0
146a,11-20,0,41.0,2287.739926,7.0
146a,11-20,1,317.0,17931.139455,50.0
146a,21+,0,513.0,27690.409455099998,89.0
146a,21+,1,1096.0,54463.6989148,144.0
146a,6-10,0,19.0,1035.649972,0.0
146a,6-10,1,183.0,10179.229675,25.0
146a,na,1,25.0,510.77,0.0
146b,11-20,1,44.0,2628.219926,7.0
146b,21+,0,67.0,4381.799948,21.0
146b,21+,1,81.0,4591.729908,12.0
146c,11-20,1,97.0,5827.089815,25.0
146c,21+,1,21.0,1095.6999580000002,0.0
146c,6-10,1,30.0,1615.019934,6.0
146d,11-20,1,52.0,2955.21993,11.0
146d,21+,0,74.0,3089.91999,10.0
146d,21+,1,256.0,9594.3799236,12.0
146e,0-2,1,22.0,1063.699956,0.0
146e,11-20,0,25.0,1337.549965,0.0
146e,11-20,1,199.0,10842.039721,14.0
146e,21+,0,560.0,31300.629888,116.0
146e,21+,1,811.0,42703.299585,127.0
146e,3-5,1,10.0,612.299995,0.0
146e,6-10,1,46.0,2352.899923,0.0
146e,na,0,13.0,733.6900069999999,0.0
146e,na,1,47.0,1358.4899999999998,0.0
146f,11-20,1,53.0,3825.869974,20.0
146f,3-5,1,11.0,825.169987,6.0
146f,6-10,1,13.0,963.4300129999999,0.0
146g,0-2,1,361.0,26815.979388,218.0
146g,11-20,0,93.0,6756.54,23.0
146g,11-20,1,1205.0,87766.629004,475.0
146g,21+,0,851.0,59091.449765,218.0
146g,21+,1,2975.0,210602.51864300002,937.0
146g,3-5,0,26.0,1930.959976,11.0
146g,3-5,1,439.0,32501.229383,231.0
146g,6-10,0,67.0,4804.329968,16.0
146g,6-10,1,970.0,70875.73882700001,455.0
146g,na,0,171.0,11866.899941,25.0
146g,na,1,116.0,7480.779992,7.0
146h,0-2,1,127.0,9557.869741999999,95.0
146h,11-20,1,299.0,21876.519601,173.0
146h,21+,0,141.0,10543.069948,72.0
146h,21+,1,729.0,51573.579343,341.0
146h,3-5,1,109.0,8215.769777,83.0
146h,6-10,1,197.0,14790.469657,132.0
146h,na,1,38.0,1871.56,0.0
146i,0-2,1,17.0,1240.990009,0.0
146i,11-20,1,14.0,1024.599985,5.0
146i,21+,0,23.0,1777.890014,6.0
146i,21+,1,79.0,5617.360034,20.0
146i,3-5,1,40.0,2946.29999,9.0
146i,6-10,1,64.0,4565.91998,12.0
146j,0-2,1,136.0,10304.719592000001,136.0
146j,11-20,0,21.0,1591.1699370000001,21.0
146j,11-20,1,299.0,22561.769185000005,274.0
146j,21+,0,357.0,25212.129298,260.0
146j,21+,1,1441.0,98855.08690450001,1046.0
146j,3-5,1,194.0,14699.379418,194.0
146j,6-10,1,148.0,11213.959556,148.0
146j,na,0,59.0,3918.679856,48.0
146j,na,1,174.0,6908.729862,46.0
146k,0-2,1,212.0,15788.379524000002,165.0
146k,11-20,0,37.0,2197.0899790000003,12.0
146k,11-20,1,782.0,54955.968738,446.0
146k,21+,0,630.0,44269.409608,290.0
146k,21+,1,2013.0,138268.5679138,956.0
146k,3-5,1,188.0,14115.749575,148.0
146k,6-10,0,13.0,807.709981,8.0
146k,6-10,1,344.0,25533.349281000003,257.0
146k,na,0,12.0,900.9399840000001,7.0
146k,na,1,22.0,1420.299985,8.0
146l,0-2,1,40.0,3030.79988,40.0
146l,11-20,1,63.0,4765.209831,58.0
146l,21+,0,122.0,8347.499762000001,79.0
146l,21+,1,575.0,39157.598822600004,373.0
146l,3-5,1,38.0,2879.2598860000003,38.0
146l,6-10,1,58.0,4394.659826,58.0
146l,na,0,26.0,1949.9199370000001,21.0
146l,na,1,76.0,2503.309964,12.0
146x,0-2,0,594.0,27212.4399675,61.0
146x,0-2,1,1930.0,105834.807556,252.0
146x,11-20,0,181.0,11046.99983,31.0
146x,11-20,1,1172.0,76568.428466,405.0
146x,21+,0,46.0,2701.839977,8.0
146x,21+,1,210.0,13678.169731,83.0
146x,3-5,0,191.0,10253.229813,11.0
146x,3-5,1,1057.0,59777.578384,140.0
146x,6-10,0,366.0,20959.96971,21.0
146x,6-10,1,1421.0,85068.69809800001,319.0
146x,na,1,34.0,1346.6399608000002,14.0
149a,0-2,0,24.0,1462.4100039999998,0.0
149a,0-2,1,1291.0,80663.857815,121.0
149a,11-20,0,496.0,31248.279217999996,45.0
149a,11-20,1,3172.0,199522.414895,312.0
149a,21+,0,1098.0,68989.528568,205.0
149a,21+,1,1652.0,94797.3781112,216.0
149a,3-5,0,15.0,909.5999899999999,0.0
149a,3-5,1,1291.0,80521.767686,89.0
149a,6-10,0,56.0,3531.159901,5.0
149a,6-10,1,1483.0,93262.25730999999,117.0
149a,na,0,11.0,739.8699730000001,5.0
149a,na,1,28.0,895.989988,0.0
149b,11-20,1,12.0,909.2399640000001,12.0
149b,21+,0,51.0,3824.0698770000004,46.0
149b,21+,1,194.0,14441.139501000001,159.0
149b,na,1,22.0,1666.939934,22.0
149d,0-2,1,1487.0,94166.897045,239.0
149d,11-20,0,15.0,980.5499649999999,5.0
149d,11-20,1,249.0,15596.26951,30.0
149d,21+,1,25.0,1629.049942,8.0
149d,3-5,0,19.0,1143.229962,0.0
149d,3-5,1,1578.0,99381.056946,198.0
149d,6-10,0,29.0,1744.929942,0.0
149d,6-10,1,1432.0,90467.957329,167.0
149x,0-2,0,697.0,35537.2500477,160.0
149x,0-2,1,3461.0,209034.8587451,1070.0
149x,11-20,0,2883.0,155350.2603019,779.0
149x,11-20,1,9065.0,480983.70904746,2304.0
149x,21+,0,1388.0,67457.7001919,276.0
149x,21+,1,3410.0,158900.37942738002,684.0
149x,3-5,0,247.0,13909.3200206,78.0
149x,3-5,1,1284.0,78928.43947900001,428.0
149x,6-10,0,688.0,36740.35014,167.0
149x,6-10,1,2666.0,153246.9590795,823.0
149x,na,0,684.0,27798.1801568,96.0
149x,na,1,2142.0,87657.4893815,299.0
210z,0-2,0,29.0,944.3900156999999,0.0
210z,3-5,0,11.0,445.080012,0.0
210z,na,0,21.0,655.6700156,6.0
210z,na,1,79.0,3212.3300057,16.0
211a,0-2,0,147.0,6037.6800665,20.0
211a,0-2,1,174.0,7273.960107,16.0
211a,11-20,0,60.0,2915.970017,11.0
211a,11-20,1,360.0,19900.0400375,97.0
211a,21+,0,399.0,21761.5799225,119.0
211a,21+,1,1141.0,59056.9398467,287.0
211a,3-5,0,66.0,2115.7600157,0.0
211a,3-5,1,191.0,8906.930049,23.0
211a,6-10,0,165.0,7043.6500598,14.0
211a,6-10,1,299.0,14174.9700123,50.0
211a,na,0,10.0,48.499999,0.0
211a,na,1,188.0,9496.50995,41.0
211b,0-2,0,27.0,1664.250041,12.0
211b,0-2,1,78.0,5980.210118,53.0
211b,11-20,0,86.0,6678.850095,57.0
211b,11-20,1,355.0,27824.070287,262.0
211b,21+,0,35.0,3068.230067,35.0
211b,21+,1,176.0,14966.000186,164.0
211b,3-5,0,27.0,1872.7600290000003,14.0
211b,3-5,1,73.0,5925.180138,60.0
211b,6-10,0,37.0,2919.110059,25.0
211b,6-10,1,238.0,18802.490265,166.0
211x,0-2,0,22.0,843.300011,0.0
211x,0-2,1,33.0,1581.48003,5.0
211x,11-20,1,19.0,662.559992,0.0
211x,na,0,25.0,482.1800133,0.0
211x,na,1,54.0,2208.5800179000003,9.0
212a,0-2,0,246.0,10956.5100673,14.0
212a,0-2,1,534.0,31803.4601097,31.0
212a,11-20,0,148.0,9846.900043,22.0
212a,11-20,1,655.0,44877.469959,110.0
212a,21+,0,431.0,28423.53004,50.0
212a,21+,1,1462.0,96613.53994,203.0
212a,3-5,0,201.0,10674.5600799,20.0
212a,3-5,1,559.0,35454.5900846,76.0
212a,6-10,0,328.0,19131.4101748,48.0
212a,6-10,1,820.0,52117.27014,113.0
212a,na,0,48.0,3195.660006,0.0
212a,na,1,55.0,3535.0,0.0
212b,0-2,0,136.0,5230.1901054,0.0
212b,0-2,1,181.0,8463.3601247,11.0
212b,11-20,0,375.0,24044.620247,119.0
212b,11-20,1,495.0,34316.010194,189.0
212b,21+,0,451.0,30162.680388,92.0
212b,21+,1,454.0,30670.130181,157.0
212b,3-5,0,113.0,4524.4300577,8.0
212b,3-5,1,83.0,3960.07008,0.0
212b,6-10,0,142.0,6426.1200545,7.0
212b,6-10,1,136.0,7377.960106,11.0
212c,0-2,1,25.0,2196.86002,25.0
212c,11-20,0,63.0,5241.790065,53.0
212c,11-20,1,201.0,16284.270090999999,151.0
212c,21+,0,55.0,4672.020065,50.0
212c,21+,1,140.0,11854.160068,123.0
212c,3-5,1,28.0,2531.4899880000003,28.0
212c,6-10,0,58.0,4409.570055,32.0
212c,6-10,1,127.0,10024.060046,86.0
212x,0-2,0,468.0,22054.9701851,54.0
212x,0-2,1,384.0,20467.0400976,18.0
212x,11-20,0,128.0,7944.340078000001,16.0
212x,11-20,1,266.0,15829.110007000001,26.0
212x,21+,0,11.0,723.75001,0.0
212x,21+,1,68.0,4411.950016,0.0
212x,3-5,0,62.0,3482.0900626,5.0
212x,3-5,1,62.0,3957.920051,0.0
212x,6-10,0,103.0,6312.870013000001,5.0
212x,6-10,1,140.0,8266.270073,0.0
212x,na,0,91.0,3590.2199932000003,10.0
212x,na,1,155.0,6819.8299765,13.0
213a,0-2,0,85.0,3769.5100566,19.0
213a,0-2,1,166.0,11159.520145,87.0
213a,11-20,0,148.0,12501.970156,124.0
213a,11-20,1,132.0,10701.220149,106.0
213a,3-5,0,187.0,13826.4402148,130.0
213a,3-5,1,228.0,17303.810241,161.0
213a,6-10,0,295.0,23216.840248,212.0
213a,6-10,1,436.0,33962.920295,311.0
213b,0-2,0,156.0,6806.0600256,21.0
213b,0-2,1,189.0,11371.2901102,81.0
213b,11-20,0,237.0,16303.890144,125.0
213b,11-20,1,377.0,26805.050207,233.0
213b,21+,0,67.0,5023.150018,46.0
213b,21+,1,106.0,8480.770014,94.0
213b,3-5,0,120.0,7148.540008,36.0
213b,3-5,1,155.0,11026.600102,101.0
213b,6-10,0,132.0,8454.1800705,58.0
213b,6-10,1,210.0,14325.110141000001,117.0
213c,11-20,0,105.0,8104.030131,72.0
213c,11-20,1,160.0,11938.330112,104.0
213c,21+,0,77.0,5959.800094,47.0
213c,21+,1,146.0,11251.940096,99.0
213c,6-10,0,10.0,289.59999,0.0
213c,6-10,1,12.0,347.519988,0.0
213d,0-2,0,563.0,31000.530447499998,195.0
213d,0-2,1,439.0,31576.1603557,292.0
213d,11-20,0,620.0,50828.580507,496.0
213d,11-20,1,945.0,73041.690361,644.0
213d,21+,0,197.0,15794.500145,149.0
213d,21+,1,337.0,24975.630169,216.0
213d,3-5,0,513.0,38820.260414,361.0
213d,3-5,1,407.0,32269.360285,310.0
213d,6-10,0,690.0,55205.440586,529.0
213d,6-10,1,707.0,54789.410415,484.0
213x,0-2,0,1284.0,58712.9507032,236.0
213x,0-2,1,1114.0,58040.6706002,316.0
213x,11-20,0,876.0,67948.1706786,583.0
213x,11-20,1,1469.0,105653.03076929999,894.0
213x,21+,0,169.0,14095.810201,133.0
213x,21+,1,303.0,24851.830142,253.0
213x,3-5,0,281.0,17705.1601941,137.0
213x,3-5,1,309.0,20443.660191,160.0
213x,6-10,0,445.0,32313.7504433,270.0
213x,6-10,1,717.0,48642.270472100005,380.0
213x,na,0,44.0,3017.7000567,31.0
213x,na,1,78.0,5222.2800882,49.0
214a,0-2,1,14.0,1090.079988,14.0
214a,11-20,0,29.0,2120.449943,24.0
214a,11-20,1,85.0,6038.209852999999,67.0
214a,21+,1,25.0,1917.849925,25.0
214a,6-10,0,21.0,1224.5099969999999,9.0
214a,6-10,1,33.0,2457.799951,28.0
214b,0-2,1,10.0,443.30002,0.0
214b,11-20,0,30.0,2587.85994,24.0
214b,11-20,1,86.0,5984.819848,50.0
214b,21+,0,44.0,3957.799868,44.0
214b,21+,1,101.0,8604.669719,88.0
214b,6-10,0,15.0,893.050005,5.0
214b,6-10,1,39.0,2357.830004,8.0
214c,0-2,0,26.0,968.8600235,0.0
214c,0-2,1,31.0,2039.150062,14.0
214c,11-20,0,97.0,8224.630049,84.0
214c,11-20,1,206.0,17024.769996,168.0
214c,21+,0,23.0,2009.049954,23.0
214c,21+,1,76.0,6532.289893,76.0
214c,3-5,0,19.0,1429.430038,12.0
214c,3-5,1,23.0,2103.610018,23.0
214c,6-10,0,49.0,3956.100088,36.0
214c,6-10,1,72.0,6076.080067,65.0
214x,0-2,0,499.0,23588.5702652,110.0
214x,0-2,1,542.0,35919.2700568,297.0
214x,11-20,0,402.0,31662.3499225,308.0
214x,11-20,1,844.0,67393.709627,658.0
214x,21+,0,66.0,5713.359924,60.0
214x,21+,1,147.0,12117.379867,121.0
214x,3-5,0,300.0,21085.5100647,190.0
214x,3-5,1,448.0,36133.579973,369.0
214x,6-10,0,437.0,33420.560051,314.0
214x,6-10,1,746.0,60259.619825,594.0
214x,na,0,62.0,4627.3499234,51.0
214x,na,1,181.0,15035.7799334,165.0
215z,0-2,0,142.0,5378.110063900001,12.0
215z,0-2,1,128.0,6141.820012,19.0
215z,11-20,0,179.0,8846.740054,31.0
215z,11-20,1,439.0,21312.910034,99.0
215z,21+,1,63.0,2807.170001,7.0
215z,3-5,0,80.0,2846.8200661,0.0
215z,3-5,1,141.0,6529.710067,26.0
215z,6-10,0,132.0,5590.2700598,15.0
215z,6-10,1,252.0,12197.8700405,57.0
215z,na,1,12.0,390.790002,0.0
219z,0-2,0,1282.0,61966.2805507,251.0
219z,0-2,1,1274.0,71496.1802928,400.0
219z,11-20,0,1292.0,83256.1204145,582.0
219z,11-20,1,2536.0,153159.0802641,992.0
219z,21+,0,674.0,40019.720058,263.0
219z,21+,1,1313.0,72316.830122,438.0
219z,3-5,0,443.0,25225.7101732,156.0
219z,3-5,1,699.0,44831.790253600004,294.0
219z,6-10,0,933.0,58449.6003489,409.0
219z,6-10,1,1458.0,93005.8603474,627.0
219z,na,0,280.0,14727.440047,94.0
219z,na,1,570.0,24165.8298997,75.0
220z,0-2,0,35.0,1446.9999979,10.0
220z,0-2,1,19.0,565.6700185,0.0
220z,na,0,38.0,713.260005,0.0
220z,na,1,86.0,2956.3699974,6.0
221a,0-2,0,81.0,4291.950012,13.0
221a,0-2,1,252.0,15791.680194999999,33.0
221a,11-20,0,154.0,10023.1701,21.0
221a,11-20,1,1004.0,63965.98073599999,105.0
221a,21+,0,697.0,43863.090658999994,30.0
221a,21+,1,1387.0,86865.07115199999,105.0
221a,3-5,0,33.0,1891.0900249999997,0.0
221a,3-5,1,286.0,17933.890191,52.0
221a,6-10,0,52.0,3346.720043,7.0
221a,6-10,1,387.0,25275.810267,70.0
221b,0-2,1,70.0,3698.8,0.0
221b,11-20,0,37.0,2019.060015,0.0
221b,11-20,1,114.0,6992.970103,0.0
221b,21+,0,222.0,12345.650082,18.0
221b,21+,1,295.0,15481.850048,11.0
221b,3-5,1,107.0,5729.480008,0.0
221b,6-10,0,13.0,753.070007,0.0
221b,6-10,1,61.0,3487.8400279999996,0.0
221x,0-2,0,91.0,3329.7000302,0.0
221x,0-2,1,123.0,5057.5900067,10.0
221x,11-20,0,38.0,2216.320004,6.0
221x,11-20,1,253.0,16034.879927,105.0
221x,21+,0,93.0,6381.820094,36.0
221x,21+,1,154.0,10934.990047,68.0
221x,3-5,1,32.0,1811.840033,5.0
221x,6-10,1,67.0,4344.1099380000005,25.0
221x,na,0,35.0,2180.1500349999997,0.0
221x,na,1,10.0,622.90001,0.0
222a,0-2,1,41.0,3505.880077,32.0
222a,11-20,0,31.0,2777.2600820000002,25.0
222a,11-20,1,173.0,15049.10001,160.0
222a,21+,0,18.0,1665.050043,18.0
222a,21+,1,47.0,4192.630052,41.0
222a,3-5,0,15.0,1167.25002,10.0
222a,3-5,1,58.0,5034.120057,53.0
222a,6-10,0,49.0,4108.670087,33.0
222a,6-10,1,108.0,9310.980006,108.0
222b,0-2,0,40.0,2271.180046,17.0
222b,0-2,1,119.0,8929.570046,79.0
222b,11-20,0,231.0,15015.0300783,105.0
222b,11-20,1,1173.0,79021.2301611,588.0
222b,21+,0,311.0,23075.560204,170.0
222b,21+,1,937.0,65422.4301731,510.0
222b,3-5,0,11.0,717.370028,6.0
222b,3-5,1,123.0,9582.970048000001,88.0
222b,6-10,0,94.0,6819.25006,57.0
222b,6-10,1,500.0,35022.7201247,249.0
222c,11-20,1,96.0,7787.97997,70.0
222c,21+,0,13.0,1019.030038,6.0
222c,21+,1,85.0,6676.040025,59.0
222c,6-10,1,33.0,2680.029999,26.0
222d,11-20,1,100.0,7828.199908,84.0
222d,21+,0,32.0,2834.580053,32.0
222d,21+,1,157.0,12328.120094,108.0
222d,6-10,1,27.0,2245.549982,27.0
222e,11-20,1,42.0,3407.339923,37.0
222e,21+,1,26.0,2248.7600190000003,26.0
222e,6-10,1,30.0,2387.21997,22.0
222f,21+,1,45.0,3467.240006,26.0
222h,11-20,0,17.0,1098.690007,7.0
222h,11-20,1,101.0,6339.619981,36.0
222h,21+,0,10.0,399.55,0.0
222h,21+,1,68.0,4248.019981,25.0
222h,6-10,1,45.0,3061.819975,26.0
222k,0-2,0,50.0,3536.330108,32.0
222k,0-2,1,108.0,6612.730157,52.0
222k,11-20,0,18.0,1480.9000230000001,18.0
222k,11-20,1,96.0,7514.910131,84.0
222k,21+,0,20.0,1752.320056,20.0
222k,21+,1,43.0,2950.780036,30.0
222k,3-5,0,130.0,8945.0102766,85.0
222k,3-5,1,150.0,9607.490305,90.0
222k,6-10,0,78.0,6777.780297,78.0
222k,6-10,1,122.0,9037.930272,94.0
222x,0-2,0,225.0,9376.6200967,43.0
222x,0-2,1,318.0,17364.4902486,97.0
222x,11-20,0,66.0,5051.680047,51.0
222x,11-20,1,374.0,26597.239943,212.0
222x,21+,0,102.0,8382.180134,81.0
222x,21+,1,324.0,22903.290121,190.0
222x,3-5,0,18.0,1476.380016,13.0
222x,3-5,1,77.0,5995.730013,54.0
222x,6-10,0,56.0,4189.1900940000005,34.0
222x,6-10,1,207.0,16226.260024,153.0
222x,na,0,58.0,2067.9700238,5.0
222x,na,1,203.0,8647.7000595,37.0
