grp,expband,fresh,n,ws,wh
35B,21+,0,271.0,21415.120758999998,245.0
35B,21+,1,1680.0,130732.094568,1486.0
35B,3-5,1,534.0,43828.11182300001,513.0
35B,6-10,0,43.0,3718.0001340000003,43.0
35B,6-10,1,968.0,79909.233156,940.0
35E,0-2,0,4360.0,307176.5514058,2554.0
35E,0-2,1,10318.0,853346.5098841,8384.0
35E,11-20,0,15511.0,1191299.89859631,10208.0
35E,11-20,1,36910.0,2822303.88026124,25115.0
35E,21+,0,17966.0,1389335.8382267,11793.0
35E,21+,1,37929.0,2869285.33716106,25356.0
35E,3-5,0,5147.0,415098.9299859,3821.0
35E,3-5,1,11202.0,939812.1403609,9231.0
35E,6-10,0,10392.0,838691.8997419,7585.0
35E,6-10,1,20512.0,1662451.69061048,15633.0
35E,na,0,1983.0,125075.5502522,953.0
35E,na,1,5157.0,295413.40993188,2144.0
35F,0-2,0,1329.0,82790.7803571,575.0
35F,0-2,1,4977.0,341503.6002798,2505.0
35F,11-20,0,2098.0,157048.3200252,1258.0
35F,11-20,1,11456.0,830217.1486887,6283.0
35F,21+,0,1237.0,96308.5900406,877.0
35F,21+,1,5327.0,394610.3494909,3377.0
35F,3-5,0,1337.0,96909.3801987,816.0
35F,3-5,1,5391.0,390554.7605285,2970.0
35F,6-10,0,1947.0,146650.4900357,1257.0
35F,6-10,1,8664.0,629257.8099954,4762.0
35F,na,1,10.0,816.8000000000001,10.0
35J,0-2,0,940.0,65508.900445700005,684.0
35J,0-2,1,3322.0,263269.2339526,2997.0
35J,11-20,0,3506.0,266096.2586034,2899.0
35J,11-20,1,10540.0,792882.5846429,8149.0
35J,21+,0,4577.0,346665.0482214,3604.0
35J,21+,1,11516.0,852459.3233279,8533.0
35J,3-5,0,1362.0,105390.30031800001,1238.0
35J,3-5,1,3652.0,292310.143414,3216.0
35J,6-10,0,2438.0,190136.71961,2228.0
35J,6-10,1,6351.0,496768.8238581,5321.0
35J,na,0,396.0,15031.0100764,71.0
35J,na,1,1006.0,40687.3199737,193.0
35M,0-2,0,1155.0,74098.7707882,585.0
35M,0-2,1,1610.0,124480.4108633,1187.0
35M,11-20,0,1818.0,149120.77080589999,1434.0
35M,11-20,1,4923.0,389923.66189,3788.0
35M,21+,0,946.0,79335.5502924,764.0
35M,21+,1,2638.0,213964.4707229,2140.0
35M,3-5,0,1138.0,89396.3207944,865.0
