"term","rb_x_high_x_young","m01_x_high_x_young","m02_x_high_x_young","m03_x_high_x_young","m04_x_high_x_young","m05_x_high_x_young","m06_x_high_x_young","m07_x_high_x_young","m08_x_high_x_young","m09_x_high_x_young","m10_x_high_x_young","m11_x_high_x_young","pm_2022_12_x_high_x_young","pm_2023_01_x_high_x_young","pm_2023_02_x_high_x_young","pm_2023_03_x_high_x_young","pm_2023_04_x_high_x_young","pm_2023_05_x_high_x_young","pm_2023_06_x_high_x_young","pm_2023_07_x_high_x_young","pm_2023_08_x_high_x_young","pm_2023_09_x_high_x_young","pm_2023_10_x_high_x_young","pm_2023_11_x_high_x_young","pm_2023_12_x_high_x_young","pm_2024_01_x_high_x_young","pm_2024_02_x_high_x_young","pm_2024_03_x_high_x_young","pm_2024_04_x_high_x_young","pm_2024_05_x_high_x_young","pm_2024_06_x_high_x_young","pm_2024_07_x_high_x_young","pm_2024_08_x_high_x_young","pm_2024_09_x_high_x_young","pm_2024_10_x_high_x_young","pm_2024_11_x_high_x_young","pm_2024_12_x_high_x_young","pm_2025_01_x_high_x_young","pm_2025_02_x_high_x_young","pm_2025_03_x_high_x_young","pm_2025_04_x_high_x_young","pm_2025_05_x_high_x_young","pm_2025_06_x_high_x_young"
"m10_x_high_x_young",-3.34173926732294e-06,2.16493912405124e-06,4.7848808693038e-06,4.47270562692873e-06,6.49693449621552e-06,5.63819551062312e-06,4.46556733094987e-06,5.17118023346584e-06,5.26848709164039e-06,5.18130033558286e-06,1.00953014758773e-05,4.32604858621771e-06,4.29380920746253e-06,1.5169098311215e-06,1.45122542609936e-06,1.97714105000537e-06,1.87094362874022e-06,4.67191622880165e-07,2.69514536788662e-06,2.65574368842517e-06,2.45392266884586e-06,2.52793249577762e-06,-1.31736614100885e-06,2.87602843620341e-06,5.71838222705482e-06,1.99050336619195e-06,1.4724311505322e-06,1.75239445963449e-06,9.72674810458612e-07,7.45790288723807e-07,3.32956107611888e-06,2.42184454668735e-06,2.59718438013341e-06,2.2536344749968e-06,-3.51303137022474e-07,2.47030022858233e-06,6.41923146462139e-06,1.92964097791397e-06,1.77221993558967e-06,2.08347367160117e-06,1.91697401213561e-06,2.19775136798335e-06,7.81767408928589e-06
"m11_x_high_x_young",-2.67325572026657e-06,1.83045542208828e-06,2.6744893894192e-06,2.81392464224337e-06,3.81923563267544e-06,4.32125209326151e-06,3.27457409440864e-06,4.04353046336013e-06,4.02639445806954e-06,3.84456387951814e-06,4.32604858621771e-06,4.15569211695602e-06,4.42555972312743e-06,1.78971357544455e-06,2.11132308046926e-06,1.84448866469124e-06,1.65300645052648e-06,-3.02599418759133e-07,1.67314909004852e-06,1.34299587944925e-06,1.32907233774106e-06,1.25840920260038e-06,7.78712974956858e-07,1.24334290531743e-06,4.01446269607925e-06,1.13270525670891e-06,1.64300238599846e-06,1.24398224909547e-06,7.45336059106803e-07,-1.55000495291013e-07,7.65187578824105e-07,7.46434816229957e-07,8.6075213800638e-07,1.12101689581085e-06,1.02923041291569e-06,1.27635017078818e-06,4.3476494143068e-06,1.15555178817219e-06,2.01235402985758e-06,1.25843846925788e-06,1.10176416678975e-06,5.41150054892449e-07,4.58958219047848e-06
"pm_2022_12_x_high_x_young",-3.34430257014933e-06,2.96677248641541e-06,2.57866483664657e-06,3.05384086629525e-06,4.71105920666214e-06,5.0606398846278e-06,5.08585880861406e-06,5.02414301771145e-06,5.15372241632848e-06,4.64626668002564e-06,4.29380920746253e-06,4.42555972312743e-06,9.40038383155206e-06,5.05293403819082e-06,6.46905743908971e-06,6.13042174950704e-06,5.01436035467397e-06,4.02126095536127e-06,5.69638028079287e-06,5.85418391860315e-06,5.89037101587951e-06,5.85571080795703e-06,5.7585305548089e-06,6.13926370198101e-06,1.03097384307996e-05,6.98817497832986e-06,7.98207302172579e-06,7.75463753160472e-06,6.11071946475094e-06,5.29777139277063e-06,6.44000191952981e-06,6.78569022319796e-06,7.23780291479115e-06,7.33661125374425e-06,7.95361056425897e-06,7.32854890014391e-06,1.21796658859253e-05,8.68202298193889e-06,9.24444086285308e-06,9.37197362832772e-06,8.37379146397447e-06,8.37441329840242e-06,1.33079612584491e-05
"pm_2023_01_x_high_x_young",2.40414232361623e-06,4.81203959910162e-06,-1.27183373592609e-06,4.91257654280316e-07,-3.60993540340163e-07,-8.38105548967896e-07,-2.3145195802936e-07,-2.26773235725352e-06,-2.12356183423998e-06,-8.00658842696183e-08,1.5169098311215e-06,1.78971357544455e-06,5.05293403819082e-06,3.05487431908388e-05,2.74100231285447e-05,2.59550192280225e-05,2.74012469398682e-05,2.70808124915373e-05,2.74600992914755e-05,2.79740270149134e-05,2.94442601733058e-05,2.88969513220506e-05,2.77748170051521e-05,3.00288290843826e-05,3.06099936778445e-05,3.33985937633776e-05,3.36280070906486e-05,3.18881866292698e-05,3.32838775364749e-05,3.29616912046751e-05,3.29274155641789e-05,3.3720256308506e-05,3.34043328329026e-05,3.26066120363829e-05,3.35714678700763e-05,3.38941001289893e-05,3.3981118338176e-05,3.7894375957577e-05,4.2021557532458e-05,3.75385283024692e-05,3.75381302578715e-05,3.77213730509678e-05,3.97939127997306e-05
"pm_2023_02_x_high_x_young",6.53777368681518e-07,3.22245087422336e-06,-6.47743812573102e-06,-1.17103540187334e-06,-8.67468316070137e-07,-8.24229810400274e-07,-3.08652908228514e-07,-1.92540216923511e-06,-1.24093406912243e-06,-5.51211347942013e-07,1.45122542609936e-06,2.11132308046926e-06,6.46905743908971e-06,2.74100231285447e-05,3.37643919562795e-05,2.9092241103022e-05,2.85972168843787e-05,2.87661821954398e-05,2.8786677546015e-05,2.93868537756606e-05,3.09554026327178e-05,3.10547689467768e-05,2.90150806029397e-05,3.04078479248597e-05,3.21404265706365e-05,3.31835662263871e-05,3.92523052459702e-05,3.44930363281567e-05,3.42382048707509e-05,3.3887623696776e-05,3.37527864414709e-05,3.45637769477636e-05,3.44375988161107e-05,3.42998337881079e-05,3.38650946498964e-05,3.3857118363893e-05,3.50946597707894e-05,3.78068652243747e-05,4.48282148220776e-05,3.88056627680153e-05,3.76243064238803e-05,3.81521091567235e-05,3.52471659912663e-05
"pm_2023_03_x_high_x_young",1.34087004906491e-07,2.21635134843235e-06,-2.36154356056717e-06,-1.65021196771369e-06,-1.32054190531903e-06,-7.49391712140673e-07,2.45316227952455e-08,-9.72655745812543e-07,1.32906164385426e-07,1.33881904763546e-06,1.97714105000537e-06,1.84448866469124e-06,6.13042174950704e-06,2.59550192280225e-05,2.9092241103022e-05,3.11001759753049e-05,2.89740410891014e-05,2.91208326649308e-05,2.96871666372859e-05,3.01796514382073e-05,3.15259581560525e-05,3.03228427678608e-05,2.93916390537446e-05,3.10897958330571e-05,3.28677540126956e-05,3.27830891859732e-05,3.50711261564364e-05,3.51511803776239e-05,3.41017788748933e-05,3.35024381483912e-05,3.40281184466949e-05,3.46884277527916e-05,3.48490967431171e-05,3.39069015734403e-05,3.37841420205778e-05,3.38947883735334e-05,3.58930904222017e-05,3.82448082591207e-05,4.0986934735014e-05,4.10003587498395e-05,3.92860035069301e-05,3.96620305019235e-05,4.01428307130674e-05
"pm_2023_04_x_high_x_young",1.10452985585759e-05,4.19582522671262e-06,1.85588508937771e-06,3.62173400901327e-06,-4.64387608056287e-06,-2.65498070589309e-06,-1.13935785074565e-06,-1.62995029247914e-06,7.47792599786706e-08,1.19893599366105e-06,1.87094362874022e-06,1.65300645052648e-06,5.01436035467397e-06,2.74012469398682e-05,2.85972168843787e-05,2.89740410891014e-05,3.97082309309738e-05,3.47200961651731e-05,3.75196037800249e-05,3.69260788459046e-05,3.72567362691689e-05,3.64170669687096e-05,3.46885289891636e-05,3.75240222873564e-05,3.75217403241716e-05,3.74480012144926e-05,4.0088828235845e-05,3.95391568958596e-05,4.82614736975882e-05,4.46065919037808e-05,4.45210657481283e-05,4.43222790951933e-05,4.43417232560977e-05,4.28411205225804e-05,4.33605771194118e-05,4.31953473545748e-05,4.3080716674043e-05,4.51321567472634e-05,4.82413185196689e-05,4.59671397797827e-05,5.37088505794441e-05,5.1815036392361e-05,3.51035886845145e-05
"pm_2023_05_x_high_x_young",1.08648495581314e-05,7.50628340958443e-06,4.2464985334548e-07,1.78988401651733e-06,-2.80514349110597e-06,-1.28608565104298e-05,-1.11911921092553e-06,-4.43844404696102e-06,-2.60278021623016e-06,-9.88029731556785e-07,4.67191622880165e-07,-3.02599418759133e-07,4.02126095536127e-06,2.70808124915373e-05,2.87661821954398e-05,2.91208326649308e-05,3.47200961651731e-05,5.63162863736e-05,3.61708984956405e-05,3.80941811436503e-05,3.88426593661142e-05,3.7953261559364e-05,3.59387140414707e-05,3.85765194395381e-05,3.85212605736603e-05,3.93286035690109e-05,4.14248119989099e-05,4.14032646415207e-05,4.59938864736067e-05,6.32099486719859e-05,4.67291145420878e-05,4.72233831076464e-05,4.70927096789807e-05,4.52265046616152e-05,4.5265471214593e-05,4.50489914783422e-05,4.51765965781043e-05,4.67125386465486e-05,4.95408232584566e-05,4.82854924473357e-05,5.1890948042115e-05,6.22454582818512e-05,4.25207342010511e-05
"pm_2023_06_x_high_x_young",9.3185213760376e-06,4.53385497767633e-06,2.83294751374882e-06,4.3585369623002e-06,-2.04605924173281e-06,-1.68041898149746e-06,-5.36627617550232e-07,-1.32207659602755e-06,7.28324091172387e-07,1.37628273900659e-06,2.69514536788662e-06,1.67314909004852e-06,5.69638028079287e-06,2.74600992914755e-05,2.8786677546015e-05,2.96871666372859e-05,3.75196037800249e-05,3.61708984956405e-05,4.10069719449437e-05,3.98448985209298e-05,4.04111404318142e-05,3.96851130772358e-05,3.73661945174458e-05,4.07262715038757e-05,4.11202315512586e-05,4.04231192149641e-05,4.31050314624956e-05,4.27484125927878e-05,4.95872551012925e-05,4.80287621052866e-05,4.92763661342294e-05,4.89576603486318e-05,4.90919854081282e-05,4.76262096902123e-05,4.82545934176425e-05,4.73713699658301e-05,4.86578206961512e-05,5.01328798348988e-05,5.24290359157753e-05,5.13891437802078e-05,5.70882937706517e-05,5.72197705853481e-05,4.09771918038813e-05
"pm_2023_07_x_high_x_young",8.68548445209019e-06,8.00727098926133e-06,3.91169668246626e-06,5.22671763572279e-06,-5.11578404113493e-08,-1.10308448893884e-06,2.43028443683099e-06,-1.95079447569511e-06,5.52435681898007e-07,1.4583285951671e-06,2.65574368842517e-06,1.34299587944925e-06,5.85418391860315e-06,2.79740270149134e-05,2.93868537756606e-05,3.01796514382073e-05,3.69260788459046e-05,3.80941811436503e-05,3.98448985209298e-05,4.36743154184697e-05,4.29855524879556e-05,4.20121428430134e-05,3.97254803168019e-05,4.27937353925508e-05,4.36928622107503e-05,4.30237037365109e-05,4.51839171628171e-05,4.51190317000658e-05,5.08478069525941e-05,5.04555811862198e-05,5.10623339523797e-05,5.31204148600912e-05,5.26863716735903e-05,5.08223641650634e-05,5.10510333605785e-05,5.07276655040558e-05,5.20749515250673e-05,5.29892437348771e-05,5.52102238911777e-05,5.41064069721611e-05,5.89329960748828e-05,6.01224795736844e-05,4.27937024300575e-05
"pm_2023_08_x_high_x_young",7.71681710654332e-06,9.30203774978326e-06,3.35278145586063e-06,4.37789089329623e-06,2.21476313594986e-07,-7.60176085738269e-07,2.33158248994153e-06,-1.70661290385678e-06,-5.89927327248162e-07,8.40480722576837e-07,2.45392266884586e-06,1.32907233774106e-06,5.89037101587951e-06,2.94442601733058e-05,3.09554026327178e-05,3.15259581560525e-05,3.72567362691689e-05,3.88426593661142e-05,4.04111404318142e-05,4.29855524879556e-05,4.61308373305583e-05,4.44793581355687e-05,4.20854974331038e-05,4.54740997502949e-05,4.62808248957313e-05,4.53685030304678e-05,4.79579261799753e-05,4.76757673263289e-05,5.22998059765025e-05,5.21916015878494e-05,5.29553670329598e-05,5.46494116240088e-05,5.51113489362723e-05,5.33332836982209e-05,5.37752142424789e-05,5.33510025785019e-05,5.4758618821872e-05,5.54570176479675e-05,5.91261128123245e-05,5.70425405858487e-05,6.04909665581961e-05,6.17703420513717e-05,3.65777964836912e-05
"pm_2023_09_x_high_x_young",7.17248354652172e-06,1.12445848671449e-05,3.20613441318931e-06,5.52250789162788e-06,2.12422233914973e-06,4.33132308497593e-07,3.38935097873478e-06,-1.20074244539172e-06,-1.72517148917243e-07,-4.84270483136947e-07,2.52793249577762e-06,1.25840920260038e-06,5.85571080795703e-06,2.88969513220506e-05,3.10547689467768e-05,3.03228427678608e-05,3.64170669687096e-05,3.7953261559364e-05,3.96851130772358e-05,4.20121428430134e-05,4.44793581355687e-05,4.75594561543054e-05,4.27131680569523e-05,4.69061381128495e-05,4.7631501448932e-05,4.72628164979164e-05,5.08486813575404e-05,4.94212227865943e-05,5.40544014274392e-05,5.41614521665282e-05,5.49041336687018e-05,5.62289057533917e-05,5.68053389464855e-05,5.69362913294168e-05,5.71516267218345e-05,5.65980832448542e-05,5.7733306331859e-05,5.89372123499381e-05,6.34399540803294e-05,5.9960008271019e-05,6.31203345456134e-05,6.47423610829829e-05,3.61388704072359e-05
"pm_2023_10_x_high_x_young",7.58502274310836e-06,1.12313256456483e-05,4.31024536484283e-06,5.16227504880937e-06,1.42967851485178e-07,6.83854439497835e-07,4.42711534846459e-06,-2.59301010384705e-07,8.30780265396477e-07,1.5444859086777e-06,-1.31736614100885e-06,7.78712974956858e-07,5.7585305548089e-06,2.77748170051521e-05,2.90150806029397e-05,2.93916390537446e-05,3.46885289891636e-05,3.59387140414707e-05,3.73661945174458e-05,3.97254803168019e-05,4.20854974331038e-05,4.27131680569523e-05,4.71658440631812e-05,4.58368067462503e-05,4.69222626380808e-05,4.65826964149419e-05,4.95368619936011e-05,4.95336084078972e-05,5.41840680431799e-05,5.32346879072453e-05,5.24041461142679e-05,5.4744794333635e-05,5.50694110175587e-05,5.52805519482542e-05,5.87735024769614e-05,5.70581297272503e-05,5.75220972259873e-05,5.82778518116175e-05,6.20562725943698e-05,5.99384532134601e-05,6.30324831293539e-05,6.32690817358212e-05,3.71815278194972e-05
"pm_2023_11_x_high_x_young",6.91636728906519e-06,1.14009115118282e-05,5.26653925019406e-06,6.31792858623758e-06,2.5702407878494e-06,1.43570038280707e-06,4.7448803039111e-06,1.9149675358569e-07,1.22036077441681e-06,1.61540328129318e-06,2.87602843620341e-06,1.24334290531743e-06,6.13926370198101e-06,3.00288290843826e-05,3.04078479248597e-05,3.10897958330571e-05,3.75240222873564e-05,3.85765194395381e-05,4.07262715038757e-05,4.27937353925508e-05,4.54740997502949e-05,4.69061381128495e-05,4.58368067462503e-05,6.1032373175868e-05,5.19590351239415e-05,5.12119381596674e-05,5.40099399310316e-05,5.38489421153883e-05,5.86536390293754e-05,5.88011531177622e-05,5.94428794085131e-05,6.07393630387164e-05,6.11861082395418e-05,6.10434911971997e-05,6.29363908901579e-05,6.3365392307349e-05,6.41512462526012e-05,6.50195007399891e-05,6.93007662263783e-05,6.66526409428552e-05,7.02669512258741e-05,7.13335631907167e-05,4.36894977859832e-05
"pm_2023_12_x_high_x_young",4.85426609548726e-06,1.4605416381355e-05,7.46480756638864e-06,8.33702698254783e-06,5.70363022611808e-06,5.02127887701736e-06,8.20555427603561e-06,3.28444904892989e-06,4.14636687576625e-06,4.84138616419501e-06,5.71838222705482e-06,4.01446269607925e-06,1.03097384307996e-05,3.06099936778445e-05,3.21404265706365e-05,3.28677540126956e-05,3.75217403241716e-05,3.85212605736603e-05,4.11202315512586e-05,4.36928622107503e-05,4.62808248957313e-05,4.7631501448932e-05,4.69222626380808e-05,5.19590351239415e-05,5.72122216796043e-05,5.36195618322098e-05,5.59825439562975e-05,5.61645987364165e-05,5.98124948917549e-05,5.90955173590481e-05,6.07338232972776e-05,6.25698282434818e-05,6.31438238685429e-05,6.28608408160476e-05,6.46256148133094e-05,6.49916943711419e-05,6.96701155327105e-05,6.79804335001667e-05,7.13709802045636e-05,6.92682879518782e-05,7.14235961073156e-05,7.26003812208149e-05,4.82728125873388e-05
