year_month,age_group,vintage,n_emp,share
2024-02,35-40,2021,220,0.00029141388719633346
2024-02,35-40,2022,431,0.0005709062971891806
2024-02,35-40,2023,754289,0.9991376798156145
2024-02,41-49,2021,297,0.00028327909381211633
2024-02,41-49,2022,514,0.000490254054610868
2024-02,41-49,2023,1047625,0.999226466851577
2024-02,50+,2021,514,0.0002503992260033263
2024-02,50+,2022,721,0.0003512409376427982
2024-02,50+,2023,2051487,0.9993983598363538
2024-03,22-25,2021,55,0.00016112022498242324
2024-03,22-25,2022,162,0.00047457229903913756
2024-03,22-25,2023,341143,0.9993643074759785
2024-03,26-30,2021,141,0.00026755116678874085
2024-03,26-30,2022,325,0.0006166959518180197
2024-03,26-30,2023,526536,0.9991157528813932
2024-03,31-34,2021,190,0.0003571603123460921
2024-03,31-34,2022,332,0.0006240906510468556
2024-03,31-34,2023,531452,0.999018749036607
2024-03,35-40,2021,256,0.00033711800973955
2024-03,35-40,2022,469,0.0006176107287806599
2024-03,35-40,2023,758653,0.9990452712614798
2024-03,41-49,2021,314,0.00029768563638363145
2024-03,41-49,2022,550,0.0005214238853853418
2024-03,41-49,2023,1053940,0.999180890478231
2024-03,50+,2021,531,0.00025710326448517856
2024-03,50+,2022,755,0.00036556113876894504
2024-03,50+,2023,2064032,0.9993773355967459
2024-04,22-25,2021,81,0.00023346101633362444
2024-04,22-25,2022,153,0.0004409819197412906
2024-04,22-25,2023,346719,0.9993255570639251
2024-04,26-30,2021,159,0.00030007473559452545
2024-04,26-30,2022,362,0.0006831890206617497
2024-04,26-30,2023,529347,0.9990167362437438
2024-04,31-34,2021,193,0.0003617856841592232
2024-04,31-34,2022,350,0.0006560880282680214
2024-04,31-34,2023,532922,0.9989821262875728
2024-04,35-40,2021,247,0.0003245737833739379
2024-04,35-40,2022,453,0.0005952709468356027
2024-04,35-40,2023,760298,0.9990801552697904
2024-04,41-49,2021,321,0.00030368049406262064
2024-04,41-49,2022,540,0.0005108643825352497
2024-04,41-49,2023,1056171,0.9991854551234022
2024-04,50+,2021,535,0.0002584966895512739
2024-04,50+,2022,722,0.00034884973804863505
2024-04,50+,2023,2068402,0.9993926535724
2024-05,22-25,2021,83,0.0002338555167361659
2024-05,22-25,2022,182,0.0005127916150118336
2024-05,22-25,2023,354655,0.999253352868252
2024-05,26-30,2021,167,0.00031136733141416705
2024-05,26-30,2022,362,0.0006749399639037633
2024-05,26-30,2023,535815,0.9990136927046821
2024-05,31-34,2021,216,0.00040063656698977263
2024-05,31-34,2022,341,0.000632486432145891
2024-05,31-34,2023,538585,0.9989668770008643
2024-05,35-40,2021,267,0.00034741107187375575
2024-05,35-40,2022,445,0.0005790184531229263
2024-05,35-40,2023,767830,0.9990735704750033
2024-05,41-49,2021,337,0.00031566129636568006
2024-05,41-49,2022,518,0.0004852004496065942
2024-05,41-49,2023,1066745,0.9991991382540277
