age_group,level_t,level_t1,n,year
26-30,4,4,47321.0,2022
22-25,4,5,26876.0,2022
35-40,6,6,1817.0,2022
35-40,2,3,175.0,2022
26-30,2,1,53.0,2022
35-40,4,4,9634.0,2022
35-40,9,1,65.0,2022
35-40,9,4,94.0,2022
26-30,5,2,16.0,2022
22-25,9,2,329.0,2022
35-40,4,5,806.0,2022
26-30,9,1,286.0,2022
31-34,2,5,39.0,2022
31-34,4,2,13.0,2022
26-30,1,1,10455.0,2022
22-25,5,1,6.0,2022
22-25,9,6,8.0,2022
35-40,3,3,49761.0,2022
31-34,9,2,162.0,2022
26-30,5,9,,2022
31-34,3,3,223732.0,2022
22-25,4,4,37115.0,2022
26-30,5,5,265814.0,2022
22-25,2,1,65.0,2022
31-34,5,6,649.0,2022
26-30,3,5,1136.0,2022
26-30,9,5,3122.0,2022
35-40,9,2,40.0,2022
35-40,5,3,92.0,2022
26-30,4,2,12.0,2022
31-34,5,9,,2022
31-34,6,6,4918.0,2022
35-40,9,5,466.0,2022
22-25,1,2,92.0,2022
26-30,5,4,220.0,2022
35-40,5,6,122.0,2022
26-30,1,5,20.0,2022
26-30,1,4,15.0,2022
22-25,3,3,208376.0,2022
26-30,1,3,421.0,2022
35-40,2,1,13.0,2022
35-40,2,4,23.0,2022
31-34,9,9,19882.0,2022
31-34,1,2,88.0,2022
22-25,1,3,396.0,2022
31-34,4,6,12.0,2022
22-25,5,6,,2022
35-40,3,4,757.0,2022
26-30,5,1,,2022
31-34,2,2,38568.0,2022
26-30,3,1,53.0,2022
26-30,9,4,1316.0,2022
31-34,5,5,260143.0,2022
22-25,4,2,21.0,2022
26-30,3,2,160.0,2022
26-30,3,4,8716.0,2022
31-34,9,6,212.0,2022
22-25,3,5,1080.0,2022
31-34,5,1,16.0,2022
31-34,1,4,11.0,2022
26-30,6,5,22.0,2022
35-40,2,5,9.0,2022
22-25,4,1,,2022
35-40,5,2,,2022
35-40,2,2,8495.0,2022
22-25,9,1,317.0,2022
26-30,4,5,11868.0,2022
35-40,9,3,160.0,2022
26-30,4,3,153.0,2022
26-30,2,4,244.0,2022
22-25,2,5,22.0,2022
26-30,5,3,313.0,2022
31-34,1,3,352.0,2022
31-34,5,2,14.0,2022
35-40,1,5,5.0,2022
35-40,4,2,,2022
22-25,5,5,107735.0,2022
22-25,9,9,15633.0,2022
31-34,3,4,4158.0,2022
31-34,4,5,4729.0,2022
35-40,1,3,98.0,2022
31-34,3,2,147.0,2022
26-30,9,6,180.0,2022
22-25,1,5,,2022
26-30,3,6,,2022
22-25,9,5,1380.0,2022
35-40,5,4,46.0,2022
35-40,5,1,,2022
31-34,2,4,132.0,2022
31-34,2,1,59.0,2022
31-34,6,5,20.0,2022
35-40,5,5,61996.0,2022
31-34,2,3,1008.0,2022
22-25,3,2,238.0,2022
31-34,5,4,202.0,2022
31-34,1,5,16.0,2022
31-34,3,6,5.0,2022
22-25,1,1,7082.0,2022
22-25,2,3,2331.0,2022
31-34,4,4,41800.0,2022
31-34,9,4,481.0,2022
35-40,4,3,30.0,2022
31-34,3,1,44.0,2022
22-25,5,4,94.0,2022
35-40,6,5,10.0,2022
35-40,3,2,37.0,2022
26-30,2,6,,2022
26-30,3,3,265418.0,2022
26-30,9,9,23336.0,2022
26-30,9,3,1104.0,2022
35-40,1,2,27.0,2022
35-40,9,6,30.0,2022
26-30,4,6,14.0,2022
22-25,6,6,5.0,2022
31-34,9,5,2362.0,2022
31-34,3,5,535.0,2022
26-30,1,2,104.0,2022
22-25,5,2,13.0,2022
22-25,9,4,2579.0,2022
31-34,1,1,11448.0,2022
22-25,3,4,16515.0,2022
22-25,3,1,41.0,2022
26-30,2,5,59.0,2022
22-25,2,2,39261.0,2022
26-30,9,2,248.0,2022
26-30,6,6,1231.0,2022
31-34,5,3,336.0,2022
35-40,1,1,3432.0,2022
22-25,9,3,1208.0,2022
31-34,4,3,139.0,2022
26-30,5,6,464.0,2022
31-34,9,3,696.0,2022
35-40,3,5,124.0,2022
35-40,1,4,,2022
22-25,5,3,88.0,2022
26-30,2,2,46533.0,2022
35-40,3,1,8.0,2022
26-30,2,3,1614.0,2022
31-34,9,1,239.0,2022
22-25,1,4,11.0,2022
31-34,4,1,,2022
