part,spec,sample,young_band,reference,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
R,ref_31-49,own,26-30,31-49,tau,-0.0308047635104472,0.006239118733091205,-4.937358115508216,8.68412665181392e-05,2.06810921791206e-05,3.42978780658251e-05,21964716,112114,derived
R,ref_31-49,E49,26-30,31-49,rb,0.0253656210726778,0.0044096803290095,5.752258481370555,,,,21964716,112114,ok
R,ref_31-49,E49,26-30,31-49,interim,0.0089358386270804,0.0045476468837323,1.9649367806118372,,,,21964716,112114,ok
R,ref_31-49,E49,26-30,31-49,post,-0.0218689248833668,0.0093188661605443,-2.346736663732648,,,,21964716,112114,ok
R,ref_31-49,E49,26-30,31-49,tau,-0.0308047635104472,0.006239118733091205,-4.937358115508216,8.68412665181392e-05,2.06810921791206e-05,3.42978780658251e-05,21964716,112114,derived
R,ref_31-59,own,26-30,31-59,rb,0.0203311201993076,0.0043851136955723,4.636395225016894,,,,27721656,116218,ok
R,ref_31-59,own,26-30,31-59,interim,0.0041132930780096,0.0045143988899202,0.9111496742553713,,,,27721656,116218,ok
R,ref_31-59,own,26-30,31-59,post,-0.0307553149143633,0.0097448062699413,-3.1560724823469024,,,,27721656,116218,ok
R,ref_31-59,own,26-30,31-59,tau,-0.0348686079923729,0.006666212222187582,-5.23064775470506,9.4961249238689e-05,2.03797973373127e-05,3.54513305923793e-05,27721656,116218,derived
R,ref_31-59,E49,26-30,31-59,rb,0.0200334962463527,0.0043932305404886,4.560083078208922,,,,27278424,112114,ok
R,ref_31-59,E49,26-30,31-59,interim,0.0037085235188704,0.0045337680654773,0.8179782170837578,,,,27278424,112114,ok
R,ref_31-59,E49,26-30,31-59,post,-0.0316732729498042,0.0098027904885562,-3.2310466072675585,,,,27278424,112114,ok
R,ref_31-59,E49,26-30,31-59,tau,-0.035381796468674606,0.006701812078673021,-5.279437270595673,9.6094701362528e-05,2.05550528715418e-05,3.58677345481111e-05,27278424,112114,derived
R,ref_31-69,E49,26-30,31-69,rb,0.0182613234840853,0.0044340825476112,4.118399530907094,,,,27539838,112114,ok
R,ref_31-69,E49,26-30,31-69,interim,-0.0083227746184453,0.0057261244965381,-1.4534742692858116,,,,27539838,112114,ok
R,ref_31-69,E49,26-30,31-69,post,-0.0489851782681318,0.0104066264818497,-4.707114102112469,,,,27539838,112114,ok
R,ref_31-69,E49,26-30,31-69,tau,-0.0406624036496865,0.006784843942717805,-5.993122906434655,0.0001082978747327,3.27885017498547e-05,4.75261345777601e-05,27539838,112114,derived
P,p7_gamma,profile,all,41-49,reference,0.0,0.0,,,,,32532354,104333,reference
P,p7_gamma,profile,22-25,41-49,gamma2_style,-0.0216765108492799,0.0123635415257232,-1.7532606498049468,,,,32532354,104333,ok
P,p7_gamma,profile,26-30,41-49,gamma2_style,-0.0105151525735117,0.0086965766701872,-1.2091139964945947,,,,32532354,104333,ok
P,p7_gamma,profile,31-34,41-49,gamma2_style,0.0166959588478486,0.0066658160356432,2.5047134152176715,,,,32532354,104333,ok
