period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,spec,engine,age_group
2019H2,-0.0883609647367097,0.003259030830173,6.9846976291688e-162,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2020H1,-0.0637775539952158,0.0028461714067507,3.2746859372078804e-111,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2020H2,-0.0587410484410802,0.0025633892447443,3.2640463470588197e-116,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2021H1,-0.0290965111696365,0.0017359598342351,4.70238285093282e-63,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2021H2,-0.0227717163588167,0.0013284097943737,7.20185738180357e-66,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2022H1,0.0,0.0,,21713094,95198179,True,102.654305934906,reference,EDU_QUARTILE,poisson,50+
2022H2,0.0050183257133477,0.0008922824536578,1.86429236670677e-08,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2023H1,0.034764438796593,0.0016639616015477,6.25570045873287e-97,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2023H2,0.0361240212436913,0.002117629282919,3.01138107591345e-65,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2024H1,0.0695051824254039,0.0030985459540711,1.93776306689045e-111,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2024H2,0.0735903549657473,0.0034471412619481,4.05013024379906e-101,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
2025H1,0.108622716688722,0.0046005416606342,2.98163986799254e-123,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
